feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Felixviridae	Group	MI	-1.78436933131311	0.596136065998303	84	27	0.00364709531518826	0.134942526661966
Steigviridae	Group	MI	1.94958082704598	0.826955804858622	84	27	0.0207791616879653	0.384414491227357
Crevaviridae	Group	MI	2.9351134314871	1.58946232135793	84	52	0.0684116557210509	0.59227554062412
Intestiviridae	Group	MI	2.31371972977814	1.23998872300757	84	39	0.0656281492267186	0.59227554062412
Schitoviridae	Group	MI	0.823545383516502	0.489130715668304	84	84	0.0960446822633707	0.59227554062412
Straboviridae	Group	MI	-0.216174697747891	0.127783701677402	84	84	0.0944958666677684	0.59227554062412
Ackermannviridae	Group	MI	0.182857323515162	0.173399210086513	84	84	0.294730638595735	0.681564601752637
Aliceevansviridae	Group	MI	-0.288936919128199	0.209986811639103	84	84	0.172575413709427	0.681564601752637
Draupnirviridae	Group	MI	0.60248384881876	0.557865028402472	84	17	0.283316769001031	0.681564601752637
Herelleviridae	Group	MI	-0.177367863178556	0.165936921318287	84	84	0.288256972904198	0.681564601752637
Mesyanzhinovviridae	Group	MI	0.435555732858891	0.370236158480903	84	84	0.242828292307619	0.681564601752637
Peduoviridae	Group	MI	-0.179996173884157	0.15809814531692	84	84	0.258223313303132	0.681564601752637
Phycodnaviridae	Group	MI	0.360834986967829	0.292472491867579	84	84	0.220824402107586	0.681564601752637
Rountreeviridae	Group	MI	1.19686534583462	0.816012172538833	84	58	0.146275692476661	0.681564601752637
Suoliviridae	Group	MI	1.95407910592823	1.39354704071585	84	68	0.164619776278423	0.681564601752637
Vilmaviridae	Group	MI	0.386751328521707	0.357736553163806	84	84	0.282819020378825	0.681564601752637
Helgolandviridae	Group	MI	0.202393239855171	0.210513752378786	84	9	0.339164909045713	0.738182449099492
Lakviridae	Group	MI	0.262157833765048	0.317162649327202	84	83	0.410878283279559	0.760124824067185
Orlajensenviridae	Group	MI	-0.459006655400797	0.551191188313511	84	84	0.407402396988607	0.760124824067185
Salasmaviridae	Group	MI	0.180583699686209	0.216338835429323	84	84	0.406297208053251	0.760124824067185
Demerecviridae	Group	MI	-0.298766752742348	0.407158724094597	84	84	0.465172993260415	0.819590511935017
Epsomviridae	Group	MI	0.235668711726181	0.354426604192142	84	84	0.507961369937099	0.854298667621485
Allomimiviridae	Group	MI	-0.192429163158505	0.484796458092871	84	84	0.692451948116544	0.869316440380622
Chaseviridae	Group	MI	0.118738189313839	0.31238363225515	84	84	0.70485116787618	0.869316440380622
Guelinviridae	Group	MI	-0.513102882044747	0.945140142008661	84	75	0.588681260323838	0.869316440380622
Kyanoviridae	Group	MI	0.105498091270644	0.242015967630648	84	84	0.664044743111119	0.869316440380622
Microviridae	Group	MI	0.371891614644847	0.765740269707166	84	75	0.628501417018222	0.869316440380622
Mimiviridae	Group	MI	0.125794351424098	0.302042167315783	84	84	0.678147359249305	0.869316440380622
Toyamaviridae	Group	MI	-0.314977859923006	0.780782718014654	84	80	0.687694473655543	0.869316440380622
Unclassified	Group	MI	-0.0726903247949461	0.14429834659199	84	84	0.615787618474453	0.869316440380622
Inoviridae	Group	MI	-0.140727940308554	0.471591440252549	84	84	0.766144580114505	0.885854670757397
Zierdtviridae	Group	MI	-0.0811101862035328	0.249358881787752	84	84	0.745801519877115	0.885854670757397
Konodaiviridae	Group	MI	-0.180677461079713	0.8135340097957	84	81	0.82479631695629	0.89757246257008
Speroviridae	Group	MI	0.132197715529109	0.574900694757473	84	27	0.818704224631913	0.89757246257008
Drexlerviridae	Group	MI	-0.0418683205720423	0.312727160468365	84	84	0.89382447448825	0.944900158744721
Autographiviridae	Group	MI	-0.0455669675515324	0.812025687822266	84	75	0.955386557963772	0.981925073462765
Casjensviridae	Group	MI	-0.002175048736786	0.20876853215485	84	84	0.99171271969797	0.99171271969797
