feature	Ackermannviridae	Aliceevansviridae	Allomimiviridae	Autographiviridae	Casjensviridae	Chaseviridae	Crevaviridae	Demerecviridae	Draupnirviridae	Drexlerviridae	Epsomviridae	Felixviridae	Guelinviridae	Helgolandviridae	Herelleviridae	Inoviridae	Intestiviridae	Konodaiviridae	Kyanoviridae	Lakviridae	Mesyanzhinovviridae	Microviridae	Mimiviridae	Orlajensenviridae	Peduoviridae	Phycodnaviridae	Rountreeviridae	Salasmaviridae	Schitoviridae	Speroviridae	Steigviridae	Straboviridae	Suoliviridae	Toyamaviridae	Unclassified	Vilmaviridae	Zierdtviridae
MI35	10375.4688	3277.4433	12.0718	21.1926	6458.7231	9569.664	908.9979	1858.9911	2.4616	991.9722	1492.3273	0	0	0.3939	5977.0152	364.5222	35.7297	36.6743	2277.1557	1033.3225	474.4123	2.7723	2110.223	1293.3825	17847.8495	2354.0952	5.9387	6345.2111	603.7587	0	168.9413	19164.5368	758.3588	0.0801	13381.1538	94.0594	1287.0403
MI33	12314.7696	1686.2013	17.3316	54.4744	5948.6222	7911.6858	3350.7345	1094.3234	0	807.7214	1025.7987	0.656	0.1586	0	5051.6871	49.9697	0	80.0395	2860.0271	451.2356	1875.1021	110.9025	1522.1711	1083.236	14909.3885	2521.0264	5.1686	5842.1599	192.8026	0	1.3023	18853.6441	0.6014	36.3719	13743.4774	201.1367	1060.3134
MI32	6660.6577	2881.441	156.9714	11.9473	2817.7582	2396.0102	0	814.0166	3.1409	433.1081	1528.7462	0	0	0	5381.3885	33.4346	2.8656	596.8148	2073.6309	428.673	319.736	13.8795	2729.9398	199.9481	5366.1234	1732.5703	46.5187	3797.365	437.4694	21.3008	0	15464.48	1.6931	26.215	11628.9243	97.3084	1499.4208
MI38	7511.5262	1795.1031	11.5168	1.7878	3438.1936	5991.132	1252.803	2351.6718	0	530.7763	1145.0627	0	0.6501	0	4818.8297	9.0415	1098.957	377.7625	3453.2067	721.3437	449.4424	82.157	2110.8504	897.6751	17107.0242	1914.668	2.9112	6305.7046	877.3164	0.3005	121.4836	10852.7948	333.3133	129.2301	7736.4783	137.5367	869.5478
MI36	10417.5615	2815.0554	0.561	0	2384.2469	2656.744	0	435.2106	0	2874.1843	890.1704	3.7589	56.0597	0	6661.0043	543.7287	0	84.3872	1994.8025	118.9738	583.559	173.7388	1559.3759	236.3751	26231.0227	1342.8079	0	5822.1162	1914.9541	6.0543	0	17303.2685	29.8642	317.1027	11910.9746	132.3014	3849.0975
MI34	4757.3114	3953.011	353.8175	7.2218	850.7293	399.5385	0	590.0085	128.7136	605.9011	1558.9068	0	4.1725	0	6509.1346	20.9315	0	445.1366	595.8005	742.7239	33.0618	1.5437	1948.401	659.2212	5118.2442	1180.2699	0	2831.1781	114.0796	0	0	46957.2165	3.5075	211.7867	10518.7706	379.5495	451.4843
MI37	8549.2337	1998.6831	35.5956	3.7382	2237.4864	1978.2117	0.8444	1614.6757	0	780.123	152.592	0	0	0	6999.1911	47.5921	0	83.7983	4917.7729	551.1516	2005.6071	95.0695	462.5081	303.5765	12131.2338	3377.1233	10.4817	8207.6528	240.5962	1.8693	0	18493.9832	0.0292	29.0176	7219.8056	103.9549	1312.0344
MI27	7277.5756	1417.6971	26.8905	14.0683	4970.0652	3580.3511	595.8963	13904.1946	0	914.5321	183.0918	0	1877.2248	0.3384	3908.0968	51.6941	56.0099	117.1552	1785.4739	574.5642	597.8036	484.4412	1586.3447	2016.0538	13688.4972	1689.8269	5.0232	5647.6762	2898.8773	30.4528	10.5776	18179.1127	856.8845	5.5459	11189.982	410.5642	688.4806
MI28	8035.9988	2043.9106	90.9395	0.9773	2404.9347	1733.8815	0	317.914	0.6026	1602.4741	330.9842	0	0.2292	0	4538.7024	410.7881	92.3699	123.2469	2788.6647	1056.5519	753.2867	186.1301	803.198	195.1681	9184.1564	1654.3376	13.7996	4885.9831	79.6737	0	0	20627.6067	123.4688	5.3511	8180.0609	196.3288	597.788
MI29	10992.1904	1643.7604	124.6399	14.0626	6359.415	682.5471	0	809.5086	0	436.9585	730.491	0	23.7358	0	5079.2027	28.5236	20.124	74.1257	2625.2248	2406.6359	267.8681	3.0474	2403.0626	185.3946	9622.9908	1675.368	180.2689	6175.6345	384.725	0	0	22899.7646	9203.8796	379.5905	17943.1613	31.0268	531.9757
