"","Observed","Richness","Number","Shannon","Simpson","InvSimpson","Chao1","ACE","Data_Type","Conversion_Factor","Singletons_Present","Reliability_Note","Group","SampleID"
"CON1",188,188,188,3.59357510348578,0.939347448472105,1.06456881490076,188,188,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON1"
"CON2",152,152,152,3.72414764742892,0.946186499850031,1.05687409422825,152,152,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON2"
"CON3",173,173,173,3.62625632506137,0.940934714817839,1.06277298972182,173,173,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON3"
"CON4",186,186,186,3.65805572016686,0.941738256140285,1.0618661751074,186,186,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON4"
"CON5",121,121,121,3.54743240069066,0.939488711751359,1.06440874434333,121,121,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON5"
"CON6",162,162,162,3.5710684746468,0.939661711680552,1.06421277739574,162,162,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON6"
"CON7",87,87,87,3.53329693015507,0.943157812401998,1.06026794970106,87,87,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON7"
"CON8",154,154,154,3.4836485870703,0.933894057880801,1.07078526901564,154,154,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON8"
"CON9",103,103,103,3.65058975315147,0.946116917550111,1.05695182218009,103,103,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON9"
"CON10",181,181,181,3.60110076830746,0.938826183194643,1.06515989636888,181,181,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON10"
"CON11",164,164,164,3.65951941814774,0.943456126807078,1.05993270019273,164,164,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON11"
"CON12",124,124,124,3.59427293711168,0.944829609544013,1.0583918940502,124,124,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON12"
"CON13",184,184,184,3.65396707894391,0.941477301468111,1.06216049865528,184,184,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON13"
