SampleID,Observed,Richness,Number,Shannon,Simpson,InvSimpson,Chao1,ACE,Data_Type,Conversion_Factor,Singletons_Present,Reliability_Note,Group,SampleID
MI35,14998,14998,14998,8.282940259,0.99932444,1.000676017,14998,14998,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI35
MI33,15411,15411,15411,8.364184965,0.999512508,1.00048773,15411,15411,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI33
MI32,12649,12649,12649,8.177875723,0.999401167,1.000599192,12649,12649,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI32
MI38,13330,13330,13330,8.136440523,0.999345644,1.000654784,13330,13330,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI38
MI36,12026,12026,12026,7.862948191,0.999091209,1.000909618,12026,12026,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI36
MI34,9488,9488,9488,7.447658982,0.998734881,1.001266721,9488,9488,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI34
MI37,13062,13062,13062,7.821521599,0.9990844,1.000916439,13062,13062,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI37
MI27,13784,13784,13784,7.816301047,0.997983584,1.002020491,13784,13784,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI27
MI28,12565,12565,12565,8.035685164,0.999294432,1.000706067,12565,12565,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI28
MI29,12193,12193,12193,7.877625065,0.999106722,1.000894077,12193,12193,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI29
MI31,12151,12151,12151,7.929447303,0.999234568,1.000766018,12151,12151,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI31
MI17,7116,7116,7116,7.016173201,0.998075456,1.001928255,7116,7116,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI17
MI21,15077,15077,15077,8.041636308,0.999231552,1.000769039,15077,15077,Relative_abundance,1.00E+06,FALSE,Chao1_ACE_based_on_converted_data_interpret_with_caution,MI,MI21
