feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Rountreeviridae	Group	MI	-2.45752373413893	0.456717640592047	85	80	6.72743515518359e-07	4.45184756142212e-05
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Rountreeviridae.g__Andhravirus	Group	MI	-2.4257684520374	0.455390490338351	85	80	8.39971238004174e-07	4.45184756142212e-05
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Rountreeviridae.g__Andhravirus.s__Staphylococcus_virus_Andhra	Group	MI	-2.4257684520374	0.455390490338351	85	80	8.39971238004174e-07	4.45184756142212e-05
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Siphoviridae.g__Chivirus	Group	MI	-2.81476107504372	0.507761586738448	85	82	3.43004787119466e-07	4.45184756142212e-05
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Siphoviridae.g__Chivirus.s__Salmonella_phage_TS13	Group	MI	-2.77069534185214	0.48906814154696	85	82	2.06030144124286e-07	4.45184756142212e-05
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Herelleviridae.g__Tsarbombavirus.s__Enterobacteria_phage_P4	Group	MI	-0.338773598731747	0.118358262703097	85	9	0.00532240881085298	0.201491190696577
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Siphoviridae	Group	MI	-0.885297954936266	0.306626507234551	85	85	0.00495395355168231	0.201491190696577
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Siphoviridae.g__Chivirus.s__Staphylococcus_phage_SPbeta.like	Group	MI	-1.46197869387737	0.534604872061182	85	25	0.0076318933558726	0.25280646741328
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Podoviridae.g__Unclassified.s__crAssphage_cr114_1	Group	MI	0.754181966595858	0.289192262318308	85	18	0.0108008326775031	0.31802451772648
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Peduovirus.s__Escherichia_virus_12474III	Group	MI	0.424134626684218	0.166145505356041	85	11	0.0125170655198156	0.331702236275114
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Rountreeviridae.g__Rosenblumvirus	Group	MI	-0.486312029593238	0.201409938429821	85	15	0.0179532394115601	0.401142323477254
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Rountreeviridae.g__Rosenblumvirus.s__Staphylococcus_virus_CSA13	Group	MI	-0.392941316685277	0.163049124024817	85	15	0.0181649354027436	0.401142323477254
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Brunovirus	Group	MI	-0.230803042506441	0.125802449407577	85	10	0.0701409349985258	0.486774628123488
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Brunovirus.s__Salmonella_virus_SEN34	Group	MI	-0.230803042506441	0.125802449407577	85	10	0.0701409349985258	0.486774628123488
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Busanvirus	Group	MI	0.603309829972209	0.299601026674085	85	40	0.0472797536130111	0.486774628123488
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Busanvirus.s__Acidovorax_virus_ACP17	Group	MI	0.550640077086226	0.291565195416006	85	40	0.0624431805222781	0.486774628123488
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Colneyvirus	Group	MI	-0.580846618485965	0.319496298855022	85	29	0.0726708706041031	0.486774628123488
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Colneyvirus.s__Clostridioides_virus_CDKM15	Group	MI	-0.497046241848402	0.281146345969806	85	24	0.0807479396208707	0.486774628123488
