ID	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	MI14	MI15	MI16	MI17	MI18	MI19	MI20	MI21	MI22	MI23	MI24	MI25	MI26	MI27	MI28	MI29	MI30	MI31	MI32	MI33	MI34	MI35	MI36	MI37	MI38
k__Viruses	0.510792653286496	0.241205195694954	0.427322998199522	0.4012933570357	1.11230310715086	0.740642974284462	0.288499349409193	0.391986284430504	0.4823282155451	0.287972503024791	2.05615873653721	0.119824732372895	0.400495469555235	0.494690163179779	0.306442045336727	0.806470578565347	1.05756717501516	0.362151207526495	0.341993284674786	1.33186468209758	0.714891728280618	0.956829155476605	0.457561410314733	0.126344626054055	0.596027283621588	0.603973227242993	0.229561632456164	1.04619976266888	0.694575316864491	0.453436259899323	0.679497269669808	0.643910791178819	0.24304352921505	0.540866472479015	0.202197082287311	0.906959533453892	0.835497658920068	2.149431250556	0.516862760250639	0.281988181358319	0.268617126763238	1.72725123804428	0.806419127270354	0.745263453364133	0.108333550395092	0.375952275086325	0.273416456239081	1.32253821731849	0.290676813208804	0.266127244827922	0.549970263512954	0.330159725759046	0.119014042976355	3.32350529880346	0.19889894692094	5.70437790579046	0.887686226083513	1.2230412900318	3.99121071730212	3.58043057181627	6.52412421596048	1.26973481828034	1.24606551259936	0.52290135308252	1.6751373634474	0.260375539413082	3.40974555141306	0.31291408294418	0.0759340874593857	0.164971127986895	0.222365789799531	1.45596949108394	0.337967525635349	0.391992125765027	0.128840340138166	1.13858110048689	13.0107457465864	0.586885095624392	0.146047738553423	0.257376778633872	0.164667455056089	0.252136010007606	0.757411691674944	0.189390655115552	0.189160368068829
k__Viruses|p__Hofneiviricota	0.000677562772827999	0	0	0	0	0.000776978127913351	0	0	0	0	0	0	0	0	0	0	0.00105249559086896	0	0	0.0018914086406701	0	0	0	0	0.00135202872705806	0.000809130753441677	0.000760804229953717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00916234120100113	0	0	0	0.0178528824837672	0	0	0	0.00116395460341735	0.00506135716147498	0	0	0	0	0	0	0	0	0.000423884627082201	0	0	0.0131017821851564	0	0.000178646204768567	0	0	0	0.00134769431402902	0	0
k__Viruses|p__Hofneiviricota|c__Faserviricetes	0.000677562772827999	0	0	0	0	0.000776978127913351	0	0	0	0	0	0	0	0	0	0	0.00105249559086896	0	0	0.0018914086406701	0	0	0	0	0.00135202872705806	0.000809130753441677	0.000760804229953717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00916234120100113	0	0	0	0.0178528824837672	0	0	0	0.00116395460341735	0.00506135716147498	0	0	0	0	0	0	0	0	0.000423884627082201	0	0	0.0131017821851564	0	0.000178646204768567	0	0	0	0.00134769431402902	0	0
k__Viruses|p__Hofneiviricota|c__Faserviricetes|o__Tubulavirales	0.000677562772827999	0	0	0	0	0.000776978127913351	0	0	0	0	0	0	0	0	0	0	0.00105249559086896	0	0	0.0018914086406701	0	0	0	0	0.00135202872705806	0.000809130753441677	0.000760804229953717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00916234120100113	0	0	0	0.0178528824837672	0	0	0	0.00116395460341735	0.00506135716147498	0	0	0	0	0	0	0	0	0.000423884627082201	0	0	0.0131017821851564	0	0.000178646204768567	0	0	0	0.00134769431402902	0	0
k__Viruses|p__Hofneiviricota|c__Faserviricetes|o__Tubulavirales|f__Inoviridae	0.000677562772827999	0	0	0	0	0.000776978127913351	0	0	0	0	0	0	0	0	0	0	0.00105249559086896	0	0	0.0018914086406701	0	0	0	0	0.00135202872705806	0.000809130753441677	0.000760804229953717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00916234120100113	0	0	0	0.0178528824837672	0	0	0	0.00116395460341735	0.00506135716147498	0	0	0	0	0	0	0	0	0.000423884627082201	0	0	0.0131017821851564	0	0.000178646204768567	0	0	0	0.00134769431402902	0	0
k__Viruses|p__Hofneiviricota|c__Faserviricetes|o__Tubulavirales|f__Inoviridae|g__Infulavirus	0.000677562772827999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00105249559086896	0	0	0.0018914086406701	0	0	0	0	0.00135202872705806	0.000809130753441677	0.000265054376887101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00916234120100113	0	0	0	0.0178528824837672	0	0	0	0.00116395460341735	0.00506135716147498	0	0	0	0	0	0	0	0	0.000423884627082201	0	0	0.0131017821851564	0	0.000178646204768567	0	0	0	0.00134769431402902	0	0
k__Viruses|p__Hofneiviricota|c__Faserviricetes|o__Tubulavirales|f__Inoviridae|g__Infulavirus|s__Escherichia_virus_If1	0.000677562772827999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00105249559086896	0	0	0.0018914086406701	0	0	0	0	0.00135202872705806	0.000809130753441677	0.000265054376887101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00916234120100113	0	0	0	0.0178528824837672	0	0	0	0.00116395460341735	0.00506135716147498	0	0	0	0	0	0	0	0	0.000423884627082201	0	0	0.0131017821851564	0	0.000178646204768567	0	0	0	0.00134769431402902	0	0
k__Viruses|p__Hofneiviricota|c__Faserviricetes|o__Tubulavirales|f__Inoviridae|g__Unclassified	0	0	0	0	0	0.000776978127913351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000495749853066615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Hofneiviricota|c__Faserviricetes|o__Tubulavirales|f__Inoviridae|g__Unclassified|s__Ralstonia_phage_RSS30	0	0	0	0	0	0.000776978127913351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000495749853066615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Negarnaviricota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000359994080388249	0	0	0	0	0	0	0	0	0	0	0	0	0.000297502891828957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
