ID,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,MI14,MI15,MI16,MI17,MI18,MI19,MI20,MI21,MI22,MI23,MI24,MI25,MI26,MI27,MI28,MI29,MI31,MI32,MI33,MI34,MI35,MI36,MI37,MI38
k__Viruses,0.510792653,0.241205196,0.427322998,0.401293357,1.112303107,0.740642974,0.288499349,0.391986284,0.482328216,0.287972503,2.056158737,0.119824732,0.40049547,0.494690163,0.306442045,0.806470579,1.057567175,0.362151208,0.341993285,1.331864682,0.714891728,0.956829155,0.45756141,0.126344626,0.596027284,0.603973227,0.229561632,1.046199763,0.694575317,0.45343626,0.67949727,0.643910791,0.243043529,0.540866472,0.202197082,0.906959533,0.835497659,2.149431251,0.51686276,0.281988181,0.268617127,1.727251238,0.806419127,0.745263453,0.10833355,0.375952275,0.273416456,1.322538217,0.290676813,0.266127245,0.549970264,0.330159726,0.119014043,3.323505299,0.198898947,5.704377906,0.887686226,1.22304129,3.991210717,3.580430572,6.524124216,1.269734818,1.246065513,0.522901353,1.675137363,0.260375539,3.409745551,0.312914083,0.075934087,0.164971128,0.22236579,1.455969491,0.337967526,0.391992126,0.12884034,1.1385811,0.586885096,0.146047739,0.257376779,0.164667455,0.25213601,0.757411692,0.189390655,0.189160368
k__Viruses|p__Hofneiviricota,0.000677563,0,0,0,0,0.000776978,0,0,0,0,0,0,0,0,0,0,0.001052496,0,0,0.001891409,0,0,0,0,0.001352029,0.000809131,0.000760804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009162341,0,0,0,0.017852882,0,0,0,0.001163955,0.005061357,0,0,0,0,0,0,0,0,0.000423885,0,0,0,0.000178646,0,0,0,0.001347694,0,0
k__Viruses|p__Hofneiviricota|c__Faserviricetes,0.000677563,0,0,0,0,0.000776978,0,0,0,0,0,0,0,0,0,0,0.001052496,0,0,0.001891409,0,0,0,0,0.001352029,0.000809131,0.000760804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009162341,0,0,0,0.017852882,0,0,0,0.001163955,0.005061357,0,0,0,0,0,0,0,0,0.000423885,0,0,0,0.000178646,0,0,0,0.001347694,0,0
k__Viruses|p__Hofneiviricota|c__Faserviricetes|o__Tubulavirales,0.000677563,0,0,0,0,0.000776978,0,0,0,0,0,0,0,0,0,0,0.001052496,0,0,0.001891409,0,0,0,0,0.001352029,0.000809131,0.000760804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009162341,0,0,0,0.017852882,0,0,0,0.001163955,0.005061357,0,0,0,0,0,0,0,0,0.000423885,0,0,0,0.000178646,0,0,0,0.001347694,0,0
k__Viruses|p__Hofneiviricota|c__Faserviricetes|o__Tubulavirales|f__Inoviridae,0.000677563,0,0,0,0,0.000776978,0,0,0,0,0,0,0,0,0,0,0.001052496,0,0,0.001891409,0,0,0,0,0.001352029,0.000809131,0.000760804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009162341,0,0,0,0.017852882,0,0,0,0.001163955,0.005061357,0,0,0,0,0,0,0,0,0.000423885,0,0,0,0.000178646,0,0,0,0.001347694,0,0
k__Viruses|p__Hofneiviricota|c__Faserviricetes|o__Tubulavirales|f__Inoviridae|g__Infulavirus,0.000677563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001052496,0,0,0.001891409,0,0,0,0,0.001352029,0.000809131,0.000265054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009162341,0,0,0,0.017852882,0,0,0,0.001163955,0.005061357,0,0,0,0,0,0,0,0,0.000423885,0,0,0,0.000178646,0,0,0,0.001347694,0,0
k__Viruses|p__Hofneiviricota|c__Faserviricetes|o__Tubulavirales|f__Inoviridae|g__Infulavirus|s__Escherichia_virus_If1,0.000677563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001052496,0,0,0.001891409,0,0,0,0,0.001352029,0.000809131,0.000265054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009162341,0,0,0,0.017852882,0,0,0,0.001163955,0.005061357,0,0,0,0,0,0,0,0,0.000423885,0,0,0,0.000178646,0,0,0,0.001347694,0,0
k__Viruses|p__Hofneiviricota|c__Faserviricetes|o__Tubulavirales|f__Inoviridae|g__Unclassified,0,0,0,0,0,0.000776978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00049575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Hofneiviricota|c__Faserviricetes|o__Tubulavirales|f__Inoviridae|g__Unclassified|s__Ralstonia_phage_RSS30,0,0,0,0,0,0.000776978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00049575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Negarnaviricota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000359994,0,0,0,0,0,0,0,0,0,0,0,0,0.000297503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Negarnaviricota|c__Ellioviricetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000359994,0,0,0,0,0,0,0,0,0,0,0,0,0.000297503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000359994,0,0,0,0,0,0,0,0,0,0,0,0,0.000297503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
