feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Archaea	Group	MI	-0.0536665553846565	0.0233660775827549	84	84	0.0241822918067247	0.586368372219427
k__Archaea.p__Asgardarchaeota.c__Heimdallarchaeia.o__UBA460	Group	MI	-1.23019118301693	0.568060943711555	84	80	0.0332471154890238	0.586368372219427
k__Archaea.p__Thermoproteota.c__Nitrososphaeria	Group	MI	-1.11405404280095	0.483916886373907	84	84	0.023861825249703	0.586368372219427
k__Archaea.p__Thermoproteota.c__Nitrososphaeria.o__Nitrososphaerales	Group	MI	-1.07867232826694	0.49766976294961	84	84	0.0331011424946018	0.586368372219427
k__Archaea.p__Thermoproteota.c__Bathyarchaeia	Group	MI	-1.55301797229879	0.655476482972096	84	77	0.0201721343955467	0.586368372219427
k__Archaea.p__Iainarchaeota.c__Iainarchaeia.o__Iainarchaeales	Group	MI	1.78818217427618	0.81256538228405	84	44	0.0305720909889503	0.586368372219427
k__Archaea.p__Asgardarchaeota.c__Heimdallarchaeia.o__UBA460.f__Kariarchaeaceae	Group	MI	-1.87474830070935	0.752989309663145	84	33	0.0148045284442606	0.586368372219427
k__Archaea.p__Methanobacteriota_B	Group	MI	-1.97329168809306	0.876886679892919	84	66	0.027105357495966	0.586368372219427
k__Archaea.p__Methanobacteriota_B.c__Thermococci	Group	MI	-1.97329168809306	0.876886679892919	84	66	0.027105357495966	0.586368372219427
k__Archaea.p__Halobacteriota.c__Halobacteria	Group	MI	-1.39883912111925	0.648121485259961	84	81	0.0338289445511208	0.586368372219427
k__Archaea.p__Halobacteriota.c__Halobacteria.o__Halobacteriales	Group	MI	-1.40050604197976	0.648686304758656	84	81	0.0337735344253025	0.586368372219427
k__Archaea.p__Methanobacteriota.c__Methanococci	Group	MI	-1.78783034085416	0.667600403581217	84	74	0.00894534843543899	0.586368372219427
k__Archaea.p__Methanobacteriota.c__Methanococci.o__Methanococcales	Group	MI	-1.78783034085416	0.667600403581217	84	74	0.00894534843543899	0.586368372219427
k__Archaea.p__Asgardarchaeota.c__Heimdallarchaeia.o__UBA460.f__Kariarchaeaceae.g__LC.2	Group	MI	-1.45748413136607	0.671723542081526	84	26	0.032918610720568	0.586368372219427
k__Archaea.p__Asgardarchaeota.c__Lokiarchaeia.o__Helarchaeales.f__HEL.GB.A.g__JABXJT01.s__JABXJT01_sp016840125	Group	MI	-1.60528027832016	0.737013729626191	84	34	0.0322717588568814	0.586368372219427
k__Archaea.p__Aenigmatarchaeota.c__Aenigmatarchaeia.o__Aenigmatarchaeales	Group	MI	-1.30224039786366	0.515616319461893	84	28	0.013475320579689	0.586368372219427
k__Archaea.p__Halobacteriota.c__Syntropharchaeia	Group	MI	1.76059173456036	0.789199495818002	84	28	0.028421401537482	0.586368372219427
k__Archaea.p__Halobacteriota.c__Syntropharchaeia.o__ANME.1	Group	MI	1.80497194134262	0.745958987365758	84	26	0.0177461519657719	0.586368372219427
k__Archaea.p__Halobacteriota.c__Syntropharchaeia.o__ANME.1.f__ANME.1	Group	MI	1.80497194134262	0.745958987365758	84	26	0.0177461519657719	0.586368372219427
k__Archaea.p__Methanobacteriota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter_A.s__Methanobrevibacter_A_sp900769095	Group	MI	-2.03680731338974	0.702337918167034	84	40	0.00478738429587045	0.586368372219427
k__Archaea.p__Methanobacteriota.c__Methanococci.o__Methanococcales.f__Methanocaldococcaceae.g__Methanocaldococcus	Group	MI	-1.1873577509452	0.526770342783793	84	25	0.0268618881449882	0.586368372219427
k__Archaea.p__Thermoplasmatota	Group	MI	-0.952099763911274	0.474001008909253	84	84	0.047865824885175	0.636585164971753
k__Archaea.p__Thermoplasmatota.c__Thermoplasmata	Group	MI	-1.12239339909242	0.548154811536719	84	83	0.0438017662129754	0.636585164971753
