feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	log2FC	Trend	MicrobeClass
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Herbaspirillum	Group	MI	3.08602694114226	0.380467584648852	84	24	4.20792620977395e-12	6.79580082878494e-10	3.08602694114226	Up	bacteria
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Herbaspirillum.s__Herbaspirillum_sp	Group	MI	3.08602694114226	0.380467584648852	84	24	4.20792620977395e-12	6.79580082878494e-10	3.08602694114226	Up	bacteria
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae	Group	MI	3.35597830295611	0.609681675962108	84	29	4.13107490722138e-07	4.44779065010835e-05	3.35597830295611	Up	bacteria
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	Group	MI	-4.34494520565421	0.822858150159543	84	38	1.03719620113411e-06	8.37535932415797e-05	-4.34494520565421	Down	bacteria
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Weissella	Group	MI	-3.91215462560135	0.844248082119995	84	33	1.33573194528915e-05	0.000862882836656791	-3.91215462560135	Down	bacteria
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Weissella.s__Weissella_confusa	Group	MI	-2.28999666210949	0.604778061714188	84	23	0.000289950013645263	0.01560897573457	-2.28999666210949	Down	bacteria
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Weissella.s__Weissella_cibaria	Group	MI	-2.75605438657557	0.750159120381092	84	22	0.000424612991926816	0.0195928566274802	-2.75605438657557	Down	bacteria
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_infantarius	Group	MI	-2.59669726383582	0.732919083403963	84	20	0.000656120753445098	0.0264908754203458	-2.59669726383582	Down	bacteria
k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Arthrodermataceae.g__Microsporum	Group	MI	1.28838440982367	0.315193444452705	84	68	0.000101102152623853	0.0195127154564036	1.28838440982367	Up	fungi
k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_luchuensis	Group	MI	1.04739616725578	0.286140327148021	84	74	0.000444331833131818	0.0285853479314803	1.04739616725578	Up	fungi
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Kluyveromyces	Group	MI	1.23850956739957	0.33529367128673	84	67	0.000397191409528533	0.0285853479314803	1.23850956739957	Up	fungi
k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales	Group	MI	1.06110718380204	0.312859741506199	84	76	0.00107137978833297	0.0296469698162484	1.06110718380204	Up	fungi
k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Arthrodermataceae	Group	MI	1.06110718380204	0.312859741506199	84	76	0.00107137978833297	0.0296469698162484	1.06110718380204	Up	fungi
k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Ophiostomatales.f__Ophiostomataceae.g__Sporothrix.s__Sporothrix_schenckii	Group	MI	1.17129466563253	0.33202839223186	84	71	0.000689794164689956	0.0296469698162484	1.17129466563253	Up	fungi
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Rountreeviridae	Group	MI	-2.36481295399105	0.455760432196946	84	80	1.50367196969017e-06	5.6791401212004e-05	-2.36481295399105	Down	virus
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Rountreeviridae.g__Andhravirus	Group	MI	-2.33318458354895	0.454380953887802	84	80	1.86813819776329e-06	5.6791401212004e-05	-2.33318458354895	Down	virus
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Rountreeviridae.g__Andhravirus.s__Staphylococcus_virus_Andhra	Group	MI	-2.33318458354895	0.454380953887802	84	80	1.86813819776329e-06	5.6791401212004e-05	-2.33318458354895	Down	virus
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Siphoviridae.g__Chivirus	Group	MI	-2.71136306848633	0.506187768709059	84	82	7.60100056071133e-07	5.6791401212004e-05	-2.71136306848633	Down	virus
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Siphoviridae.g__Chivirus.s__Salmonella_phage_TS13	Group	MI	-2.66992839981408	0.487436322467891	84	82	4.61905711297724e-07	5.6791401212004e-05	-2.66992839981408	Down	virus
