feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ANME.1	Group	MI	1.97430538257024	0.766130528097136	85	27	0.0117353253334654	0.494673927999397
Kariarchaeaceae	Group	MI	-2.2252722856157	0.88028022237755	85	33	0.0133695656216053	0.494673927999397
Methanofastidiosaceae	Group	MI	-2.0088899691431	0.940424246231536	85	42	0.0356123812868112	0.878438738408011
AMARA.1	Group	MI	0.454104494581501	0.801700402200861	85	32	0.572632229099619	0.912362333861158
Acidilobaceae	Group	MI	-0.62269520726146	0.538821934519863	85	18	0.251135990329661	0.912362333861158
Altiarchaeaceae	Group	MI	-0.240030884476735	0.4381352485617	85	18	0.585267622062044	0.912362333861158
Archaeoglobaceae	Group	MI	0.562178626380662	0.887578766563247	85	40	0.528224059302122	0.912362333861158
B24	Group	MI	-0.952985647432006	0.780223518555518	85	19	0.225382618825553	0.912362333861158
CABMGC01	Group	MI	0.660326792753663	0.867310028291935	85	22	0.448605646334515	0.912362333861158
CG.Epi1	Group	MI	-0.492441371420767	0.743397729795631	85	37	0.509537453534857	0.912362333861158
DHVEG.1	Group	MI	-0.761260761665416	0.942752649483433	85	55	0.421693902595411	0.912362333861158
DSVV01	Group	MI	-0.673666339199995	0.637810963055982	85	28	0.293934062704325	0.912362333861158
GW2011.AR1	Group	MI	-0.781763792491315	0.60901703147983	85	82	0.202837133026925	0.912362333861158
GW2011.AR15	Group	MI	0.580748299758675	0.714171337414532	85	32	0.418442657878168	0.912362333861158
GW2011.AR4	Group	MI	-0.648237703273584	0.951031649394226	85	40	0.49737980307233	0.912362333861158
GW2011.AR5	Group	MI	-0.559745534705605	0.624072236408312	85	20	0.372353546709082	0.912362333861158
GW2011.AR9	Group	MI	-0.689736000034215	0.966652632895684	85	57	0.477519206542708	0.912362333861158
HEL.GB.A	Group	MI	-1.07492298092557	0.870053981734565	85	52	0.220142325171949	0.912362333861158
Haloarculaceae	Group	MI	-0.605077692282418	0.89040094212366	85	54	0.498676218107348	0.912362333861158
Halobacteriaceae	Group	MI	-0.95817835312128	0.592955804000081	85	22	0.109903232858454	0.912362333861158
Haloferacaceae	Group	MI	-1.14951083553257	1.02830891684843	85	68	0.266849736626973	0.912362333861158
Hermodarchaeaceae	Group	MI	0.652478780143757	0.829911185748609	85	26	0.433987373663253	0.912362333861158
