feature	AMARA.1	ANME.1	ARS49	Acidilobaceae	Altiarchaeaceae	Archaeoglobaceae	B24	Bilamarchaeaceae	CABMGC01	CG.Epi1	DHVEG.1	DSVV01	Desulfurococcaceae	GCA.2686295	GW2011.AR1	GW2011.AR15	GW2011.AR17	GW2011.AR18	GW2011.AR4	GW2011.AR5	GW2011.AR9	Gearchaeaceae	HEL.GB.A	Haladaptataceae	Haloarculaceae	Halobacteriaceae	Haloferacaceae	Hermodarchaeaceae	Hodarchaeaceae	Ignisphaeraceae	JABGXB01	JABLTI01	JABXJV01	JdFR.42	JdFR.43	Kariarchaeaceae	MK.D1	Methanobacteriaceae	Methanocaldococcaceae	Methanococcaceae	Methanocomedenaceae	Methanocorpusculaceae	Methanoculleaceae	Methanofastidiosaceae	Methanomassiliicoccaceae	Methanomethylophilaceae	Methanomicrobiaceae	Methanoperedenaceae	Methanoregulaceae	Methanosarcinaceae	Methanospirillaceae	Methanotrichaceae	Micrarchaeaceae	Natrialbaceae	Nitrosopumilaceae	Nitrososphaeraceae	Poseidoniaceae	RDOG01	S146.22	SOKP01	Sulfolobaceae	TCS64	Thalassarchaeaceae	Thermococcaceae	Thermoplasmataceae	Thorarchaeaceae	UBA10216	UBA233	UBA287	UBA460	UBA472	UBA489	UBA57	UBA583
CON1	-16.6006782237562	-16.0715733928408	-17.4674116928928	-15.0011840649494	-13.8147695416297	-16.0715733928408	-16.603265436436	-19.2329464392557	-19.2329464392557	-15.9531863665003	-14.7496452979535	-16.2553421330156	-15.0943326516595	-16.3569806070592	-11.9258959376452	-16.3075642228005	-18.4674116928928	-15.3040660631273	-15.3060386464778	-15.0715733928408	-17.7605412885579	-18.5548745341431	-12.2235764862859	-16.6315365208689	-12.9340698690909	-14.2318361754094	-10.3007443468083	-17.3849495327008	-12.778791643613	-16.0313125780861	-16.1755787878367	-16.1755787878367	-14.0011840649494	-13.7210761457567	-17.7605412885579	-15.9340698690909	-16.1340368613981	-0.0136091607216169	-17.9699120334219	-15.808538987007	-18.6479839385346	-13.5355204926006	-16.1119310382944	-16.4463500773649	-8.2908695988732	-9.24375436822353	-18.1625571113643	-16.5381488672214	-12.9340698690909	-10.3655954911583	-17.9699120334219	-15.603265436436	-12.2135923977132	-12.4393051773413	-13.7496452979534	-12.6792559700621	-13.4393051773413	-14.0011840649494	-15.8536506929493	-10.5958399618744	-16.414479426717	-17.9699120334219	-15.7735148206184	-15.4866108921197	-13.665581033165	-17.3970712672319	-14.9531863665003	-16.9699120334219	-15.1340368613981	-12.1646827972323	-16.1954374060623	-14.9641118599558	-18.854434816002	-16.7605412885579
CON2	-16.6006782237562	-17.6450640711379	-17.4674116928928	-16.0011840649494	-13.8147695416297	-17.0715733928408	-16.603265436436	-19.2329464392557	-19.2329464392557	-15.9531863665003	-17.2580409480287	-16.2553421330156	-15.0943326516595	-15.3569806070592	-15.0839621126528	-16.3075642228005	-18.4674116928928	-15.3040660631273	-16.4825114891431	-16.0715733928408	-15.8544802665301	-18.5548745341431	-16.0630214378134	-9.22598111752526	-13.2695177658089	-14.2318361754094	-10.2208439190732	-17.3849495327008	-16.2580409480287	-16.0313125780861	-16.1755787878367	-16.1755787878367	-15.4051274146384	-16.8824491921716	-17.7605412885579	-16.9340698690909	-16.1340368613981	-0.0056646221955597	-17.9699120334219	-14.620015012893	-18.6479839385346	-16.2309135850237	-16.1119310382944	-16.4463500773649	-13.071578388197	-13.6020931048958	-18.1625571113643	-16.5381488672214	-13.8975489884219	-12.6565408889182	-17.9699120334219	-15.603265436436	-16.3569806070592	-15.1870556056169	-15.4825114891431	-16.1360504236501	-15.1755787878367	-15.0465740201478	-13.8975489884219	-12.4262432694964	-14.0350525121719	-17.9699120334219	-13.6565408889181	-16.4866108921197	-14.8544802665301	-17.3970712672319	-14.9531863665003	-14.5496256850016	-13.7720181063381	-12.4341484675817	-16.1954374060623	-14.9641118599558	-18.854434816002	-16.7605412885579
CON4	-7.56536176606525	-7.7393911658403	-7.43983088398139	-16.0011840649494	-13.8147695416297	-17.0715733928408	-16.603265436436	-19.2329464392557	-19.2329464392557	-15.9531863665003	-7.50123142864554	-9.43983088398139	-15.0943326516595	-8.11790278909404	-6.53294028837288	-16.3075642228005	-18.4674116928928	-15.3040660631273	-17.4825114891431	-8.77686587125898	-9.32435366656147	-7.26990588253909	-16.0630214378134	-16.6315365208689	-9.32435366656147	-8.21743846264494	-6.23037751835245	-17.3849495327008	-6.04751346120263	-16.0313125780861	-16.1755787878367	-16.1755787878367	-8.11790278909404	-16.8824491921716	-9.32435366656147	-6.7393911658403	-16.1340368613981	-1.54349848007145	-17.9699120334219	-8.26990588253908	-18.6479839385346	-8.21743846264497	-16.1119310382944	-16.4463500773649	-3.03468942084505	-1.68105246623035	-18.1625571113643	-6.43983088398139	-8.21743846264497	-6.39543676462293	-17.9699120334219	-15.603265436436	-9.56536176606527	-7.98039926534409	-6.95870419424477	-5.93733054345221	-8.32435366656147	-15.0465740201478	-15.8536506929493	-5.3881687641589	-6.48563457359452	-17.9699120334219	-9.43983088398139	-16.4866108921197	-6.77686587125896	-17.3970712672319	-14.9531863665003	-16.9699120334219	-15.1340368613981	-5.95870419424477	-16.1954374060623	-14.9641118599558	-18.854434816002	-16.7605412885579
CON5	-16.6006782237562	-16.6450640711379	-17.4674116928928	-16.0011840649494	-13.8147695416297	-17.0715733928408	-16.603265436436	-19.2329464392557	-19.2329464392557	-14.9531863665003	-16.2580409480287	-14.9879517846609	-15.0943326516595	-16.3569806070592	-12.4751390696956	-14.3231359762506	-18.4674116928928	-15.3040660631273	-17.4825114891431	-16.0715733928408	-16.7605412885579	-18.5548745341431	-13.6450640711379	-16.6315365208689	-15.1644105104416	-14.2318361754094	-15.1360504236501	-14.6450640711379	-15.2580409480287	-16.0313125780861	-15.1755787878367	-15.1755787878367	-15.4051274146384	-16.8824491921716	-16.7605412885579	-12.6107941690532	-14.3913074788921	-0.00594515867279869	-17.9699120334219	-12.7605412885579	-18.6479839385346	-12.5906162871156	-16.1119310382944	-14.5906162871156	-11.2136468286702	-10.7052588530567	-16.7605412885579	-15.5381488672214	-17.9699120334219	-11.821941833222	-17.9699120334219	-15.603265436436	-17.3569806070592	-16.0235756943917	-12.1705781067783	-15.1360504236501	-14.1755787878367	-15.0465740201478	-14.8536506929493	-9.97155113390884	-16.414479426717	-17.9699120334219	-15.7735148206184	-14.9531863665003	-14.2794145988212	-14.345503789279	-13.9531863665003	-14.1957566697743	-15.1340368613981	-13.7307939451638	-16.1954374060623	-14.9641118599558	-18.854434816002	-15.7605412885579
CON3	-16.6006782237562	-17.6450640711379	-10.4555488339939	-16.0011840649494	-13.8147695416297	-10.806046081078	-16.603265436436	-19.2329464392557	-19.2329464392557	-15.9531863665003	-17.2580409480287	-12.5430116752442	-12.668542557328	-16.3569806070592	-10.4841179861906	-16.3075642228005	-12.040511334715	-15.3040660631273	-17.4825114891431	-16.0715733928408	-12.4275344578242	-18.5548745341431	-16.0630214378134	-16.6315365208689	-11.8800466625218	-9.5733853242877	-9.88004666252174	-17.3849495327008	-16.2580409480287	-16.0313125780861	-16.1755787878367	-8.84257195710306	-15.4051274146384	-9.18545967062611	-17.7605412885579	-16.9340698690909	-16.1340368613981	-0.106972541256949	-17.9699120334219	-11.4275344578242	-18.6479839385346	-11.2210835803568	-9.19723683840246	-10.8425719571031	-5.88956943664023	-5.75510911585273	-18.1625571113643	-16.5381488672214	-9.9986911590204	-8.89915548546945	-10.2210835803568	-8.5733853242877	-17.3569806070592	-11.040511334715	-7.70170942126323	-16.1360504236501	-11.5430116752442	-15.0465740201478	-9.84257195710306	-7.45908919169908	-11.1737778655785	-10.2699931808378	-9.958049174523	-16.4866108921197	-10.958049174523	-12.4275344578242	-10.6361210796356	-16.9699120334219	-15.1340368613981	-9.55811856763439	-16.1954374060623	-14.9641118599558	-18.854434816002	-16.7605412885579
CON6	-16.6006782237562	-17.6450640711379	-17.4674116928928	-16.0011840649494	-6.62987697898187	-4.47144761637739	-16.603265436436	-8.85226940031834	-19.2329464392557	-15.9531863665003	-7.39283778168103	-8.73679218289839	-15.0943326516595	-16.3569806070592	-6.22777853541053	-16.3075642228005	-8.11530380615212	-15.3040660631273	-17.4825114891431	-16.0715733928408	-5.89807308993145	-18.5548745341431	-16.0630214378134	-7.11530380615212	-4.24247504661723	-6.85226940031833	-2.7843869280375	-6.34976905978914	-6.39283778168103	-16.0313125780861	-6.26730689959717	-7.73679218289839	-15.4051274146384	-16.8824491921716	-17.7605412885579	-16.9340698690909	-16.1340368613981	-2.45281344223834	-7.53034130543097	-16.808538987007	-18.6479839385346	-16.2309135850237	-16.1119310382944	-16.4463500773649	-15.0234930736268	-6.60434188687474	-7.43723190103948	-6.85226940031833	-6.85226940031833	-3.38194946553829	-17.9699120334219	-4.85226940031832	-17.3569806070592	-17.0954429155058	-5.80787528095987	-8.34976905978915	-6.15182968217723	-15.0465740201478	-15.8536506929493	-2.90390216873365	-16.414479426717	-17.9699120334219	-5.18930438759589	-16.4866108921197	-6.79337571126475	-6.17044536034458	-14.9531863665003	-4.69576491463833	-15.1340368613981	-5.77902041828768	-16.1954374060623	-5.85226940031832	-18.854434816002	-16.7605412885579
CON24	-16.6006782237562	-17.6450640711379	-17.4674116928928	-13.1749976810555	-11.968546803588	-17.0715733928408	-16.603265436436	-19.2329464392557	-19.2329464392557	-15.9531863665003	-12.068082477139	-16.2553421330156	-13.2904748984754	-11.1749976810555	-8.50474999238935	-8.83104327983812	-18.4674116928928	-15.3040660631273	-12.7879745579462	-16.0715733928408	-12.017456404069	-18.5548745341431	-9.70551239775429	-16.6315365208689	-15.1644105104416	-12.4160057805593	-16.529956644137	-17.3849495327008	-10.8310432798382	-16.0313125780861	-16.1755787878367	-12.5535093043092	-11.968546803588	-16.8824491921716	-17.7605412885579	-16.9340698690909	-16.1340368613981	-0.0735648773906324	-17.9699120334219	-11.968546803588	-18.6479839385346	-16.2309135850237	-16.1119310382944	-16.4463500773649	-5.6757650543602	-9.87543739919659	-18.1625571113643	-11.2904748984754	-12.4831199764178	-11.2904748984755	-17.9699120334219	-12.4160057805593	-17.3569806070592	-10.7879745579463	-7.26810708544695	-10.7669129424184	-15.1755787878367	-11.968546803588	-15.8536506929493	-7.62040882937784	-12.5535093043092	-17.9699120334219	-11.383584302867	-9.94470006163369	-12.7055123977542	-11.4160057805593	-11.2030120572251	-9.26072755508136	-15.1340368613981	-9.35973756091256	-16.1954374060623	-11.8310432798381	-18.854434816002	-16.7605412885579
CON25	-8.23481743111735	-17.6450640711379	-17.4674116928928	-9.36034831320119	-13.8147695416297	-17.0715733928408	-16.603265436436	-8.36034831320119	-19.2329464392557	-15.9531863665003	-7.61032656620952	-16.2553421330156	-9.11934021369739	-16.3569806070592	-4.8141553826446	-16.3075642228005	-18.4674116928928	-6.02536406548837	-7.3279268355088	-16.0715733928408	-7.29621797578147	-18.5548745341431	-16.0630214378134	-16.6315365208689	-6.23481743111732	-4.78635693030103	-3.65738860308158	-17.3849495327008	-6.73231709058815	-7.91288933622999	-5.5909612413426	-5.51599918366138	-15.4051274146384	-16.8824491921716	-17.7605412885579	-6.75369074138072	-16.1340368613981	-1.70213683044939	-6.81977993183847	-7.91288933622999	-18.6479839385346	-4.24235110380274	-7.49785183695114	-16.4463500773649	-15.0234930736268	-14.6845098145597	-18.1625571113643	-16.5381488672214	-17.9699120334219	-3.31993404475528	-8.23481743111735	-4.94941521225508	-9.49785183695116	-7.81977993183849	-5.02536406548837	-8.11934021369739	-5.2273228945704	-15.0465740201478	-15.8536506929493	-4.20875513453112	-5.61032656620953	-17.9699120334219	-15.7735148206184	-9.23481743111735	-4.69049691489351	-17.3970712672319	-14.9531863665003	-5.99960096942329	-15.1340368613981	-6.96179893671091	-16.1954374060623	-7.77538581248004	-8.36034831320119	-16.7605412885579
CON26	-16.6006782237562	-17.6450640711379	-9.78418041047615	-16.0011840649494	-8.25366569377737	-17.0715733928408	-6.94287815649521	-7.08374069233506	-19.2329464392557	-9.49467379328117	-17.2580409480287	-16.2553421330156	-7.99990910153159	-16.3569806070592	-8.33939556780326	-16.3075642228005	-8.59655340730038	-5.84036324586928	-17.4825114891431	-16.0715733928408	-17.7605412885579	-7.41494660081044	-6.7544330670821	-16.6315365208689	-5.81455405951967	-14.2318361754094	-4.94287815649521	-17.3849495327008	-16.2580409480287	-16.0313125780861	-5.23985989425234	-16.1755787878367	-15.4051274146384	-16.8824491921716	-10.3691429111973	-9.25366569377737	-16.1340368613981	-1.01838785255852	-5.65489739353119	-8.70617789847488	-18.6479839385346	-16.2309135850237	-16.1119310382944	-6.14032422070143	-15.0234930736268	-8.199217909755	-9.86664257066813	-16.5381488672214	-10.2536656937774	-3.9654207251463	-9.31024922214374	-4.93729712423191	-8.78418041047615	-7.59655340730038	-5.66870319305622	-7.07146236255663	-15.1755787878367	-15.0465740201478	-15.8536506929493	-4.22618495735526	-4.04421232814843	-17.9699120334219	-7.17274569839381	-9.70617789847488	-4.39377257770603	-9.09612441679089	-14.9531863665003	-7.52784065721637	-15.1340368613981	-6.61425540903384	-16.1954374060623	-8.90971129256001	-18.854434816002	-16.7605412885579
CON27	-16.6006782237562	-17.6450640711379	-9.83110927535706	-10.130669557216	-13.8147695416297	-17.0715733928408	-16.603265436436	-19.2329464392557	-19.2329464392557	-9.13066955721596	-7.64128471647701	-16.2553421330156	-10.3716776567198	-8.30754731930002	-6.24614677463587	-9.66118427391474	-18.4674116928928	-10.130669557216	-7.92421867974851	-16.0715733928408	-9.92421867974852	-18.5548745341431	-7.92421867974852	-16.6315365208689	-7.40484452065493	-14.2318361754094	-6.01732808413998	-17.3849495327008	-8.43879185257826	-16.0313125780861	-6.07622177319355	-7.58318176191344	-9.50918118046968	-16.8824491921716	-9.83110927535706	-8.24614677463591	-5.7330771923965	-1.19018654018357	-7.97312828022946	-7.15868393338553	-18.6479839385346	-7.18725308558229	-16.1119310382944	-6.88859477001779	-2.81569422297033	-2.93780774449646	-8.66118427391472	-16.5381488672214	-17.9699120334219	-5.57372143266437	-17.9699120334219	-15.603265436436	-10.3716776567198	-17.0954429155058	-6.58318176191344	-5.52732852717992	-7.13066955721593	-15.0465740201478	-7.97312828022945	-5.79768627381958	-8.92421867974852	-17.9699120334219	-8.07622177319357	-16.4866108921197	-5.72258481857885	-17.3970712672319	-14.9531863665003	-6.33925617902735	-15.1340368613981	-4.89447133635445	-16.1954374060623	-14.9641118599558	-10.3716776567198	-16.7605412885579
