feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales_unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes_unclassified	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Prevotellaceae	Proteobacteria_unclassified	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Siphoviridae	Streptococcaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Veillonellaceae
CON1	0.00152358409951904	0.000152407916003506	0.00233969136017912	0	0	0.100523558321011	0.00705503669087974	0.232506762615053	0	0.000798391166479623	5.94072619224806e-06	0	0.0217882498164475	0	8.94291460725915e-05	0.00603736907726837	0.0634560436298248	0.000198236375200849	0.00718435356995741	0.0249714182115296	0.000976117891731046	0.279766371041279	0.0378821014088328	0.0128967154184582	0	0.0033738727781463	0.00310392335105332	9.60063786425802e-05	0	0	0	8.95352304688813e-05	0	0.0298864143760482	0.149451874300882	0	0.000230698200465633	0.0040540859271587	0	0.000148801046529641	0.0086563099299486	0.000756699998737596
CON2	4.93483524091555e-05	0	0	0	0	0.0588092107505021	0.00310267809526026	0.695251691142064	1.28825172604953e-05	0.0115704398035984	0	2.25097747831235e-05	0.1012415214336	0	0.000282134054089396	0.000405487619900911	0.00776670343032345	0.0013212891493466	0.00231116515304014	0.00791796911686603	0.00264101992966976	0.0462202902140244	0.0342795473000322	0	0	0.00121331149123309	0.000294739527967945	0	0	0	0	3.22755539967248e-05	0	0.00604044611741709	0.00392431950526701	0	0	0.00306475778235638	0	0.000151681251615509	0.00559734985841696	0.00647523107495881
CON3	7.71206251480757e-05	0	0.00178347762875202	0	4.17441915939125e-05	0.135952847054942	0.00461760164222121	0.195313896105681	0	0.000872989304592306	0	0.000367476915024055	0.0229544537514788	0	0.00150339735052749	0.0160908191888245	0.000735829817926595	0	0.0455439911678859	0.0394175677886589	0.00124602537346059	0.184947186016969	0	0	0	0.00122008265552087	0	0.000768847822577147	0	0	0	0	0.00786387795251715	0.0413359475506975	0.230394852210063	0	0.000129780973381558	0.00166033394814206	0.000250667300612356	0	0.0378114440134585	0.0270977416493423
CON4	0.00438215708052243	7.13772793271993e-05	0	0	4.09909518421916e-05	0.159210624392465	0	0.146955825315597	0	0.0103939934048073	5.20034463669595e-05	0.000412254771885524	0.0461553019365981	0	0.00107453395650003	0.0326781159674814	0.0232097499188254	0.00080350423014047	0.0497388832181718	0.0129934179611814	0.00390943555629259	0.17218701377415	0.0829546400448903	0.00242315666561651	0.000691951739306248	0.00401976443662405	0	0	2.08013785467837e-05	0	0	0.0173378130620217	0	0.0467389641464108	0.0444040094045345	0	0.00100036956436101	0.112167253144313	0.000197817031278237	0	0.0237358004674668	3.84757524754235e-05
CON5	0.00140827580576181	0.000108896118232758	0.00200020475462466	0	0.000207497510207987	0.102876268148195	0.0148664040193461	0.0511466579578271	0	0.00145825331766255	4.28887557580114e-05	0.000163825072866357	0.113773859274868	0	0.001865554009803	0.0102848589939538	0.00153886565510472	0	0.00270387957293343	0.0218675303122693	0.000855887154981513	0.212682988759228	2.00907460527561e-05	0.000195029848650425	3.66549249792305e-05	0.00206923997776339	0.00704907335708458	0	0	1.34650744821664e-05	0	0.0445049565366632	0.00247575698832022	0.039663941663313	0.231589627561027	0.0548439251817767	0	0.0141412848231584	0.00027411044481553	0.00346757727616932	0.0216300391705428	0.0381726312315779
CON6	0	0.00111017306428906	0	0	0.000100166822955196	0	0	0.192751257222756	0	0.00337150826848531	0.000128501305470699	0	0	9.08695708797964e-05	0	0	0.190928811346691	0.0506489205244697	0.083945885122932	0.000104926130565222	0.0229586785476202	0.0474469764247882	6.69254573998989e-05	0.000459217843581334	0	0	0	0	0	0	0.038288777298088	0	0	0	0.0232085975379327	0	0.000737508210266802	0.24597699232641	0	0	0	0.0976753069744188
CON7	0	8.60573759241165e-05	0	0	1.48515093202376e-05	0.00907274635466655	0	0.81384460411437	0	0	0	0	0.0021302760834549	0	0	0.000386444410325909	0.00128679173219867	0	0.000352062149022893	0.000694562367387551	0	0.0260560575983577	0.135014494801836	5.94060372809507e-05	0	0	0	0	0	0	0	0	0	0	7.29351519356875e-05	4.17062932965571e-06	0.000169096979406449	0.0105576938413571	0.000159094250526381	0	0	3.86546132992486e-05
CON8	0.0058178349789146	3.02679004486294e-05	0.0919557798981559	0	0	0.108456601789419	0.0282309867578111	0.0174120579511121	0	0.00146080410597253	0	0.00165587562698233	0.0437663294180404	0	0.00145686681810929	0.00905136779095337	0.0183497652409689	0.00124878818540843	0.0150592823723369	0.139454201203917	0.00249915831683335	0.324777841168894	0.000783098432512964	1.83154194352334e-05	0	0.00658543034046608	0.00161748707031578	0	0	0	5.47353321701695e-05	0.00128394254133019	0	0.0222923614119494	0.120775777889436	0.000449870292730674	0.00236525537512739	0.00401912720382219	3.71229998533712e-05	0.00027673508981604	0.0287569310767565	0
CON9	0	0.000491689409482107	0	3.54342271385935e-05	0.00011325607782157	0.000534990105281795	0	0.683564695892682	0	0.000763398641762878	9.70666043717265e-05	0	0.00372796866392209	4.08775425067619e-05	0	0.000133554376420288	0.000209128664628665	0	0.000244281946457934	0.000509424082133236	0	0.00337629537297474	0.30253809855442	0	4.55131401106214e-05	0	0	0	0.00113477322252663	0.000873810148327533	6.33882854164135e-05	0	0	0	0.000126179562050511	0	8.53371377074152e-05	0.000706085798660615	0	0	1.09568670636681e-05	0.000573795676132286
CON10	0.00187750965379212	0.000118957822086048	0.000503505503898934	0	2.78807395514175e-05	0.131868153428329	0.00335976679861026	0.0591813099638124	0	0.000342898675816322	0	0	0.029903538836872	0	7.40388528087642e-05	0.00542197774676399	0.000254953873897962	0	0.0303333152739572	0.03647592408646	0.00156710408678634	0.466024083313983	0	0.00901477245495832	0.000394770619648403	0.0016646866752163	8.42617906442842e-05	0	8.88053185711814e-06	0	0.000563087676940294	0.000801726155100761	3.3973197453394e-05	0.0169218534537386	0.178892738113735	0	0	0.0200369581576187	6.40224389699216e-05	0	0.0041833500766927	0
