feature	Arthrodermataceae	Aspergillaceae	Ceratobasidiaceae	Chaetomiaceae	Cladosporiaceae	Clavicipitaceae	Cryptococcaceae	Debaryomycetaceae	Dipodascaceae	Glomerellaceae	Herpotrichiellaceae	Malasseziaceae	Marasmiaceae	Mycosphaerellaceae	Nectriaceae	Ophiocordycipitaceae	Ophiostomataceae	Phaffomycetaceae	Pichiaceae	Pneumocystidaceae	Pyriculariaceae	Saccharomycetaceae	Saccharomycodaceae	Schizosaccharomycetaceae	Sclerotiniaceae	Sordariaceae	Trichocomaceae	Trichomonascaceae	Ustilaginaceae
CON1	-7.44775601295691	-5.09359817338838	-9.84848567555184	-3.56503172847911	-4.72354812888284	-5.34822033940597	-8.00895034774512	-6.15977524999287	-5.9619868687745	-5.06299018745797	-7.34152568683196	-7.98788873221725	-7.08518593357218	-6.59656730191224	-5.07404537596697	-6.39597347085433	-4.02763491101001	-8.57285123293845	-5.95175494616355	-7.90658863011541	-5.21377013963358	-2.73996121877367	-9.18952259338698	-1.34403254244253	-9.28905826693788	-7.94666606949074	-7.28905826693783	-8.96713017205046	-6.23843219386786
CON2	-8.55678588242775	-3.86572856267594	-9.78459179995054	-3.05810472358859	-3.67496730877603	-5.00599587087435	-10.7012398078414	-6.6020667617286	-7.41780946927892	-2.88213734457627	-10.9508989160503	-9.03251931339413	-10.9495565482069	-3.8389939528929	-5.43260647120699	-5.27096808094964	-2.98437305917456	-10.8596785713317	-5.47218647918168	-7.68379115916304	-4.25444218385876	-3.47170884466618	-8.11365607611953	-3.19331552529717	-9.64020189061541	-9.64020189061541	-9.41780946927893	-9.8230659477652	-6.47793046171649
CON3	-6.55648708494654	-4.65436573348588	-9.75526694906112	-3.6911366116413	-4.66202947018406	-4.96914586144264	-8.96677105425479	-6.27806062869576	-5.48677811313513	-4.51773104146404	-10.9508989160503	-9.30780797208987	-9.57084237792367	-6.01994171327608	-5.16213051689417	-6.19233075466987	-3.61757713890875	-8.85714656308028	-5.70294591393095	-8.21469856769836	-4.51425884955722	-3.28248381572994	-10.9615943907567	-1.43292905583519	-7.75526694906105	-9.00524520206938	-7.50045305003221	-8.14860937724058	-5.62973606697717
CON4	-6.25278925299197	-4.27514968969438	-10.8484856755518	-3.91545924208585	-5.59061955177859	-5.37489086072315	-8.72169362424955	-5.2509021434477	-7.09550846080188	-4.98551231661577	-9.38727458517905	-7.997328066863	-7.31451824274366	-6.60863095976291	-6.33636263178689	-7.2228877672781	-4.15514316064226	-8.05543102142656	-5.51733512574335	-7.0455832354702	-4.68683486703789	-2.40723352200201	-9.15779273905628	-1.49853133628072	-8.20086146094812	-8.46389586678191	-6.83586464416885	-7.30274107496731	-5.50716332068606
CON5	-10.9632863218059	-4.47619174022616	-10.8484856755518	-3.65250524107739	-4.61425168040295	-5.67467662207602	-6.18500032190442	-6.18500032190442	-7.43596189543764	-5.0685908297891	-10.9508989160503	-10.8852444366012	-7.62038646657509	-6.0854646483535	-6.53292362532472	-6.27246316315475	-3.99500969740799	-10.8596785713317	-5.93007096570767	-7.37937836707128	-3.98178600225183	-3.05953258436771	-7.05745027218391	-1.29989358324444	-10.9585027164693	-10.8781175699255	-10.7322428143811	-10.8829440425428	-5.23746774179855
CON6	-7.14833709688795	-4.6815924491488	-10.8484856755518	-3.77968152171529	-4.94203557446396	-4.35772045766253	-9.43485985564413	-6.41855804331501	-8.25043528450669	-5.94787251448625	-8.83539778522787	-8.52505766461572	-7.36031290227905	-4.99745454333681	-5.79392114925168	-4.43622669140801	-4.18923512806994	-9.15732588011522	-5.66547278378553	-8.19385175614034	-5.46523350468763	-2.84353585467151	-8.80682863303107	-1.38963798077446	-8.17547322682546	-8.9556920189456	-5.28449712058031	-8.98740087867291	-8.89429147428145
CON7	-10.9632863218059	-3.96844339556708	-10.8484856755518	-2.18002764158076	-4.2695857406637	-3.84031369040502	-10.7012398078414	-9.17242750864549	-5.30375643111126	-4.87628595098638	-10.9508989160503	-10.8852444366012	-10.9495565482069	-4.27616696112574	-7.86774084185339	-5.35657964154232	-2.61087282236985	-10.8596785713317	-7.06200966227544	-10.9939676379421	-7.15598581048444	-2.73456828301288	-10.9615943907567	-3.30039853590086	-10.9585027164693	-10.8781175699255	-10.7322428143811	-6.43857301373963	-6.30567874324229
CON8	-6.58051966925516	-5.08828036089243	-10.8484856755518	-4.29022318341691	-5.2585915743678	-6.2831337586306	-7.58051966925516	-5.78063341810141	-6.37059659988093	-5.76080224617984	-10.9508989160503	-7.95555910060209	-7.37059659988093	-5.77565001058715	-7.86809625935174	-6.24131358293597	-3.93735892178886	-10.8596785713317	-6.46370600427242	-6.69817125790943	-4.94433184517883	-2.9401440482154	-7.63363100571474	-1.07501896626835	-8.02482176303923	-6.51261560475337	-7.43199714454508	-7.65177835242499	-5.96120566374323
CON9	-10.9632863218059	-4.08753514652233	-10.8484856755518	-2.57468390949384	-3.94226748966517	-4.13290272706718	-8.0945175987843	-4.54624989804382	-5.83725893145466	-4.78782122029179	-10.9508989160503	-7.53391430369154	-6.36547892038971	-6.25827986107811	-4.3829724056168	-5.86508419206727	-2.81826569626805	-10.8596785713317	-8.61229807998619	-10.9939676379421	-9.22493646179604	-3.00183285142347	-10.9615943907567	-2.59245327146778	-10.9585027164693	-10.8781175699255	-7.0945175987843	-10.8829440425428	-5.99278771182046
CON10	-5.84260008519861	-5.58927580431027	-9.00806543845025	-4.21509443455527	-4.22816372913342	-4.39172081224407	-8.62340158821491	-6.08523329897268	-7.18930575312037	-5.50910545562628	-8.47755072175144	-10.8852444366012	-7.65442848383553	-5.81604666615729	-6.17799043989254	-6.02317233084043	-4.11190124943476	-8.75172568519044	-5.40980611511561	-8.20071051639265	-4.58180068374812	-3.14709344703061	-9.04870742294763	-1.27222739028974	-9.53413425011786	-6.89258822103028	-6.80295100854561	-8.11190124943476	-5.36420924867549
CON11	-6.82409086700674	-4.1465313735638	-10.8484856755518	-3.44117214223022	-4.77771093172443	-5.00043413262003	-9.42554149051648	-5.28070747003698	-5.69106544837595	-3.78567064869291	-10.9508989160503	-8.2391283662856	-8.47616756358642	-5.41315776606063	-5.71746844747294	-6.11861555896834	-3.40087943628218	-7.84057898979532	-5.81999811237285	-10.9939676379421	-4.89120506286527	-3.59352451422459	-9.96159439075671	-1.62642738075563	-8.61109714367254	-9.07406912001511	-8.26115467261561	-8.69855998492292	-5.34100798030478
CON12	-9.46920765467955	-3.67791450608729	-6.71645906327237	-2.4364455808657	-4.11941778443763	-3.91769163705148	-10.7012398078414	-7.79113574956686	-8.17054933911499	-4.28731001157111	-10.9508989160503	-10.8852444366012	-6.4195768869549	-6.32190095589921	-7.71788676753623	-6.68679908975213	-3.1830657818452	-10.8596785713317	-6.12154199837853	-7.9331547544393	-7.06321529500367	-2.07929672960784	-9.04697465399648	-3.01371603405103	-10.9585027164693	-10.8781175699255	-10.7322428143811	-10.8829440425428	-7.31216394453392
