Feature	MI35	MI33	MI32	MI38	MI36	MI34	MI37	MI30	MI27	MI28	MI29	MI31	MI17	MI21	MI20	MI24	MI23	MI26	MI19	MI18	MI15	MI25	MI22	MI14	MI16	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47
Ackermannviridae	10375.4688	12314.7696	6660.6577	7511.5262	10417.5615	4757.3114	8549.2337	565.0169	7277.5756	8035.9988	10992.1904	6068.0716	5071.2321	12702.0848	2512.6131	9519.4075	4419.0671	4907.8015	2366.2322	6237.445	6291.9934	8730.4168	13805.538	9881.9373	11744.6713	6911.3323	7118.3469	7677.3058	4127.0928	9645.4932	4494.0028	7078.0217	6807.0723	4455.5567	5160.4136	9460.4434	8111.0728	4459.1893	5722.3335	3217.1443	10013.1921	6574.6089	8444.5454	6326.0381	730.8276	8475.2294	1445.7299	9650.5029	6298.3082	3139.4124	4619.2383	6098.9072	7345.8474	4558.8437	4239.6291	10463.7359	4888.816	4179.6462	10715.1981	5102.1949	5438.2856	7722.2168	4291.0818	1967.7358	12440.8013	3014.411	8869.0064	6040.9416	6825.4749	5916.525	6153.7104	8792.1746	4439.0374	4128.8939	6784.4557	7106.8452	6425.9928	5035.4668	8128.4567	3429.7086	7680.5757	4651.6972	7249.5182	8235.3298	4783.4592
Aliceevansviridae	3277.4433	1686.2013	2881.441	1795.1031	2815.0554	3953.011	1998.6831	9.6764	1417.6971	2043.9106	1643.7604	4751.796	1134.2807	1365.4385	2244.0733	1502.7726	4893.1077	2085.5098	4987.1445	1070.6041	1780.5784	2664.8422	1558.2163	2425.8765	2002.3529	1225.7994	1512.5904	1585.7012	1395.391	2100.8181	2365.3438	569.4882	2066.8862	1515.3267	3383.482	2421.3959	1092.1468	1385.0305	751.6976	1069.2992	1565.2507	2514.3411	1976.338	2270.9808	1057.6817	1811.3233	756.6679	2218.1023	2057.7672	1536.3938	1403.6271	4016.4229	2507.6066	1716.1108	1767.9512	1294.3276	3729.9546	2097.3021	1233.9903	3323.5309	4848.7421	2398.5807	477.4087	2191.1437	1328.975	3083.4537	3502.8075	4851.0804	5262.2979	8345.5657	1714.7639	2667.0826	3635.947	4953.4292	1119.9671	705.4221	2054.7614	1960.8336	2918.0052	2447.3489	2291.5511	2831.6042	5617.4703	2020.6535	4466.1749
Allomimiviridae	12.0718	17.3316	156.9714	11.5168	0.561	353.8175	35.5956	0	26.8905	90.9395	124.6399	47.444	68.975	16.1614	31.4095	10.0856	241.8013	21.2423	75.5119	5.0554	12.9272	23.538	36.754	623.9073	30.04	174.9291	11.4588	22.6344	140.3219	22.4998	10.7127	313.789	22.3498	87.0321	36.6138	23.242	2.5246	7.4285	7.9656	0.5803	172.7817	50.5292	74.6054	7.9654	25.0023	54.3852	4.734	43.62	19.1095	16.3616	24.9791	15.5849	215.3653	33.0093	36.6686	21.5573	51.509	742.2651	25.4805	86.2729	30.836	29.0166	556.4962	630.1117	35.0247	18.8388	7.9199	7.2974	334.7406	130.8513	11.9514	171.5803	10.4477	16.9221	11.4977	1381.8015	19.157	7.2383	21.1016	21.0108	9.5302	65.1262	43.0917	29.788	8.6881
Andersonviridae	0	0	0	0	0	0	0	0	0	0	0	0	510.857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9559	0	0	0	0	0	0	0	0	0.2705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Armatusviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	263.8031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1432.8793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Autographiviridae	21.1926	54.4744	11.9473	1.7878	0	7.2218	3.7382	2.1215	14.0683	0.9773	14.0626	31.2314	0	2027.2891	0.3294	88.2413	127.8477	0.5105	6.824	0.216	1.5726	0	0.2764	0.558	7.5815	11.7485	0.8471	0.712	22.4767	1.7522	1.8336	4.5351	1547.1452	316.8965	16.1683	1.1773	0.5045	188.172	10.8547	68.4566	36.8511	179.2368	116.7469	87.2487	273.9734	28.869	3.117	0.3234	1.2427	0	2.6822	3.3816	0.2796	8.1827	0	3.8083	12.8951	0	25.3399	11.9015	0	6.3228	3.0014	0.9338	0.6434	0.4945	266.3373	12.5521	5.1743	0.3658	11.801	30.6885	215.1036	0.1653	12.1865	387.3037	16.875	16.531	0	0.946	4.7357	24.2567	0	0.4505	17.8786
Casjensviridae	6458.7231	5948.6222	2817.7582	3438.1936	2384.2469	850.7293	2237.4864	1391.0521	4970.0652	2404.9347	6359.415	1377.618	2430.707	6530.3013	3142.6172	6035.5141	1374.8032	2555.0296	1728.4631	4159.2603	551.1864	2257.8179	8046.9958	6483.3656	3857.1136	4673.0759	5028.2741	3988.41	1177.0034	6303.4931	2513.3502	3146.6738	2802.2082	7659.6374	3547.811	6643.7029	5769.8401	3430.4879	4659.5389	2154.3315	2652.1743	2679.9247	5273.8998	5729.2624	8898.8077	5298.7677	10273.9264	3269.3344	1558.7963	7632.8411	8011.1193	883.4725	2762.2315	3912.6782	9174.3996	6057.0243	3949.0945	1561.7961	7271.8223	1755.8138	960.9824	4245.0084	689.9684	982.1328	5351.8318	5737.4414	4249.2923	3084.2417	2344.1937	1758.1652	2980.5717	2156.1516	1873.3768	2079.2782	3342.9757	3211.907	10211.1767	2068.1308	2594.5104	2076.949	2401.7193	2006.6242	507.4605	2279.4499	2607.5734
Chaseviridae	9569.664	7911.6858	2396.0102	5991.132	2656.744	399.5385	1978.2117	373.0749	3580.3511	1733.8815	682.5471	1834.7867	2013.8473	7486.6722	971.5037	6212.2391	229.1069	2987.013	668.1334	8619.1517	141.0833	2054.867	5879.6	5291.0383	3347.719	2134.3592	4423.5721	3986.1871	2949.6755	5446.9668	4574.3052	1984.652	3928.5553	2644.1375	2712.9542	7014.7552	4786.9618	2251.4458	4247.3087	2297.358	4157.5373	3257.3298	5756.0106	2634.2877	1081.8054	5615.6946	266.9223	3868.172	3111.3663	77.6379	3728.1021	427.7901	2464.7797	3501.2535	2472.6241	3306.4155	2379.6712	1846.8115	8395.496	1226.9817	970.4394	2964.4638	1233.5655	668.6417	9047.5861	827.3728	6276.7711	2211.006	1851.7898	2401.2785	3010.3631	2791.4674	5387.1191	2531.5536	3649.6401	3992.6561	6103.5748	1984.5895	2956.5169	911.7161	2415.8563	1324.4125	424.7944	2531.9854	1795.7752
Circoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3767	0	13.7529	0	0	0	0	0	0	0	0	0	0	0	0	2.7664	0	0	0	0	0	0.6191	0	0	0	7.0744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4251	0	0	0	0	0	0	0	0
Colingsworthviridae	0	0	0	0.7176	0	0	0	0	0	0	0	0	0	0	0	3.2248	0	0	0	0	0	148.0803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
