"","Observed","Richness","Number","Shannon","Simpson","InvSimpson","Chao1","ACE","Data_Type","Conversion_Factor","Singletons_Present","Reliability_Note","Group","SampleID"
"CON1",170,170,170,2.05390425863495,0.861531318744805,1.16072390897749,170,170,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON1"
"CON2",120,120,120,2.00558259157429,0.859601336736924,1.16332997316644,120,120,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON2"
"CON4",150,150,150,3.64467484671777,0.947679420246653,1.05520915473687,150,150,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON4"
"CON5",188,188,188,2.20934510248221,0.876764494800628,1.14055713470399,188,188,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON5"
"CON3",157,157,157,2.41274563486821,0.8790494032403,1.13759249060844,157,157,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON3"
"CON6",148,148,148,3.96742532947385,0.952758556361557,1.04958385660566,148,148,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON6"
"CON24",174,174,174,2.33191733926162,0.875247415134864,1.14253407974466,174,174,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON24"
"CON25",149,149,149,3.99197852694917,0.954152956661476,1.04804999347163,149,149,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON25"
"CON26",163,163,163,3.8370701206467,0.948727202095419,1.05404377337483,163,163,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON26"
"CON27",178,178,178,3.7730230037539,0.949634001003106,1.05303727430114,178,178,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON27"
"CON28",200,200,200,3.88288068230814,0.951300697412278,1.05119233352839,200,200,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON28"
"CON29",175,175,175,3.95587354136025,0.953903974609314,1.04832354892909,175,175,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON29"
"CON30",226,226,226,4.13382004604824,0.956972230393445,1.04496240145742,226,226,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON30"
"CON31",227,227,227,3.9341452769958,0.949107998100774,1.05362087560221,227,227,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON31"
"CON32",150,150,150,3.37335631084109,0.93057444207955,1.07460505552388,150,150,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON32"
"CON33",208,208,208,3.23759176849355,0.924172686111695,1.08204885843071,208,208,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON33"
"CON34",182,182,182,2.26176071202222,0.871088512868898,1.14798896464211,182,182,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON34"
"CON35",174,174,174,3.79121089613361,0.950230373084965,1.05237637979668,174,174,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON35"
"CON36",156,156,156,3.93445432257694,0.953907467938442,1.0483197098364,156,156,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON36"
"CON37",160,160,160,2.25613691485357,0.870672222817984,1.14853784672657,160,160,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON37"
"CON7",94,94,94,3.41865719336438,0.940817913029187,1.06290493213534,94,94,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON7"
"CON8",179,179,179,3.18637701836812,0.922722065345807,1.08374995847231,179,179,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON8"
"CON9",109,109,109,3.27933827925654,0.92038019027218,1.08650752218415,109,109,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON9"
"CON10",147,147,147,3.59497142746652,0.942437613233952,1.06107819335491,147,147,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON10"
"CON11",145,145,145,3.99930173933751,0.958084486520467,1.043749287322,145,145,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON11"
"CON12",90,90,90,3.79987171332447,0.951675161433541,1.0507787116075,90,90,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON12"
"CON13",170,170,170,2.96459849973742,0.90891356105098,1.10021463299953,170,170,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON13"
"CON14",143,143,143,4.14080108409828,0.95735419293737,1.04454548523132,143,143,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON14"
"CON15",187,187,187,4.0692905480751,0.955576499984364,1.04648869035222,187,187,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON15"
"CON16",199,199,199,2.22313330013621,0.868871931093152,1.1509176027149,199,199,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON16"
"CON17",157,157,157,4.12416173429255,0.959005483727469,1.04274690496366,157,157,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON17"
"CON18",189,189,189,4.04175715262792,0.9540397515257,1.04817435374239,189,189,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON18"
"CON19",146,146,146,3.78498262398574,0.94888842074981,1.05386468854768,146,146,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON19"
"CON43",165,165,165,3.81747907991677,0.951731638404019,1.05071635705725,165,165,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON43"
"CON44",152,152,152,3.05779367036516,0.922607800133022,1.08388418118275,152,152,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON44"
"CON45",119,119,119,3.80830140969875,0.95240340387591,1.04997524781032,119,119,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON45"
"CON38",132,132,132,2.78025871137789,0.900616417802621,1.1103506223436,132,132,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON38"
"CON39",167,167,167,2.55338104218374,0.886087281128355,1.12855699579232,167,167,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON39"
"CON40",159,159,159,4.06242026329239,0.956249540694207,1.04575213628237,159,159,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON40"
"CON41",166,166,166,3.70440062676764,0.948510471259185,1.05428461814708,166,166,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON41"
"CON42",195,195,195,3.60930448375954,0.942173153774379,1.06137602838073,195,195,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON42"
"CON46",181,181,181,3.60753902883782,0.939404331059214,1.06450435338366,181,181,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON46"
"CON47",145,145,145,3.80715711857656,0.952237062856804,1.05015866217169,145,145,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON47"
"CON20",123,123,123,3.03173929726697,0.914350652891263,1.09367232017378,123,123,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON20"
"CON21",136,136,136,3.80589572649143,0.954126069408421,1.04807952749894,136,136,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON21"
"CON22",134,134,134,3.90252183881132,0.954311100088438,1.04787631612723,134,134,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON22"
"CON23",186,186,186,2.93031515255591,0.906104403895344,1.10362558188769,186,186,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON23"
"MI33",159,159,159,3.80429562677061,0.95286783742281,1.04946348352429,159,159,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI33"
