"","Observed","Richness","Number","Shannon","Simpson","InvSimpson","Chao1","ACE","Data_Type","Conversion_Factor","Singletons_Present","Reliability_Note","Group","SampleID"
"CON1",215,215,215,3.61815976052749,0.951425779660794,1.05105413514917,215,215,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON1"
"CON2",168,168,168,2.95159503779043,0.916695033895136,1.0908753326075,168,168,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON2"
"CON3",182,182,182,3.66069050415881,0.952863032326783,1.0494687757569,182,182,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON3"
"CON4",213,213,213,3.89349329490974,0.959263489695205,1.04246644508251,213,213,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON4"
"CON5",232,232,232,3.72104071463879,0.952285974610031,1.05010472343616,232,232,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON5"
"CON6",116,116,116,3.52008089699427,0.951716383244605,1.05073319909739,116,116,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON6"
"CON7",122,122,122,2.53209294086436,0.89769878819697,1.11395939612273,122,122,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON7"
"CON8",204,204,204,3.67596100585514,0.946601215118667,1.05641106733065,204,204,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON8"
"CON9",135,135,135,2.59858959345022,0.914706264274366,1.09324713195585,135,135,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON9"
"CON10",205,205,205,3.37162172424618,0.935035610201779,1.06947798467718,205,205,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON10"
"CON11",148,148,148,3.42818096771088,0.950150258200364,1.05246511419578,148,148,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON11"
"CON12",97,97,97,2.41863836140992,0.889471367774389,1.12426328292295,97,97,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON12"
