"","Observed","Richness","Number","Shannon","Simpson","InvSimpson","Chao1","ACE","Data_Type","Conversion_Factor","Singletons_Present","Reliability_Note","Group","SampleID"
"CON1",187,187,187,3.59145091619784,0.939298165265414,1.06462467082264,187,187,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON1"
"CON2",151,151,151,3.72043374731098,0.946095087590958,1.05697621001955,151,151,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON2"
"CON3",173,173,173,3.62625632506137,0.940934714817839,1.06277298972182,173,173,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON3"
"CON4",179,179,179,3.64925108260471,0.941559545630435,1.062067720136,179,179,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON4"
"CON5",121,121,121,3.54743240069066,0.939488711751359,1.06440874434333,121,121,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON5"
"CON6",161,161,161,3.56757795233937,0.939571009402935,1.06431551207126,161,161,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON6"
"CON7",87,87,87,3.53329693015507,0.943157812401998,1.06026794970106,87,87,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON7"
"CON8",153,153,153,3.47989981378455,0.933787786182053,1.07090713200337,153,153,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON8"
"CON9",103,103,103,3.65058975315147,0.946116917550111,1.05695182218009,103,103,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON9"
"CON10",180,180,180,3.59969370529588,0.938796075195192,1.06519405696502,180,180,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON10"
"CON11",163,163,163,3.65682188095868,0.943393278694173,1.06000331206958,163,163,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON11"
"CON12",121,121,121,3.58845744726085,0.944705297618833,1.05853116577258,121,121,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON12"
"CON13",183,183,183,3.65267696318876,0.941451078634462,1.06219008368492,183,183,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON13"
"CON14",150,150,150,3.72723013801788,0.945998961647502,1.05708361271185,150,150,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON14"
"CON15",177,177,177,3.56829270813353,0.937532816137733,1.06662933050131,177,177,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON15"
"CON16",169,169,169,3.69009928581767,0.944650440836411,1.05859263572098,169,169,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON16"
"CON17",164,164,164,3.57742229542314,0.94021353351063,1.06358817902369,164,164,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON17"
