"","Observed","Richness","Number","Shannon","Simpson","InvSimpson","Chao1","ACE","Data_Type","Conversion_Factor","Singletons_Present","Reliability_Note","Group","SampleID"
"CON1",86,86,86,2.81808630038081,0.898745956327222,1.11266147342299,86,86,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON1"
"CON2",99,99,99,2.85711038710267,0.900356051976695,1.11067171460062,99,99,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON2"
"CON3",67,67,67,2.59328930262078,0.89597145775822,1.11610698236087,67,67,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON3"
"CON4",108,108,108,2.90156760953283,0.903747197703441,1.10650412254793,108,108,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON4"
"CON5",32,32,32,2.3013092949954,0.886909112022226,1.12751124827201,32,32,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON5"
"CON6",86,86,86,2.76583531534439,0.899076580220497,1.11225230642172,86,86,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON6"
"CON7",42,42,42,2.15454824419924,0.868772741586916,1.15104900525928,42,42,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON7"
"CON8",76,76,76,2.52736247491073,0.889112233566358,1.12471740039933,76,76,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON8"
"CON9",30,30,30,2.06267908760229,0.863172093184924,1.15851752842265,30,30,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON9"
"CON10",61,61,61,2.59789186213182,0.897793361097508,1.11384205244907,61,61,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON10"
"CON11",32,32,32,2.05096254151922,0.862026865152427,1.16005665301762,32,32,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON11"
"CON12",59,59,59,2.51452556890973,0.88205943656383,1.13371044914572,59,59,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON12"
"CON13",100,100,100,2.75049754950558,0.901968895520239,1.10868568191946,100,100,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON13"
"CON14",56,56,56,2.26712845991738,0.875572892399871,1.14210936482865,56,56,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON14"
"CON15",58,58,58,2.53420864509819,0.892882415451226,1.11996829895529,58,58,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON15"
"CON16",64,64,64,2.58376136439372,0.892894942052366,1.11995258669676,64,64,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON16"
"CON17",71,71,71,2.72043836068876,0.899157792050999,1.11215184791868,71,71,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON17"
"CON18",84,84,84,2.59386389270099,0.889998003774525,1.12359802579214,84,84,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON18"
"CON19",72,72,72,2.3232855884203,0.876495059226751,1.14090774325894,72,72,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON19"
"CON20",60,60,60,2.61266082359118,0.897583988004864,1.11410187053669,60,60,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON20"
"CON21",80,80,80,2.55710039472971,0.888804537116157,1.12510676784418,80,80,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON21"
"CON22",67,67,67,2.44034957332067,0.885620788191376,1.1291514532334,67,67,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON22"
"CON23",83,83,83,2.66055166068794,0.894781267663766,1.11759156806105,83,83,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON23"
"CON24",91,91,91,2.84663205520787,0.901479695964005,1.10928732447007,91,91,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON24"
"CON25",86,86,86,2.78540938423485,0.898537457487109,1.11291965812605,86,86,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON25"
"CON26",98,98,98,2.73281928728078,0.896280788236696,1.11572178398173,98,98,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON26"
"CON27",111,111,111,2.91469471083976,0.903023486363557,1.1073909096506,111,111,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON27"
"CON28",47,47,47,2.22775286903488,0.874696650600989,1.14325349172529,47,47,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON28"
"CON29",81,81,81,2.65221941275147,0.896458564773056,1.1155005253959,81,81,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON29"
"CON30",70,70,70,2.58325431818591,0.891042005211577,1.12228154694295,70,70,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON30"
"CON31",79,79,79,2.37875386709231,0.85111534742669,1.17492887776428,79,79,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON31"
"CON32",60,60,60,2.62409304843073,0.899948231626109,1.11117502636025,60,60,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON32"
"CON33",115,115,115,2.87831540556411,0.900905382448987,1.10999447831207,115,115,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON33"
"CON34",82,82,82,2.38868316912404,0.879429702994838,1.13710055118058,82,82,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON34"
"CON35",100,100,100,2.85924143491738,0.901987894561062,1.10866232909549,100,100,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON35"
"CON36",48,48,48,2.41031767926858,0.886906080507385,1.12751510219427,48,48,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON36"
"CON37",45,45,45,2.40735964246939,0.890183209014482,1.12336425791169,45,45,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON37"
"CON38",49,49,49,2.30848253596781,0.88012268609289,1.13620523115849,49,49,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON38"
"CON39",77,77,77,2.465572615759,0.884409029071185,1.13069854233647,77,77,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON39"
"CON40",88,88,88,2.44717814886445,0.882795894906444,1.13276466935313,88,88,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON40"
"CON41",80,80,80,2.43918060061367,0.883512347081601,1.13184609508082,80,80,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON41"
"CON42",55,55,55,2.45441645647482,0.878835048267428,1.13786995861333,55,55,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON42"
"CON43",84,84,84,2.7838738653322,0.899264028622532,1.11202046136747,84,84,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON43"
"CON44",79,79,79,2.4701232577292,0.87859025310821,1.1381869949755,79,79,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON44"
"CON45",85,85,85,2.73940870269286,0.898585919107614,1.11285963727665,85,85,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON45"
"CON46",90,90,90,2.84203649604982,0.900690003268641,1.11025990781618,90,90,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON46"
"CON47",100,100,100,2.78912273492282,0.892764751520703,1.12011590768636,100,100,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON47"
"MI1",44,44,44,2.17153763547699,0.869429834406801,1.15017907187678,44,44,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI1"
"MI2",65,65,65,2.66988112093448,0.898311036822939,1.11320017121988,65,65,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI2"
"MI3",66,66,66,2.62359603035706,0.894828036057863,1.11753315687947,66,66,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI3"
"MI4",88,88,88,2.82283017287449,0.901508029696661,1.10925246038738,88,88,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI4"
"MI5",89,89,89,2.89017386382341,0.904821569746799,1.10519027555879,89,89,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI5"
"MI6",96,96,96,2.8080189392033,0.900671167746729,1.11028312641757,96,96,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI6"
"MI7",69,69,69,2.71435872994268,0.900198008351681,1.11086671012643,69,69,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI7"
"MI8",105,105,105,2.87357634185395,0.90389733225681,1.10632033563286,105,105,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI8"
"MI9",71,71,71,2.7707730108599,0.902682633891516,1.10780905985633,71,71,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI9"
"MI10",91,91,91,2.84069434466483,0.90366240088195,1.10660795339501,91,91,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI10"
"MI11",44,44,44,2.20583933626345,0.870779471060213,1.14839638879228,44,44,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI11"
"MI12",48,48,48,2.07846443675086,0.854495728681068,1.17028086441523,48,48,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI12"
"MI13",72,72,72,2.62937755398381,0.894348343829352,1.11813255640221,72,72,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI13"
"MI14",20,20,20,2.01145328832479,0.8603517824265,1.16231525339512,20,20,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI14"
"MI15",33,33,33,2.07191072791302,0.861371105862871,1.16093980073578,33,33,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI15"
"MI16",35,35,35,2.05074119681865,0.861792634681197,1.16037194999924,35,35,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI16"
"MI17",90,90,90,2.72781132771395,0.894341625167192,1.1181409562739,90,90,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI17"
"MI18",70,70,70,2.78578296305929,0.902976081157135,1.10744904640058,70,70,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI18"
"MI19",104,104,104,2.73696269303637,0.892650918437207,1.12025874767567,104,104,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI19"
"MI20",25,25,25,2.13802700180313,0.868104307332448,1.15193530495528,25,25,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI20"
"MI21",52,52,52,2.55268228099301,0.89727154968349,1.1144898111979,52,52,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI21"
"MI22",106,106,106,2.84402129260857,0.894110143996449,1.11843043803334,106,106,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI22"
"MI23",79,79,79,2.612068019595,0.895465625878925,1.11673745043923,79,79,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI23"
"MI24",78,78,78,2.53607239561406,0.892601829948031,1.12032035611917,78,78,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI24"
"MI25",70,70,70,2.49547494661693,0.887257414326167,1.12706863177859,70,70,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI25"
"MI26",73,73,73,2.33145641254945,0.879453590499748,1.13706966553147,73,73,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI26"
"MI27",95,95,95,2.77763569677933,0.893754380303697,1.11887563522788,95,95,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI27"
"MI28",81,81,81,2.70241223103862,0.898124266123448,1.1134316683328,81,81,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI28"
"MI29",40,40,40,1.91296000230466,0.839594900925883,1.19105058748836,40,40,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI29"
"MI31",75,75,75,2.6668957153652,0.90042386193005,1.11058807110743,75,75,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI31"
"MI32",109,109,109,2.84629644067669,0.900362894982891,1.11066327318942,109,109,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI32"
"MI33",112,112,112,2.76186899404882,0.89985517911571,1.11128993110058,112,112,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI33"
"MI34",100,100,100,2.8317648821338,0.895952001157316,1.1161312198737,100,100,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI34"
"MI35",100,100,100,2.70625192862523,0.897292799486851,1.114463417707,100,100,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI35"
"MI36",82,82,82,2.80288196970445,0.899973791421605,1.111143468323,82,82,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI36"
"MI37",92,92,92,2.56377762227445,0.882679325067731,1.13291426637105,92,92,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI37"
"MI38",107,107,107,2.83242202941774,0.902143497979976,1.1084711049175,107,107,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI38"
