feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
CON26__27821	Group	MI	-3.57953643417412	0.631110170754069	85	41	2.00429733864599e-07	0.00297013395472387
CON28__60082	Group	MI	-3.32653558050414	0.599112626077252	85	35	3.30418728971395e-07	0.00297013395472387
CON35__30874	Group	MI	-3.38935037976038	0.647165121360994	85	31	1.21085526891321e-06	0.00513311285452192
CON35__53586	Group	MI	-3.31129434087757	0.623836637318443	85	37	9.07332783495802e-07	0.00513311285452192
HF22__10208	Group	MI	-3.14221130183431	0.604657629936904	85	57	1.42760953791354e-06	0.00513311285452192
CON20__16571	Group	MI	-2.63729785670938	0.5179387686928	85	34	2.1788793630793e-06	0.00612745199874869
CON35__43183	Group	MI	-2.88173524506165	0.568468025460539	85	32	2.38581399439542e-06	0.00612745199874869
CON24__94729	Group	MI	-3.15225347673616	0.632971422601754	85	35	3.40652942235314e-06	0.0076553232443831
CON1__69307	Group	MI	-2.9343522562197	0.605591643435053	85	37	5.79821921183802e-06	0.0115033926337438
CON35__26243	Group	MI	-4.08986126833674	0.848468570274132	85	59	6.39859418942254e-06	0.0115033926337438
CON10__86495	Group	MI	-3.44517326217039	0.740728418643157	85	33	1.23357527417992e-05	0.0170593971378513
CON43__13370	Group	MI	-2.00749126485302	0.430418982075801	85	28	1.17350269442868e-05	0.0170593971378513
MI33__20705	Group	MI	-4.27763690523377	0.917480541881526	85	54	1.18105359644786e-05	0.0170593971378513
CON34__52914	Group	MI	-2.87906800201255	0.628985223195259	85	40	1.63591696518053e-05	0.0196070101333437
HF22__9393	Group	MI	-2.50885872078309	0.546346474716635	85	33	1.54643199040878e-05	0.0196070101333437
CON1__33049	Group	MI	-3.22280056880081	0.716479560357714	85	47	2.20965246601867e-05	0.0218508790957537
CON26__17032	Group	MI	-2.67408775425641	0.592196630198974	85	29	2.06866923255824e-05	0.0218508790957537
CON38__74710	Group	MI	-3.790925119319	0.844977684777264	85	66	2.30930416519814e-05	0.0218508790957537
HF24__30087	Group	MI	-2.80879693753046	0.621323662688259	85	39	2.02890487683697e-05	0.0218508790957537
CON34__22620	Group	MI	-3.43901268380763	0.773506700606799	85	57	2.68868970658988e-05	0.0219714834295786
HF22__28345	Group	MI	-2.22916096640787	0.498815787437749	85	28	2.46686613616612e-05	0.0219714834295786
HF22__41441	Group	MI	-2.44582469593274	0.550047226870534	85	31	2.68294471942688e-05	0.0219714834295786
HF22__27217	Group	MI	-2.10408224099592	0.475274291653352	85	29	2.88629742639278e-05	0.0225608065789954
CON20__53938	Group	MI	-2.64744967199174	0.601435286602248	85	31	3.17160601205351e-05	0.0232895864689445
CON47__26168	Group	MI	-2.39892131956479	0.545670150320156	85	29	3.2386231044811e-05	0.0232895864689445
CON1__71032	Group	MI	-2.3715707052512	0.546847663471599	85	33	4.04021762834147e-05	0.024211677507441
CON26__4418	Group	MI	-2.51805010782274	0.579723080215943	85	37	3.94060996917984e-05	0.024211677507441
CON43__44846	Group	MI	-1.81601510556682	0.41787878407786	85	27	3.90780690281768e-05	0.024211677507441
CON6__2592	Group	MI	-3.08224209223931	0.709887005755404	85	28	3.96496967215485e-05	0.024211677507441
HF47__14413	Group	MI	-2.1799477400712	0.499826052164512	85	33	3.68768680325658e-05	0.024211677507441
CON35__22276	Group	MI	-2.32057407642885	0.541848807459957	85	28	4.93341883528366e-05	0.027716563693978
HF7__56858	Group	MI	-2.27640100099945	0.531408963628042	85	24	4.91509131741307e-05	0.027716563693978
CON26__7583	Group	MI	-2.91425942331255	0.691332452017296	85	55	6.31185766852926e-05	0.0343862355044906
HF7__1727	Group	MI	-2.54990752027336	0.60745369457013	85	22	6.7327923696442e-05	0.0356006297710186
HF22__9251	Group	MI	-3.16616754233375	0.757712541483543	85	58	7.21692278468023e-05	0.0370702393779946
CON34__10987	Group	MI	-2.14672896032339	0.518634217294554	85	20	8.32263949339994e-05	0.0415623368923178
HF40__16847	Group	MI	-2.7427867339816	0.667842946324463	85	45	9.34803222240505e-05	0.0454213306201076
CON34__8025	Group	MI	-1.97116903384779	0.482624179555166	85	31	0.000101397346722491	0.0479716184046564
