feature	AMARA.1	ANME.1	ARS49	Acidilobaceae	Altiarchaeaceae	Archaeoglobaceae	B24	Bilamarchaeaceae	CABMGC01	CG.Epi1	DHVEG.1	DSVV01	Desulfurococcaceae	GCA.2686295	GW2011.AR1	GW2011.AR15	GW2011.AR17	GW2011.AR18	GW2011.AR4	GW2011.AR5	GW2011.AR9	Gearchaeaceae	HEL.GB.A	Haladaptataceae	Haloarculaceae	Halobacteriaceae	Haloferacaceae	Hermodarchaeaceae	Hodarchaeaceae	Ignisphaeraceae	JABGXB01	JABLTI01	JABXJV01	JdFR.42	JdFR.43	Kariarchaeaceae	MK.D1	Methanobacteriaceae	Methanocaldococcaceae	Methanococcaceae	Methanocomedenaceae	Methanocorpusculaceae	Methanoculleaceae	Methanofastidiosaceae	Methanomassiliicoccaceae	Methanomethylophilaceae	Methanomicrobiaceae	Methanoperedenaceae	Methanoregulaceae	Methanosarcinaceae	Methanospirillaceae	Methanotrichaceae	Micrarchaeaceae	Natrialbaceae	Nitrosopumilaceae	Nitrososphaeraceae	Poseidoniaceae	RDOG01	S146.22	SOKP01	Sulfolobaceae	TCS64	Thalassarchaeaceae	Thermococcaceae	Thermoplasmataceae	Thorarchaeaceae	UBA10216	UBA233	UBA287	UBA460	UBA472	UBA489	UBA57	UBA583
CON1	0	1.4520257937862e-05	0	3.04925416695103e-05	0	1.4520257937862e-05	0	0	0	0	3.63006448446549e-05	0	0	0	0.000257008565500158	0	0	0	2.46844384943654e-05	2.90405158757241e-05	0	0	0.000209091714305213	0	0.000127778269853186	0	0.000792806083407252	0	0.000142298527791048	0	0	0	6.09850833390204e-05	7.40533154830963e-05	0	1.59722837316482e-05	0	0.990611201217378	0	1.74243095254344e-05	0	8.42174960395996e-05	0	0	0.00319300472053586	0.00164950130174108	0	0	0.000127778269853186	0.000757957464356392	0	0	0.000210543740098999	0.000180051198429489	7.26012896893101e-05	0.000152462708347551	9.00255992147443e-05	6.09850833390204e-05	0	0.000646151478234848	0	0	0	2.1780386906793e-05	7.69573670706686e-05	0	0	0	0	0.00021780386906793	0	0	0	0
CON2	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3828033085224e-05	2.87922066446457e-05	0	0	0	1.09211818307276e-05	0	1.68781901020336e-05	0	0	0.00166994798538943	0.000101269140612202	0	0.000837952496830353	0	0	0	0	0	0	0	0	0	0	0.996081281392193	0	3.97133884753732e-05	0	0	0	0	0.000116161661290467	8.04196116626305e-05	0	0	6.55270909843658e-05	0.000154882215053955	0	0	1.1914016542612e-05	2.68065372208768e-05	2.18423636614553e-05	0	0	0	6.55270909843658e-05	0.000181688752274832	5.95700827130597e-05	0	7.74411075269779e-05	0	3.37563802040673e-05	0	0	4.16990578991418e-05	7.14840992556721e-05	0.000180695917562948	0	0	0	0
CON4	0.00527957763378929	0.0046796256299496	0.00575953923686105	0	0	0	0	0	0	0	0.00551955843532517	0.00143988480921526	0	0.00359971202303814	0.0107991360691144	0	0	0	0	0.00227981761459081	0.00155987520998319	0.00647948164146864	0	0	0.00155987520998319	0.00335973122150229	0.0133189344852412	0	0.0151187904967603	0	0	0	0.00359971202303814	0	0.00155987520998319	0.00935925125989923	0	0.343052555795536	0	0.00323974082073434	0	0.00335973122150223	0	0	0.122030237580994	0.311855051595873	0	0.0115190784737221	0.00335973122150223	0.0118790496760259	0	0	0.00131989440844731	0.00395968322534198	0.00803935685145189	0.0163186945044396	0.00311975041996638	0	0	0.0238780897528197	0.0111591072714183	0	0.00143988480921526	0	0.00911927045836335	0	0	0	0	0.0160787137029038	0	0	0	0
CON5	0	9.75745225415913e-06	0	0	0	0	0	0	0	3.15240765134371e-05	1.27597452554389e-05	3.07735032631172e-05	0	0	0.000175634140574864	4.87872612707956e-05	0	0	0	0	9.00687900383919e-06	0	7.8059618033273e-05	0	0	0	2.77712102618374e-05	3.90298090166365e-05	2.55194905108779e-05	0	2.70206370115175e-05	2.70206370115177e-05	0	0	9.00687900383919e-06	0.000159872102318146	4.65355415198358e-05	0.995887609161497	0	0.000144110064061427	0	0.000162123822069105	0	4.05309555172763e-05	0.000421071593429482	0.000598957453755307	9.00687900383919e-06	2.10160510089581e-05	0	0.000276210956117736	0	0	0	1.50114650063987e-05	0.000216915669342461	2.77712102618374e-05	5.40412740230354e-05	0	3.37757962643969e-05	0.000996010703174541	0	0	0	3.15240765134371e-05	5.02884077714355e-05	4.8036688020476e-05	6.30481530268745e-05	5.32907007727153e-05	0	7.35561785313533e-05	0	0	0	1.80137580076784e-05
CON3	0	0	0.000712141311177811	0	0	0.000558542204845347	0	0	0	0	0	0.000167562661453606	0.000153599106332472	0	0.000698177756056684	0	0.000237380437059276	0	0	0	0.00018152621657474	0	0	0	0.000265307547301523	0.00131257418138656	0.00106123018920616	0	0	0	0	0.00217831459889688	0	0.00171751727989942	0	0	0	0.928534524890037	0	0.000363052433149481	0	0.000418906653634015	0.00170355372477829	0.000544578649724221	0.0168679745863297	0.0185156740906235	0	0	0.000977448858479334	0.00209453326817005	0.000837813307268021	0.00262514836277312	0	0.00047476087411854	0.00480346296167001	0	0.000335125322907213	0	0.00108915729944844	0.00568316693430143	0.000432870208755139	0.000809886197025744	0.00100537596872164	0	0.000502687984360818	0.00018152621657474	0.000628359980451023	0	0	0.00132653773650769	0	0	0	0
CON6	0	0	0	0	0.010097367472052	0.0450775333573747	0	0.00216372160115396	0	0	0.00595023440317344	0.00234403173458347	0	0	0.0133429498737829	0	0.00360620266858997	0	0	0	0.0167688424089434	0	0	0.00721240533717994	0.0528308690948432	0.00865488640461591	0.145149657410747	0.0122610890732059	0.0119004688063469	0	0.0129823296069239	0.00468806346916695	0	0	0	0	0	0.182654165164082	0.00540930400288493	0	0	0	0	0	0	0.0102776776054814	0.00576992426974397	0.00865488640461591	0.00865488640461591	0.0959249909844933	0	0.0346195456184638	0	0	0.0178507032095204	0.00306527226830146	0.0140641904075009	0	0	0.133609808871258	0	0	0.0274071402812838	0	0.00901550667147495	0.0138838802740714	0	0.0385863685539128	0	0.0182113234763794	0	0.0173097728092319	0	0
CON24	0	0	0	0.000108126091657656	0.000249521749979206	0	0	0	0	0	0.00023288696664726	0	9.98086999916828e-05	0.000432504366630625	0.00275305664143723	0.002195791399817	0	0	0.000141395658321551	0	0.000241204358313233	0	0.00119770439990016	0	0	0.000182982616651419	0	0	0.000548947849954226	0	0	0.000166347833319471	0.000249521749979206	0	0	0	0	0.950286950012476	0	0.000249521749979206	0	0	0	0	0.0195625051983698	0.0010646261332446	0	0.000399234799966731	0.000174665224985445	0.000399234799966719	0	0.000182982616651419	0	0.000565582633286186	0.00648756549945937	0.000573900024952176	0	0.000249521749979206	0	0.00508192630790982	0.000166347833319471	0	0.000374282624968793	0.00101472178324876	0.000149713049987524	0.000365965233302833	0.000424186974964652	0.00163020876653081	0	0.00152208267487312	0	0.000274473924977128	0	0
CON25	0.00331950207468874	0	0	0.00152143845089902	0	0	0	0.00304287690179804	0	0	0.00511756569847858	0	0.00179806362378976	0	0.0355463347164592	0	0	0.0153526970954357	0.00622406639004151	0	0.00636237897648686	0	0	0	0.0132780082987552	0.0362378976486861	0.079253112033195	0	0.0094052558782849	0.00414937759336092	0.020746887966805	0.0218533886583679	0	0	0	0.0092669432918395	0	0.307330567081605	0.00885200553250349	0.00414937759336092	0	0.0528354080221298	0.00553250345781459	0	0	0	0	0	0	0.100138312586445	0.00331950207468874	0.0323651452282158	0.00138312586445363	0.00442600276625171	0.0307053941908714	0.00359612724757952	0.0266943291839557	0	0	0.0540802213001385	0.0204702627939142	0	0	0.00165975103734437	0.0387275242047026	0	0	0.0156293222683264	0	0.00802213001383123	0	0.00456431535269706	0.00304287690179804	0
CON26	0	0	0.00113414403629261	0	0.00327641610484531	0	0.00812803226009702	0.00737193623590195	0	0.00138617604435763	0	0	0.00390649612500787	0	0.00308739209879654	0	0.0025833280826665	0.0174532165585029	0	0	0	0.00585974418751181	0.00926217629638963	0	0.0177682565685842	0	0.0325121290403881	0	0	0	0.0264633608468275	0	0	0	0.000756096024195072	0.00163820805242266	0	0.493667695797367	0.0198475206351206	0.00239430407661773	0	0	0	0.0141768004536576	0	0.00340243210887782	0.00107113603427635	0	0.000819104026211328	0.064016130048516	0.0015752000504064	0.0326381450444206	0.00226828807258522	0.00516665616533299	0.0196584966290719	0.00743494423791821	0	0	0	0.0534307857097852	0.0606136979396381	0	0.00693088022178816	0.00119715203830886	0.0475710415222733	0.00182723205847142	0	0.00541868817339802	0	0.0102072963266335	0	0.00207926406653645	0	0
CON27	0	0	0.00109784547824891	0.000891999451077241	0	0	0	0	0	0.00178399890215448	0.00500891999451076	0	0.000754768766296119	0.00315630574996566	0.0131741457389872	0.00123507616303003	0	0.000891999451077241	0.00411692054343348	0	0.00102923013585836	0	0.00411692054343345	0	0.005900919445588	0	0.0154384520378757	0	0.00288184438040345	0	0.0148209139563606	0.00521476602168242	0.00137230684781115	0	0.00109784547824891	0.00329353643474672	0.018800603815013	0.438246191848498	0.00397968985865236	0.00699876492383697	0	0.00686153423905588	0	0.00843968711403863	0.142033758748456	0.130506381226843	0.00247015232606009	0	0	0.0209962947715109	0	0	0.000754768766296119	0	0.0104295320433649	0.0216824481954165	0.00713599560861806	0	0.00397968985865239	0.0179772197063263	0.00205846027171672	0	0.00370522848909012	0	0.0189378344997942	0	0	0.0123507616303005	0	0.0336215177713736	0	0	0.000754768766296119	0
