feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales_unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes_unclassified	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Prevotellaceae	Proteobacteria_unclassified	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Siphoviridae	Streptococcaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Veillonellaceae
CON1	-9.35831514787341	-12.6797745417943	-8.73946605506997	-20.4102587949152	-17.039030918618	-3.3143944493041	-7.14713069884698	-2.10465541630406	-19.4952580763518	-10.2906166209817	-17.3609292729919	-19.7928188364994	-5.52030587595244	-18.3560163567064	-13.4488953741075	-7.37186428578591	-3.97809861515587	-12.3004906667382	-7.12092593220662	-5.32357843063761	-10.0006569781297	-1.83770553927455	-4.72233982707791	-6.27685250807027	-20.783288698259	-8.21137871109526	-8.33169135291688	-13.346510213079	-18.7607364527479	-22.002798439277	-19.8254262455974	-13.4471850063424	-18.7173835362876	-5.06436636978095	-2.74224710467877	-18.87130347288	-12.0817056290588	-7.94640761732447	-17.5790541649203	-12.7143277064784	-6.85203213041474	-10.3679909368261
CON2	-14.3066385561345	-18.2501455785153	-16.5058695529567	-20.4102587949152	-17.039030918618	-4.08781406084565	-8.33227026051935	-0.524392746075123	-16.2442259489659	-6.43341248605437	-19.2095622724683	-15.4390888521581	-3.30412700168393	-18.3560163567064	-11.7913315672213	-11.2680545119138	-7.00848190660949	-9.56383806585909	-8.75716392794667	-6.98065384435029	-8.56468909624786	-4.43532987135777	-4.86650813260877	-18.6402283598923	-20.783288698259	-9.68683430620103	-11.7282718240784	-20.3138209203507	-18.7607364527479	-22.002798439277	-19.8254262455974	-14.9191986154197	-18.7173835362876	-7.37112918087039	-7.99334177880849	-18.87130347288	-17.5612579150138	-8.35001122705984	-17.5790541649203	-12.6866696055854	-7.48104035947119	-7.27085260695961
CON3	-13.6625237281805	-18.2501455785153	-9.13109116534794	-20.4102587949152	-14.5480650035956	-2.87882173102717	-7.75864056663476	-2.35613349778985	-19.4952580763518	-10.1617484007304	-19.2095622724683	-11.4100587571553	-5.44508208921691	-18.3560163567064	-9.37755791820714	-5.95761841377116	-10.408340239929	-16.9213232768672	-4.4565954647075	-4.66501743032623	-9.64845083765407	-2.43481474495396	-18.5359196284024	-18.6402283598923	-20.783288698259	-9.67880539697988	-15.6710498732118	-10.3450143045601	-18.7607364527479	-22.002798439277	-19.8254262455974	-20.2457523033892	-6.99054335345468	-4.59645923146823	-2.11781961236921	-18.87130347288	-12.9116334878927	-9.23431084015391	-11.9619385697408	-19.021449991834	-4.7250332430871	-5.20568356871431
CON4	-7.83414308531135	-13.7741755629065	-16.5058695529567	-20.4102587949152	-14.5743349835599	-2.65099148232938	-18.5153459227135	-2.76654554646395	-19.4952580763518	-6.58810614107428	-14.2310332378799	-11.2441761864671	-4.43735980759622	-18.3560163567064	-9.86207321036532	-4.9355313814051	-5.42912521180643	-10.281406760395	-4.3294820745338	-6.26607520340604	-7.99882395818328	-2.53795175511494	-3.59153350958779	-8.68889660153963	-10.4970409600278	-7.95867332456928	-15.6710498732118	-20.3138209203507	-15.5529613327673	-22.002798439277	-19.8254262455974	-5.84993425681786	-18.7173835362876	-4.41923042906854	-4.49316624097219	-18.87130347288	-9.96525121448697	-3.1562765474786	-12.3035457376643	-19.021449991834	-5.39679148565845	-14.6656909326281
CON5	-9.47185437636993	-13.1647598516302	-8.9656365929813	-20.4102587949152	-12.2346183540882	-3.28101788013513	-6.07180046846695	-4.28921621579027	-19.4952580763518	-9.42154292824066	-14.5090410117575	-12.5755562061372	-3.13575897332959	-18.3560163567064	-9.06618015632352	-6.60333417521359	-9.34391699657897	-16.9213232768672	-8.53075338725824	-5.51506589611183	-10.1902917834842	-2.23322344952559	-15.6031093361184	-12.3240174391413	-14.7356334216232	-8.91668331483755	-7.14835066559097	-20.3138209203507	-18.7607364527479	-16.1804182642961	-19.8254262455974	-4.48989017116407	-8.65791457307888	-4.65602813511399	-2.11035745555578	-4.18852436122443	-17.5612579150138	-6.14394298590814	-11.8329550773016	-8.17185625079266	-5.530819911849	-4.71131755512288
CON6	-17.0504732336789	-9.81499968959174	-16.5058695529567	-20.4102587949152	-13.2853076383207	-20.1236835504078	-18.5153459227135	-2.37518782471789	-19.4952580763518	-8.21239014884153	-12.9259293634257	-19.7928188364994	-9.87474386903724	-13.4258432085135	-20.5284099805539	-15.5619282820074	-2.38889327160774	-4.30332466844012	-3.57439658120844	-13.218338371393	-5.44481658380902	-4.39754003584655	-13.8670853804839	-11.0885336784197	-20.783288698259	-18.2177465442805	-15.6710498732118	-20.3138209203507	-18.7607364527479	-22.002798439277	-4.70693459942603	-20.2457523033892	-18.7173835362876	-16.0043155775712	-5.42919684443837	-18.87130347288	-10.4050532693805	-2.02340471675745	-17.5790541649203	-19.021449991834	-17.7318069189007	-3.35586230524982
CON7	-17.0504732336789	-13.5043416243781	-16.5058695529567	-20.4102587949152	-16.039030918618	-6.78424495854796	-18.5153459227135	-0.297174742994828	-19.4952580763518	-21.1178400017032	-19.2095622724683	-19.7928188364994	-8.87474386903724	-18.3560163567064	-20.5284099805539	-11.337451480833	-9.60200571302904	-16.9213232768672	-11.4718822513326	-10.4916081344703	-19.4964590992588	-5.26223737576749	-2.88881379534325	-14.039030918618	-20.783288698259	-18.2177465442805	-15.6710498732118	-20.3138209203507	-18.7607364527479	-22.002798439277	-19.8254262455974	-20.2457523033892	-18.7173835362876	-16.0043155775712	-13.7430261687962	-17.87130347288	-12.5298614905541	-6.56556145422468	-12.6178306801907	-19.021449991834	-17.7318069189007	-14.6589998691671
CON8	-7.42530190924105	-15.0118518692219	-3.44291593141443	-20.4102587949152	-17.039030918618	-3.20481022187741	-5.14657663357936	-5.84376946292573	-19.4952580763518	-9.41902155914936	-19.2095622724683	-9.23818996875373	-4.51403479625804	-18.3560163567064	-9.42291528758597	-6.78764846416563	-5.76809458381013	-9.64525549128335	-6.05320316760942	-2.84213669716683	-8.64434198840923	-1.62247489070876	-10.3185187193218	-15.7365817343403	-20.783288698259	-7.24650656479223	-9.27203010484978	-20.3138209203507	-18.7607364527479	-22.002798439277	-14.1571680675397	-9.60520364387852	-18.7173835362876	-5.48730674155468	-3.04959695001538	-11.1182032781252	-8.72378832581638	-7.95890204580255	-14.7173271772603	-11.8192067912795	-5.11994646937258	-20.0112792294344
CON9	-17.0504732336789	-10.9899650983226	-16.5058695529567	-14.7844968919015	-13.1081239058099	-10.8682001706392	-18.5153459227135	-0.54885020690754	-19.4952580763518	-10.3552757598334	-13.3306654506196	-19.7928188364994	-8.06739455143873	-14.5783320080996	-20.5284099805539	-12.8702851273773	-12.2233215582564	-16.9213232768672	-11.9991651337013	-10.9388452174384	-19.4964590992588	-8.21034316187133	-1.72481126279916	-18.6402283598923	-14.4233573481232	-18.2177465442805	-15.6710498732118	-20.3138209203507	-9.78338027210235	-10.1603925183807	-13.9454242292333	-20.2457523033892	-18.7173835362876	-16.0043155775712	-12.9522341310057	-18.87130347288	-13.5164667525147	-10.4678688790822	-17.5790541649203	-19.021449991834	-16.4778051321456	-10.7671752829068
CON10	-9.05696395884413	-13.0372622400796	-10.9557048309017	-20.4102587949152	-15.1303716444711	-2.92283190359957	-8.21742318563553	-4.07871455918781	-19.4952580763518	-11.5099300465705	-19.2095622724683	-19.7928188364994	-5.06353996420421	-18.3560163567064	-13.72135793282	-7.52696509267774	-11.9374761203791	-16.9213232768672	-5.04295300411356	-4.77691166171886	-9.31768327811044	-1.10152358211112	-18.5359196284024	-6.79349320811775	-11.3066977566873	-9.23053362367147	-13.5347618995504	-20.3138209203507	-16.7809224868198	-22.002798439277	-10.7943528014026	-10.2846028388083	-14.8452434677867	-5.88496859400766	-2.48283327038151	-18.87130347288	-17.5612579150138	-5.64119268243974	-13.9310628362477	-19.021449991834	-7.90112555209357	-20.0112792294344
