feature	Ackermannviridae	Aliceevansviridae	Allomimiviridae	Autographiviridae	Casjensviridae	Chaseviridae	Crevaviridae	Demerecviridae	Draupnirviridae	Drexlerviridae	Epsomviridae	Felixviridae	Guelinviridae	Helgolandviridae	Herelleviridae	Inoviridae	Intestiviridae	Konodaiviridae	Kyanoviridae	Lakviridae	Mesyanzhinovviridae	Microviridae	Mimiviridae	Orlajensenviridae	Peduoviridae	Phycodnaviridae	Rountreeviridae	Salasmaviridae	Schitoviridae	Speroviridae	Steigviridae	Straboviridae	Suoliviridae	Toyamaviridae	Unclassified	Vilmaviridae	Zierdtviridae
MI35	-3.41391955562204	-5.07645335251675	-13.1612395549576	-12.3493197695811	-4.09777520448608	-3.5305559032476	-6.92667530788449	-5.89450431114457	-15.4552121103318	-6.80065257966061	-6.21146018959669	-22.4582267328225	-21.4034436731982	-18.0989071370513	-4.20959896280345	-8.24494558961856	-11.5957565636647	-11.5581109346943	-5.6017912356634	-6.7417335847834	-7.86481085448475	-15.2837250742621	-5.71162870917329	-6.41787517908375	-2.63134582618548	-5.5538515100712	-14.1846613039846	-4.12335601230124	-7.51698019639663	-20.1399572655989	-9.35443021164818	-2.52865695042978	-7.18807168148984	-20.3968624062566	-3.04689356076412	-10.1993082348796	-6.42496694630322
MI33	-3.08730708736273	-5.95584804201139	-12.5600761625695	-10.9079026073007	-4.13706926370255	-3.72563968571034	-4.96514744143973	-6.57958566491378	-19.4296140718572	-7.01769515040614	-6.67287717051521	-17.2836413833154	-19.3319444271169	-20.2784924989648	-4.37285953681927	-11.0324274517033	-19.3291392307539	-10.3527688535064	-5.19359600137828	-7.85767202058847	-5.80265566558571	-9.88226102593262	-6.10349428417812	-6.59427722761331	-2.81147563619512	-5.37561359253917	-14.3056355474076	-4.16312297331798	-9.08442840662897	-20.1399572655989	-16.2943472748468	-2.47285332400054	-17.4090123302469	-11.4906567169326	-2.92894964001735	-9.02337656941047	-6.62513406910488
MI32	-3.38542325689824	-4.59429741911466	-8.79251426783713	-12.5082594716799	-4.62654008359603	-4.86045384890755	-22.9238584597433	-6.41795777835342	-14.4356941721888	-7.32828883961715	-5.50873898605702	-22.4582267328225	-21.4034436731982	-20.2784924989648	-3.69310943529504	-11.0236022309688	-14.5680349409368	-6.86573268115919	-5.06892877704245	-7.34313844183398	-7.76613480313206	-12.2919884917883	-4.67221876119215	-8.44339042154585	-3.69720766734781	-5.32817400701039	-10.5471333083077	-4.19608922227685	-7.31383388639579	-11.6740364733232	-20.0601341767769	-2.17020148084185	-15.3272049973557	-11.3745515426317	-2.58144215317188	-9.48237973964334	-5.53668257821507
MI38	-3.49071100044953	-5.55575036009368	-12.8399333435944	-15.5274159987588	-4.61816628301107	-3.81698844618337	-6.07465749384063	-5.16613033502415	-19.4296140718572	-7.31364120766058	-6.20439046841991	-22.4582267328225	-16.9868677917043	-20.2784924989648	-4.13113424993748	-13.1890392129484	-6.26368212870144	-7.80426566685145	-4.61188037354696	-6.87105833427189	-7.55360892767787	-10.0052897541261	-5.32199273055287	-6.55555178352667	-2.30330014936519	-5.46272281320585	-14.8239873946775	-3.74315947987296	-6.58864792355413	-18.1001644549206	-9.44098359465307	-2.95982235963601	-7.98486627560632	-9.35180302256331	-3.44814007556379	-9.26192852551582	-6.60147982494832
MI36	-3.31043577414578	-5.1982181713641	-17.491093094754	-20.2726318289905	-5.43784784463378	-5.28172226751542	-22.9238584597433	-7.89159588559418	-19.4296140718572	-5.16822891200569	-6.85922805192102	-14.7468552355866	-10.8482736519151	-20.2784924989648	-3.95564177279665	-7.5704226000313	-19.3291392307539	-10.258213490826	-5.69513556985432	-9.76266567774324	-7.46843105574857	-9.21638960283236	-6.05041274293131	-8.77223151240945	-1.9781793343888	-6.26612855621009	-21.8108883442738	-4.14983785243662	-5.75407167378186	-14.0592056059765	-20.0601341767769	-2.57840880974298	-11.7568206003251	-8.3483594194728	-3.11716192647475	-9.60948125277599	-4.74686127007696
MI34	-4.27233893028342	-4.53953342363176	-8.0214080820037	-13.6359112110795	-6.75571334538487	-7.84607895861026	-22.9238584597433	-7.28367774933943	-9.48024899012677	-7.24533116350571	-5.88195071497605	-22.4582267328225	-14.4273576284406	-20.2784924989648	-3.82001964587109	-12.1006658809589	-19.3291392307539	-7.6901653613848	-7.26958415394592	-6.9515874849311	-11.44117631101	-15.8618772690528	-5.56019476462444	-7.12365084912604	-4.16683641095108	-6.28336858558715	-21.8108883442738	-5.02108288612032	-9.65437265990621	-20.1399572655989	-20.0601341767769	-0.969210406655125	-14.6778265741833	-8.76180149593258	-3.12759120154164	-7.92012543727038	-7.66973766822418
MI37	-3.29558138441105	-5.39232675144904	-11.2035337662434	-14.4548170229152	-5.22949758267366	-5.4071796704271	-16.6011622968816	-5.70013206049919	-19.4296140718572	-6.74960298295512	-9.10362526348222	-22.4582267328225	-21.4034436731982	-20.2784924989648	-3.58418829730973	-10.7845105710131	-19.3291392307539	-9.96831170924731	-4.09337138239442	-7.25085538919367	-5.38733748747468	-9.78625011291152	-7.50382595883775	-8.11124447553213	-2.79072211475864	-4.63558164238953	-12.9673599629366	-3.35440679264441	-8.4466907342777	-15.4546626579418	-20.0601341767769	-2.18239241792353	-21.4550486013487	-11.4983044844879	-3.5394165042914	-9.65734682848419	-5.99957094979685
MI30	-8.6918794886207	-14.5595592902296	-18.6558603373781	-16.7489450198283	-7.39206895868538	-9.29070820793156	-22.9238584597433	-10.973073106286	-19.4296140718572	-2.61210683699562	-13.5377338232373	-22.4582267328225	-12.9234073532249	-20.2784924989648	-14.7121854005806	-18.2208752700257	-19.3291392307539	-17.5491602653609	-14.0974681154664	-14.1202248247849	-18.4302166368404	-19.8322867931225	-7.83347611410277	-18.9110707342208	-1.6087167694255	-12.0374708777665	-21.8108883442738	-8.07986389127309	-13.1773788842827	-20.1399572655989	-20.0601341767769	-6.31332955556235	-22.2299583747881	-21.3968624062566	-1.11105990790046	-6.18543366450676	-15.7369583279131
MI27	-3.79819284754454	-6.15810144426195	-11.8784103777424	-12.8130589533599	-4.34838599082993	-4.82154969935185	-7.40851757408937	-2.86420249486353	-19.4296140718572	-6.79054505434421	-9.11101168403892	-22.4582267328225	-5.75304934375853	-18.1906335798861	-4.69518456680282	-10.9355073276705	-10.8198251060674	-9.75515787322199	-5.82534372398604	-7.4611107595888	-7.40390727866566	-7.707257297353	-5.99594447760924	-5.65011662997771	-2.88675860577115	-5.90477529938874	-14.2988283360292	-4.16399339230392	-5.12615649866795	-11.6989320749237	-13.2244946336575	-2.47744088881676	-6.88447810801022	-14.1560134505672	-3.17751495828376	-7.94597102954804	-7.20016286099643
MI28	-3.18452278453412	-5.1596680385375	-9.64994925101039	-16.1899110210726	-4.92500241142682	-5.39699483046095	-22.9238584597433	-7.84429167812542	-16.8875118397876	-5.51069909370779	-7.78616587847464	-22.4582267328225	-18.2821054686251	-20.2784924989648	-4.00872023844391	-7.47453383880598	-9.62743351670756	-9.211376868764	-4.7114256533498	-6.1116364960126	-6.59972917066867	-8.6166168485915	-6.50717255114179	-8.54821096272223	-2.99185292282251	-5.46474645842796	-12.3702298737954	-3.90235125965711	-9.84075274855747	-20.1399572655989	-20.0601341767769	-1.8244955947775	-9.20878170262015	-13.7369489279223	-3.15888854919653	-8.53965640691188	-6.93329429142034
