"","Observed","Richness","Number","Shannon","Simpson","InvSimpson","Chao1","ACE","Data_Type","Conversion_Factor","Singletons_Present","Reliability_Note","Group","SampleID"
"CON1",170,170,170,2.05390210999431,0.861531271928757,1.16072397205182,170,170,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON1"
"CON2",120,120,120,2.00558016977276,0.859601262075856,1.163330074208,120,120,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON2"
"CON4",150,150,150,3.64467483188574,0.947679419752631,1.05520915528695,150,150,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON4"
"CON5",188,188,188,2.20934846071003,0.876764589741755,1.14055701119789,188,188,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON5"
"CON3",157,157,157,2.41273890010143,0.879049173815337,1.13759278751119,157,157,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON3"
"CON6",148,148,148,3.96742531067692,0.952758555644454,1.04958385739563,148,148,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON6"
"CON24",174,174,174,2.3319162825776,0.875247376669366,1.14253412995691,174,174,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON24"
"CON25",149,149,149,3.99197851316493,0.954152956448114,1.04804999370599,149,149,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON25"
"CON26",163,163,163,3.83707015700991,0.948727203040992,1.05404377232429,163,163,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON26"
"CON27",178,178,178,3.77302299542424,0.949634000774636,1.05303727455449,178,178,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON27"
"CON28",200,200,200,3.88288072035223,0.95130069840479,1.05119233243166,200,200,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON28"
"CON29",175,175,175,3.95587354056432,0.953903974516082,1.04832354903155,175,175,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON29"
"CON30",226,226,226,4.13382009006232,0.956972231392238,1.04496240036679,226,226,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON30"
"CON31",227,227,227,3.93414532284665,0.949107999203666,1.05362087437787,227,227,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON31"
"CON32",150,150,150,3.37335633551354,0.930574442757969,1.07460505474046,150,150,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON32"
"CON33",208,208,208,3.23759183293349,0.924172688051169,1.08204885615991,208,208,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON33"
