"","Observed","Richness","Number","Shannon","Simpson","InvSimpson","Chao1","ACE","Data_Type","Conversion_Factor","Singletons_Present","Reliability_Note","Group","SampleID"
"CON1",215,215,215,3.61815976047611,0.951425779658469,1.05105413515174,215,215,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON1"
"CON2",168,168,168,2.95159503778869,0.916695033894968,1.0908753326077,168,168,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON2"
"CON3",182,182,182,3.66069050416479,0.952863032325596,1.04946877575821,182,182,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON3"
"CON4",213,213,213,3.89349329495891,0.959263489696435,1.04246644508117,213,213,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON4"
"CON5",232,232,232,3.72104071463229,0.952285974608478,1.05010472343787,232,232,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON5"
"CON6",116,116,116,3.52008089700444,0.951716383245578,1.05073319909631,116,116,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON6"
"CON7",122,122,122,2.53209294091717,0.897698788196595,1.11395939612319,122,122,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON7"
"CON8",204,204,204,3.67596100585514,0.946601215118667,1.05641106733065,204,204,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON8"
"CON9",135,135,135,2.5985895932838,0.914706264269948,1.09324713196113,135,135,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON9"
"CON10",205,205,205,3.37162172431565,0.935035610204349,1.06947798467425,205,205,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON10"
"CON11",148,148,148,3.42818096774996,0.950150258201522,1.0524651141945,148,148,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON11"
"CON12",97,97,97,2.41863836138757,0.889471367774011,1.12426328292343,97,97,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON12"
