"","Observed","Richness","Number","Shannon","Simpson","InvSimpson","Chao1","ACE","Data_Type","Conversion_Factor","Singletons_Present","Reliability_Note","Group","SampleID"
"CON1",187,187,187,3.59145258608878,0.939298204233427,1.06462462665529,187,187,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON1"
"CON2",151,151,151,3.72043375669103,0.946095087719984,1.0569762098754,151,151,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON2"
"CON3",173,173,173,3.62625632898398,0.940934715395715,1.06277298906911,173,173,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON3"
"CON4",179,179,179,3.64925114799975,0.941559547998166,1.06206771746522,179,179,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON4"
"CON5",121,121,121,3.54743242073967,0.939488712719627,1.06440874324632,121,121,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON5"
"CON6",161,161,161,3.56757796328059,0.939571009504877,1.06431551195579,161,161,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON6"
"CON7",87,87,87,3.53329694320026,0.943157812986861,1.06026794904357,87,87,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON7"
"CON8",153,153,153,3.47989979018557,0.933787785175812,1.07090713315737,153,153,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON8"
"CON9",103,103,103,3.65058974441452,0.946116917213259,1.0569518225564,103,103,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON9"
"CON10",180,180,180,3.59969367906963,0.938796074457698,1.0651940578018,180,180,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON10"
"CON11",163,163,163,3.65682188766768,0.94339327879312,1.0600033119584,163,163,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON11"
"CON12",121,121,121,3.58845746291221,0.944705298164119,1.0585311651616,121,121,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON12"
"CON13",183,183,183,3.65267697393211,0.941451078379993,1.06219008397203,183,183,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON13"
"CON14",150,150,150,3.72723037210286,0.945998966904075,1.05708360683802,150,150,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON14"
"CON15",177,177,177,3.56829274057375,0.937532817967942,1.06662932841909,177,177,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON15"
"CON16",169,169,169,3.6900992516169,0.944650439532525,1.05859263718214,169,169,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON16"
"CON17",164,164,164,3.57742231183356,0.940213534120303,1.06358817833402,164,164,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON17"
"CON18",153,153,153,3.64805237362161,0.941957250456875,1.06161930333354,153,153,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON18"
"CON19",93,93,93,3.556079168268,0.943453103236967,1.05993609705562,93,93,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON19"
"CON20",105,105,105,3.29439388631031,0.931772751709144,1.07322305590683,105,105,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON20"
"CON21",100,100,100,3.58809982222852,0.944388303712689,1.05888647293564,100,100,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON21"
"CON22",93,93,93,3.4361109394709,0.93748385084115,1.06668504113725,93,93,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON22"
"CON23",113,113,113,3.26777700572325,0.928350090838525,1.07717983750802,113,113,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON23"
"CON24",181,181,181,3.57818791869435,0.938947183687339,1.06502263106312,181,181,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON24"
"CON25",147,147,147,3.18724150264325,0.92592805365786,1.07999751821917,147,147,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON25"
"CON26",156,156,156,3.25583229351812,0.93088121913465,1.07425091348347,156,156,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON26"
"CON27",183,183,183,3.63160327739773,0.940374402070728,1.06340623245164,183,183,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON27"
"CON28",148,148,148,3.70005157850124,0.945575097811267,1.05755746139541,148,148,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON28"
"CON29",167,167,167,3.69246724055993,0.944068470093266,1.05924520485385,167,167,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON29"
"CON30",164,164,164,3.603343711596,0.937991269636259,1.06610800374271,164,164,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON30"
"CON31",175,175,175,3.33835208052218,0.928081997705325,1.0774910002268,175,175,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON31"
"CON32",185,185,185,3.57178919551444,0.936630619241948,1.0676567469141,185,185,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON32"
"CON33",185,185,185,3.56852754613402,0.937556108915378,1.06660283101015,185,185,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON33"
"CON34",98,98,98,3.39458153758721,0.934676972281158,1.06988834608754,98,98,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON34"
"CON35",170,170,170,3.59576631322835,0.940496809849126,1.06326782773502,170,170,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON35"
"CON36",93,93,93,3.30683889163891,0.931518864589928,1.07351556475479,93,93,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON36"
"CON37",121,121,121,3.5631180608119,0.940746286598616,1.06298585946656,121,121,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON37"
"CON38",127,127,127,3.63834400667141,0.942807442937778,1.06066197025769,127,127,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON38"
