"","Observed","Richness","Number","Shannon","Simpson","InvSimpson","Chao1","ACE","Data_Type","Conversion_Factor","Singletons_Present","Reliability_Note","Group","SampleID"
"MI35",14363,14363,14363,8.26524570788336,0.999311171227415,1.00068930358473,14363,14363,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI35"
"MI33",14795,14795,14795,8.34217855970343,0.999501797069203,1.00049845126068,14795,14795,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI33"
"MI32",12272,12272,12272,8.15839531503479,0.999391067704547,1.00060930331992,12272,12272,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI32"
"MI38",12893,12893,12893,8.11258148427438,0.99932845077434,1.00067200050708,12893,12893,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI38"
"MI36",11776,11776,11776,7.84586056081869,0.999074886400146,1.00092597022751,11776,11776,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI36"
"MI34",9280,9280,9280,7.45284606083909,0.998778573335406,1.00122292037214,9280,9280,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI34"
"MI37",12687,12687,12687,7.80445146392163,0.999068027265243,1.00093284211818,12687,12687,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI37"
"MI27",13184,13184,13184,7.77331780111093,0.997893815011503,1.00211063036649,13184,13184,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI27"
"MI28",12218,12218,12218,8.0269331069934,0.999285617663625,1.00071489304334,12218,12218,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI28"
"MI29",11773,11773,11773,7.86349340170342,0.999105485527101,1.00089531534543,11773,11773,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI29"
"MI31",11876,11876,11876,7.91772573136302,0.999226863414214,1.00077373478846,11876,11876,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI31"
"MI17",6935,6935,6935,6.99144359163617,0.998032642975086,1.00197123514823,6935,6935,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI17"
"MI21",14323,14323,14323,8.01461766496274,0.999210588994754,1.00079003466731,14323,14323,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI21"
"MI20",11270,11270,11270,5.88181500501767,0.943618705029642,1.0597500819662,11270,11270,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI20"
"MI24",13982,13982,13982,7.94366391652617,0.998997195839203,1.00100381078643,13982,13982,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI24"
"MI23",9231,9231,9231,7.17753851320819,0.998307683800133,1.00169518498889,9231,9231,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI23"
"MI26",12837,12837,12837,7.80806846020712,0.999020306198906,1.00098065454227,12837,12837,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI26"
"MI19",10586,10586,10586,7.66467977809065,0.998998239206819,1.00100276532417,10586,10586,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI19"
"MI18",13795,13795,13795,7.92286867733581,0.998344391465556,1.00165835411968,13795,13795,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI18"
