Taxonomy,CON1,CON2,CON4,CON5,CON3,CON6,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON43,CON44,CON45,CON38,CON39,CON40,CON41,CON42,CON46,CON47,CON20,CON21,CON22,CON23,MI33,MI32,MI38,MI36,MI34,MI35,MI37,MI27,MI28,MI29,MI31,MI17,MI21,MI20,MI24,MI23,MI26,MI19,MI18,MI15,MI25,MI22,MI14,MI16,MI2,MI1,MI12,MI4,MI11,MI13,MI3,MI8,MI5,MI9,MI7,MI10,MI6
k__Archaea,0.142862626,0.142860473,0.143214187,0.142860808,0.142921859,0.143271363,0.142882201,0.143150385,0.143071781,0.143085482,0.14313921,0.14317442,0.143184797,0.14317626,0.143123813,0.14307047,0.14287431,0.143157662,0.143186966,0.142898719,0.143011811,0.143081918,0.143022518,0.143242221,0.143317868,0.143215889,0.142992496,0.143311727,0.143247396,0.142877321,0.143248518,0.143285132,0.143134789,0.143085668,0.142970504,0.143055942,0.142965191,0.142922517,0.143074733,0.14313942,0.143041737,0.143094723,0.143211474,0.143002052,0.143171476,0.143265306,0.142917019,0.143153399,0.143178546,0.142870222,0.143050081,0.143103344,0.142907131,0.143124749,0.142869219,0.143134368,0.142903058,0.143199452,0.143130318,0.142884629,0.142861646,0.142909448,0.142873205,0.142863477,0.143275837,0.143020611,0.14292986,0.142939132,0.142865489,0.142910575,0.142993496,0.142868411,0.143194358,0.142860422,0.142946568,0.142915652,0.142874729,0.143098802,0.142927308,0.143030778,0.142925653,0.143009524,0.143243557,0.143106521
k__Archaea|p__Methanobacteriota,0.140948546,0.141959796,0.041456738,0.142013783,0.128012661,0.024688726,0.131542562,0.032472995,0.055371733,0.050151534,0.050059832,0.046883081,0.029292267,0.057501589,0.079173506,0.088779525,0.131298225,0.050099646,0.047699948,0.134475023,0.044750656,0.094425302,0.00886889,0.070084177,0.034910037,0.039418613,0.107506506,0.010017678,0.041522964,0.135897957,0.011371313,0.035711432,0.029305286,0.048568803,0.084603826,0.010947212,0.111595325,0.121051217,0.036919307,0.033242285,0.070228712,0.073412368,0.030123297,0.096317615,0.043256488,0.047210884,0.107528309,0.03441872,0.063864891,0.139159932,0.055373336,0.065429038,0.124950889,0.037866286,0.137806831,0.022316649,0.120307733,0.01388255,0.020460847,0.131240961,0.135377622,0.120152731,0.137510365,0.140020464,0.034882045,0.052749799,0.049609752,0.104688114,0.140915907,0.128363698,0.095604515,0.139523086,0.02333953,0.139033828,0.119561815,0.128818166,0.128443729,0.018548752,0.10766754,0.107246945,0.082912598,0.08775619,0.019629816,0.022293341
k__Archaea|p__Methanobacteriota|c__Methanobacteria,0.140941118,0.141942842,0.040385607,0.141975617,0.127938115,0.024006481,0.131490972,0.030857758,0.052046053,0.048490887,0.048165138,0.046213758,0.028964613,0.053457606,0.079173506,0.087286232,0.131270818,0.049739814,0.046436661,0.134180717,0.041174541,0.093648549,0.007804623,0.06890192,0.03343895,0.03188494,0.107064352,0.008426635,0.040703432,0.135589103,0.010095324,0.035711432,0.029305286,0.047615806,0.083590809,0.010947212,0.110352776,0.120971315,0.034601503,0.032486779,0.069340354,0.07205816,0.029620044,0.095751457,0.042406361,0.04585034,0.107346685,0.03441872,0.063354932,0.139109576,0.052782448,0.064733628,0.12483425,0.037241871,0.137728563,0.02000803,0.120226106,0.013159897,0.019727826,0.131182591,0.13536784,0.119899252,0.137436077,0.140012089,0.032960169,0.052580276,0.049609752,0.104688114,0.140853742,0.127766976,0.095132199,0.139472048,0.022070756,0.139014811,0.119561815,0.128450487,0.128390571,0.018135683,0.10766754,0.106789518,0.082752741,0.08728381,0.01804552,0.022293341
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales,0.140941118,0.141942842,0.040385607,0.141975617,0.127938115,0.024006481,0.131490972,0.030857758,0.052046053,0.048490887,0.048165138,0.046213758,0.028964613,0.053457606,0.079173506,0.087286232,0.131270818,0.049739814,0.046436661,0.134180717,0.041174541,0.093648549,0.007804623,0.06890192,0.03343895,0.03188494,0.107064352,0.008426635,0.040703432,0.135589103,0.010095324,0.035711432,0.029305286,0.047615806,0.083590809,0.010947212,0.110352776,0.120971315,0.034601503,0.032486779,0.069340354,0.07205816,0.029620044,0.095751457,0.042406361,0.04585034,0.107346685,0.03441872,0.063354932,0.139109576,0.052782448,0.064733628,0.12483425,0.037241871,0.137728563,0.02000803,0.120226106,0.013159897,0.019727826,0.131182591,0.13536784,0.119899252,0.137436077,0.140012089,0.032960169,0.052580276,0.049609752,0.104688114,0.140853742,0.127766976,0.095132199,0.139472048,0.022070756,0.139014811,0.119561815,0.128450487,0.128390571,0.018135683,0.10766754,0.106789518,0.082752741,0.08728381,0.01804552,0.022293341
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,0.140941118,0.141942842,0.040385607,0.141975617,0.127938115,0.024006481,0.131490972,0.030857758,0.052046053,0.048490887,0.048165138,0.046213758,0.028964613,0.053457606,0.079173506,0.087286232,0.131270818,0.049739814,0.046436661,0.134115316,0.041174541,0.093648549,0.007804623,0.06890192,0.03343895,0.03188494,0.107064352,0.008426635,0.040703432,0.135589103,0.010095324,0.035232084,0.029305286,0.047615806,0.083590809,0.010947212,0.110352776,0.120971315,0.034601503,0.032486779,0.069340354,0.07205816,0.029620044,0.095751457,0.042406361,0.04585034,0.107346685,0.03441872,0.063354932,0.139109576,0.052782448,0.064733628,0.12483425,0.037241871,0.137728563,0.019673448,0.120226106,0.013159897,0.019727826,0.131182591,0.13536784,0.119899252,0.137436077,0.140012089,0.032960169,0.052580276,0.049609752,0.104464922,0.140853742,0.127584248,0.095132199,0.139472048,0.022070756,0.139014811,0.119561815,0.128450487,0.128390571,0.018135683,0.10766754,0.106789518,0.082752741,0.08728381,0.017349975,0.022293341
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A,0.140684834,0.141807635,0.033958821,0.114871782,0.124336971,0.01048951,0.130531384,0.021469193,0.012728746,0.041474654,0.0392501,0.041467644,0.020401922,0.033468775,0.074378037,0.080443054,0.130828098,0.042155669,0.037375849,0.132738617,0.03605643,0.087036189,0.002670003,0.0583089,0.025291388,0.021687847,0.049584376,0.001001768,0.036059416,0.134459146,0.007543346,0.019133978,0.005754354,0.035601239,0.080433571,0.008581501,0.107831662,0.119518555,0.013310818,0.023159179,0.06113516,0.064004181,0.025198605,0.09202425,0.024353653,0.033469388,0.102414899,0.015506995,0.010889129,0.138642642,0.045395662,0.06174034,0.122808418,0.02649302,0.137186947,0.013483672,0.119277194,0.00155941,0.003633235,0.129755777,0.135316211,0.118680143,0.137032508,0.138915478,0.018978523,0.046675237,0.023323501,0.101180797,0.109601261,0.125057459,0.090842001,0.139073022,0.014900711,0.138546726,0.114479469,0.125946542,0.121600336,0.010720116,0.105746562,0.101888519,0.081527169,0.078019048,0.007148653,0.011164854
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900766745,0.000347902,0.000127578,0.028761852,0.032678613,0.122513461,0.00149241,0.002294067,0,0,0.013845643,0.031810929,0.006510694,0.010310179,0.023512873,0.070644653,0.077897963,0.12969389,0.02300155,0.001481094,0.126966946,0.034514436,0.066063853,0.000485455,0.033339639,0.005092226,0.006848794,0.047575735,0,0.027386034,0.000105463,0,0.000399457,0.002324607,0.021850856,0.072565804,0.003200668,0.011254975,0.116591244,0.001953578,0.001307607,0.058195503,0.056449122,0.007081491,0.085277535,0.012651898,0.024489796,0.101297213,0.003838059,0.000389969,0.138642642,0.038339627,0.048134486,0.117258865,0.013201909,0.136867612,0.003145075,0.118267063,0,0,0.001878639,0.134935244,0.118132951,0.136749408,0.138784929,0.000912891,0.016486078,0.022657861,0.066809085,0.0010231,0.000585301,0.039605617,0.138827884,0.008468325,0.010145616,0.098412698,0.10842824,0.120095125,0.003461909,0.100371098,0.097719401,0.001172286,0.027291429,0.001507013,0.001200131
k__Archaea|p__Thermoplasmatota,0.00083385,6.87E-05,0.057801404,0.000226109,0.005688432,0.015094661,0.003260533,0.016825386,0.019042474,0.038360942,0.02931791,0.02567769,0.02706422,0.00924339,0.016478388,0.020672371,0.00104988,0.036149247,0.032061335,0.002661836,0.042290026,0.020335,0.012957915,0.024590939,0.027780921,0.013317099,0.012721393,0.017088981,0.027590917,0.002625265,0.023305562,0.023288328,0.026256621,0.029610973,0.004187138,0.050097412,0.008895932,0.005091923,0.029436111,0.05843552,0.029105828,0.013732152,0.029655991,0.004647213,0.037605641,0.028979592,0.009681949,0.055775659,0.021898248,0.001533556,0.027424823,0.009070569,0.005095276,0.034521208,0.001473008,0.061998126,0.003219158,0.07306405,0.018229914,0.004913861,0.000215755,0.006216253,0.000650528,0.001042422,0.022678134,0.01384435,0.00155316,0.009012743,0.000500315,0.003443284,0.0165704,0.000772533,0.046029919,0.000581236,0.005842462,0.005515194,0.002112331,0.025393891,0.018789566,0.011592498,0.005381859,0.008472381,0.017002203,0.032912681
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata,0.000799184,3.52E-05,0.05169199,0.000186981,0.005407451,0.005415316,0.002975064,0.009422216,0.015024647,0.034603728,0.021958516,0.020323101,0.023044998,0.004563924,0.014289852,0.017828622,0.000632458,0.029118689,0.021737236,0.002030712,0.03402231,0.019737497,0.010306584,0.020334815,0.026988797,0.00631611,0.012127643,0.011314084,0.019361448,0.002273095,0.022067102,0.017735879,0.022522008,0.024982131,0.002718263,0.050097412,0.007905494,0.004452709,0.02115824,0.054657988,0.023064995,0.010287235,0.023365326,0.001863603,0.031554733,0.024421769,0.007907623,0.051473319,0.019738421,0.001387067,0.02436537,0.00716575,0.00446297,0.027028232,0.001437004,0.055490498,0.001739672,0.068956337,0.018229914,0.004570129,0.000181517,0.005616757,0.000250975,0.000884285,0.017296882,0.010722308,0,0.006833955,0.000429163,0.00245541,0.015222333,0.000581527,0.043226815,5.92E-05,0.004739548,0.004207371,0.001950059,0.023741616,0.018151059,0.009253088,0.004409394,0.006034286,0.011167356,0.023275266
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales,0.000716851,2.80E-05,0.048676955,0.00015555,0.004960175,0.002004093,0.002858126,0,0.000911608,0.027504463,0.019944156,0.018741063,0.018523373,0.001944963,0.012197869,0.016737869,0.000520724,0.024523915,0.019733403,0.001494421,0.004166667,0.019199745,0.00623623,0.019625461,0.026309834,0.00631611,0.011976048,0.008898055,0.012224688,0.00181358,0.019515124,0.017735879,0.016767654,0.024982131,0.00251566,0.043093051,0.006590913,0.004104047,0.018774213,0.054657988,0.022079726,0.009146848,0.021532046,0,0.029204381,0.020612245,0.006231095,0.050916182,0.013828894,0.001153601,0.019211157,0.004232932,0.004198998,0.023192543,0.001263249,0.053248796,0.001561113,0.065000761,0.004971795,0.004161541,0.000181517,0.004940815,0.000108421,0.000755706,0.014462115,0.010058344,0,0.005611708,0.000342282,0.001901515,0.013116593,0.00049569,0.042341625,2.23E-05,0.003517401,0.003499937,0.001950059,0.022797459,0.017987339,0.00862576,0.003836573,0.005546667,0.005989412,0.015674437
