Taxonomy,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,MI14,MI15,MI16,MI17,MI18,MI19,MI20,MI21,MI22,MI23,MI24,MI25,MI26,MI27,MI28,MI29,MI31,MI32,MI33,MI34,MI35,MI36,MI37,MI38
k__Fungi,0.087350795,0.175362146,0.095637496,0.103118005,0.088111479,0.116191239,0.155864365,0.084401955,0.180823993,0.098171722,0.101983104,0.176420495,0.100133042,0.095578653,0.096110869,0.115160852,0.107297798,0.1054896,0.113792331,0.07614373,0.115311797,0.096625378,0.075266905,0.143490701,0.068746684,0.125210188,0.102703663,0.137441924,0.106293693,0.106854145,0.131007172,0.124804838,0.092379402,0.075928838,0.110052355,0.089266468,0.085996153,0.091389994,0.101893961,0.112424508,0.087873921,0.107831547,0.119492066,0.135033664,0.725370306,0.09768347,0.101062484,0.095419047,0.094581519,0.090323011,0.075838498,0.099718232,0.110128735,0.085530126,0.091728937,0.099317687,0.106370026,0.096732353,0.093868705,0.103764794,0.080609349,0.061236953,0.101435716,0.073661098,0.097267693,0.109385258,0.057147238,0.118285933,0.129780914,0.167953258,0.11728801,0.117118086,0.128564947,0.122218462,0.083547634,0.095793722,0.088623373,0.087375859,0.117635231,0.103221827,0.101383361,0.091920239,0.108070958,0.108096668
k__Fungi|p__Ascomycota,0.08477506,0.172866073,0.09312747,0.099432382,0.084117051,0.114759162,0.153893992,0.081761245,0.174154107,0.094863336,0.098699092,0.171584608,0.096043625,0.092690575,0.092419257,0.108138225,0.105347586,0.099973112,0.112140665,0.074332807,0.111234286,0.091521944,0.074022783,0.138199209,0.066625855,0.123879037,0.098138837,0.135647017,0.10320031,0.103718935,0.128254343,0.122472037,0.089052978,0.073833562,0.107815001,0.088512811,0.08254964,0.089269337,0.099276804,0.110311902,0.087093072,0.100321996,0.11735711,0.130702326,0.725370306,0.094903557,0.099034325,0.091758089,0.089908763,0.086341484,0.070811317,0.093859991,0.107009877,0.081730778,0.086981581,0.095263411,0.10438323,0.092170168,0.089446488,0.099431767,0.078289104,0.059601414,0.098249712,0.071984499,0.091930016,0.10813978,0.055815688,0.112739963,0.123703266,0.16470822,0.11326156,0.112843831,0.125860998,0.117401591,0.080568835,0.090987766,0.086640669,0.085057924,0.112890326,0.09716167,0.097515464,0.09011957,0.104642533,0.10462136
k__Fungi|p__Ascomycota|c__Dothideomycetes,0.004204875,0.025932,0.005251436,0.003187852,0.004895082,0.007404145,0.016125531,0.003738354,0.014125175,0.006976724,0.006103256,0.012323071,0.004210002,0.007257867,0.007025048,0.005355452,0.004756867,0.005134612,0.006976436,0.001238582,0.007831157,0.003269219,0.001809632,0.005122287,0.002136736,0.003463975,0.003627318,0.012447416,0.008161457,0.006688021,0.004018836,0.005884542,0.003326424,0.003729688,0.008092279,0.003738729,0.00503495,0.006967171,0.009984351,0.003613544,0.003159593,0.00570321,0.005110802,0.007395865,0.004940811,0.004791758,0.004135272,0.006423705,0.005404754,0.006053362,0.002526138,0.00611051,0.008270046,0.0079533,0.003232095,0.003298121,0.010294832,0.005448582,0.003520959,0.003096181,0.005722382,0.000578333,0.003901068,0.004294446,0.003346157,0.005203779,0.003571405,0.009814176,0.008844642,0.008214003,0.008068298,0.005655303,0.006204714,0.004836138,0.004250086,0.003289076,0.002096424,0.003881089,0.009642617,0.001806666,0.004844798,0.003189543,0.008141515,0.005879356
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales,0.003303119,0.013702289,0.003777613,0.00213406,0.003597529,0.003773168,0.008081155,0.002200591,0.011762924,0.00523519,0.003713027,0.010123586,0.002081408,0.005106458,0.005601891,0.00250542,0.002543531,0.004016592,0.003761852,0.00082274,0.005760546,0.003269219,0.001224452,0.003343074,0.001017998,0.00228943,0.002743804,0.006276327,0.006232056,0.003996109,0.002203244,0.003551742,0.002393345,0.00246587,0.005903276,0.001541795,0.003603396,0.004142908,0.006558348,0.002150247,0.001711662,0.004508066,0.002799612,0.005624431,0.003142083,0.003404279,0.002936141,0.004695392,0.003603169,0.004310318,0.00204935,0.004560859,0.004807557,0.004793023,0.002210336,0.002143779,0.007093882,0.0037459,0.001953847,0.00213193,0.004077904,0.000427303,0.002939705,0.002079991,0.002527309,0.002808629,0.00213999,0.007015905,0.00473878,0.003350201,0.004909241,0.00400766,0.003726094,0.002976826,0.002866627,0.0020976,0.001166878,0.002603768,0.006656972,0.000858285,0.003546233,0.001924208,0.00596196,0.004310187
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales|f__Cladosporiaceae,0.003303119,0.013702289,0.003777613,0.00213406,0.003597529,0.003773168,0.008081155,0.002200591,0.011762924,0.00523519,0.003713027,0.010123586,0.002081408,0.005106458,0.005601891,0.00250542,0.002543531,0.004016592,0.003761852,0.00082274,0.005760546,0.003269219,0.001224452,0.003343074,0.001017998,0.00228943,0.002743804,0.006276327,0.006232056,0.003996109,0.002203244,0.003551742,0.002393345,0.00246587,0.005903276,0.001541795,0.003603396,0.004142908,0.006558348,0.002150247,0.001711662,0.004508066,0.002799612,0.005624431,0.003142083,0.003404279,0.002936141,0.004695392,0.003603169,0.004310318,0.00204935,0.004560859,0.004807557,0.004793023,0.002210336,0.002143779,0.007093882,0.0037459,0.001953847,0.00213193,0.004077904,0.000427303,0.002939705,0.002079991,0.002527309,0.002808629,0.00213999,0.007015905,0.00473878,0.003350201,0.004909241,0.00400766,0.003726094,0.002976826,0.002866627,0.0020976,0.001166878,0.002603768,0.006656972,0.000858285,0.003546233,0.001924208,0.00596196,0.004310187
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales|f__Cladosporiaceae|g__Cladosporium,0.003303119,0.013702289,0.003777613,0.00213406,0.003597529,0.003773168,0.008081155,0.002200591,0.011762924,0.00523519,0.003713027,0.010123586,0.002081408,0.005106458,0.005601891,0.00250542,0.002543531,0.004016592,0.003761852,0.00082274,0.005760546,0.003269219,0.001224452,0.003343074,0.001017998,0.00228943,0.002743804,0.006276327,0.006232056,0.003996109,0.002203244,0.003551742,0.002393345,0.00246587,0.005903276,0.001541795,0.003603396,0.004142908,0.006558348,0.002150247,0.001711662,0.004508066,0.002799612,0.005624431,0.003142083,0.003404279,0.002936141,0.004695392,0.003603169,0.004310318,0.00204935,0.004560859,0.004807557,0.004793023,0.002210336,0.002143779,0.007093882,0.0037459,0.001953847,0.00213193,0.004077904,0.000427303,0.002939705,0.002079991,0.002527309,0.002808629,0.00213999,0.007015905,0.00473878,0.003350201,0.004909241,0.00400766,0.003726094,0.002976826,0.002866627,0.0020976,0.001166878,0.002603768,0.006656972,0.000858285,0.003546233,0.001924208,0.00596196,0.004310187
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales|f__Cladosporiaceae|g__Cladosporium|s__Cladosporium_cladosporioides,0.001798531,0.001101823,0.000975841,0.000460703,0.001317907,0.000269149,0.000404583,0.000965079,0,0.002270876,0.00059245,0.000347548,0.000933226,0.000426933,0.002512016,0.001792912,0.000263124,0.001973789,0,0,0.002256435,0.001332503,0.000408151,0.001799723,0,0.000294568,0.001904465,0.000356643,0.002721995,0.001217464,0.001040285,0.001949255,0.000727801,0.000427607,0.001828565,0.000743805,0.001014834,0.00185988,0,0.000414052,0.000672254,0.000657913,0.000946631,0.002071052,0.001397999,0.001065386,0.000528012,0.002145492,0.001420544,0.002238483,0.000782099,0.001733847,0.002824317,0.002162705,0.000806286,0.000679735,0.000191038,0.001797832,0.001022322,0.000813714,0.001737687,0,0.001028897,7.56E-05,0.001112016,0.000721066,0.000194977,0.00308484,0.000969665,0.001010319,0.002342989,0.001180009,0.000564956,0.000770699,0.001167423,0.000525651,0.000385663,0.00148723,0.002068794,0.000151741,0.001929977,0.000419283,0.001857395,0.002570018
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales|f__Cladosporiaceae|g__Cladosporium|s__Cladosporium_cucumerinum,0.000722401,0.003905988,0.001036203,0.001127928,0.001465472,0.003082521,0.004960085,0.000684039,0.003280569,0.001513917,0.00131769,0.003356324,0.00095944,0.002754139,0.001365849,0.000530888,0.000650071,0.001403277,0.001686178,0.00082274,0.002458187,0.001936715,0.000521253,0.001153668,0.001017998,0.001148444,0.000564468,0.002245095,0.002051687,0.001268861,0.000883261,0.001056065,0.001226998,0.001107028,0.002294497,0.00079799,0.001985545,0.001284203,0.001906197,0.000903386,0.00069811,0.003044307,0.001243712,0.002770164,0,0.001298284,0.00191466,0.000987607,0.001437257,0.001378221,0.00055207,0.00204618,0.000546536,0.001441804,0.001021759,0.001170431,0.002721232,0.001181861,0.000517887,0.000829988,0.001404796,0.000364681,0.001100403,0.00092444,0.001304091,0.001003442,0.001003417,0.002208274,0.002564135,0.001070412,0.001514089,0.001804977,0.001982243,0.001613652,0.000947233,0.000876086,0.00052905,0.001116539,0.002585992,0.000531094,0.000786287,0.001227899,0.00205626,0.000880143
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales|f__Cladosporiaceae|g__Cladosporium|s__Cladosporium_tenuissimum,0.000782186,0.008694478,0.001765569,0.00054543,0.000814151,0.000421498,0.002716487,0.000551473,0.008482355,0.001450396,0.001802886,0.006419714,0.000188742,0.001925386,0.001724026,0.00018162,0.001630336,0.000639526,0.002075675,0,0.001045924,0,0.000295049,0.000389684,0,0.000846418,0.000274871,0.003674589,0.001458374,0.001509784,0.000279699,0.000546422,0.000438547,0.000931234,0.001780213,0,0.000603017,0.000998825,0.004652151,0.000832809,0.000341298,0.000805846,0.000609268,0.000783215,0.001744084,0.001040609,0.000493469,0.001562293,0.000745368,0.000693614,0.000715181,0.000780832,0.001436704,0.001188514,0.000382291,0.000293613,0.004181612,0.000766207,0.000413637,0.000488228,0.000935421,6.26E-05,0.000810405,0.001079915,0.000111202,0.001084121,0.000941595,0.001722791,0.001204981,0.001269471,0.001052164,0.001022675,0.001178896,0.000592475,0.00075197,0.000695862,0.000252164,0,0.002002185,0.000175451,0.00082997,0.000277026,0.002048305,0.000860026
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales,0.000901756,0.012229711,0.001473822,0.001053792,0.001297553,0.003630976,0.008044375,0.001537763,0.002362251,0.001741534,0.002390229,0.002199484,0.002128594,0.002151409,0.001423157,0.002850032,0.002213336,0.00111802,0.003214584,0.000415842,0.002070611,0,0.00058518,0.001779213,0.001118737,0.001174545,0.000883515,0.006171089,0.001929401,0.002691912,0.001815591,0.002332801,0.000933078,0.001263818,0.002189003,0.002196934,0.001431553,0.002824263,0.003426003,0.001463297,0.001447931,0.001195144,0.00231119,0.001771433,0.001798729,0.001387479,0.00119913,0.001728313,0.001801585,0.001743044,0.000476788,0.001549651,0.003462489,0.003160278,0.001021759,0.001154342,0.00320095,0.001702682,0.001567113,0.000964251,0.001644477,0.00015103,0.000961363,0.002214455,0.000818848,0.00239515,0.001431415,0.002798271,0.004105861,0.004863801,0.003159057,0.001647642,0.00247862,0.001859312,0.001383459,0.001191477,0.000929547,0.00127732,0.002985646,0.000948381,0.001298565,0.001265335,0.002179556,0.00156917
