Taxonomy,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,MI14,MI15,MI16,MI17,MI18,MI19,MI20,MI21,MI22,MI23,MI24,MI25,MI26,MI27,MI28,MI29,MI31,MI32,MI33,MI34,MI35,MI36,MI37,MI38
k__Bacteria,96.64719101,96.86541906,99.98074,99.70567991,95.2095324,99.90004999,99.96458001,99.24109,99.98785,99.96803999,100,99.99041,99.99178,99.90895002,99.97592,97.0028794,99.99625,98.28797983,99.90101,99.91031001,99.94565999,100,100,99.30428021,100,99.89998997,100,99.96368001,99.96445001,98.01815941,80.89060618,99.76031998,99.79264996,99.96233001,99.83779002,99.91541005,91.49115,99.94549999,100,99.99845,99.97393,99.9926,98.88089022,99.92790998,99.80961006,99.9918,99.84522002,99.95118001,99.98641,99.97364,99.87156001,99.97541,99.96750001,99.99635,99.94667997,99.90005999,99.95188003,99.89786002,87.41141629,97.83270022,99.94471999,98.0092996,99.92051001,99.99427,100,99.47596969,99.99284,99.18161033,98.18216,99.93674001,98.67765066,99.6751101,99.98242999,98.11141038,100,100,100,99.87095,100,99.84556006,99.96225999,100,99.47224021,99.80232004
k__Bacteria|p__Actinobacteria,24.56166263,76.70509301,23.18695768,22.21822667,16.41025179,18.20222182,81.93307542,6.66205,65.36657654,9.20189184,32.82716672,88.02014479,27.3302282,43.84105123,4.3552,52.35398047,27.90114163,37.9778238,59.00721,13.66069863,58.21416582,12.9730813,14.18959574,18.92150432,0.077749984,10.27343308,10.21832307,63.45523462,34.70283959,14.28702429,6.141491228,7.767880777,4.842750969,26.31165211,30.63367694,8.646844812,28.35082,31.92027638,42.5175285,39.55433022,20.99688,20.81976208,11.84600763,18.43221553,13.23363603,17.45267825,5.518619448,30.28186092,12.03828361,11.15048112,1.363719864,6.74473,34.25888972,5.085316949,5.413042707,4.160590416,41.76551494,3.887289223,21.18262941,2.90059971,3.24806065,0.453710091,34.46856655,16.80341672,7.370711474,26.27671577,25.24982748,14.94417402,50.45329,69.90949301,38.15136092,45.3411964,68.95568758,66.44440671,5.112890511,18.82143188,4.535451361,6.91016,17.2442162,11.19333552,13.30970399,2.663909201,13.03706479,33.59068328
k__Bacteria|p__Actinobacteria|c__Actinobacteria,21.93869342,66.92111008,19.32355807,14.48688435,4.7996876,18.20222182,81.68566549,1.65388,64.9885565,5.780931156,27.50697725,87.77568489,13.71865412,43.39501132,3.42844,21.84879437,21.06709368,29.68657297,58.62804,11.06068889,54.37490544,5.853550585,9.648157106,4.922388523,0.077749984,9.869912961,1.464210439,58.5114666,33.47031996,12.76300383,3.190390638,7.541090754,4.021980804,26.13520216,30.35152696,1.973488816,25.19347,24.58972492,42.18084844,29.4024853,17.70516,15.38914154,2.955259409,8.241352472,11.36868659,9.590149041,3.566269643,20.56229383,1.978690594,4.061860406,0.445209955,2.35893,29.19579124,4.612087233,1.44097072,0.361530036,41.42619514,0.059629988,14.8090726,1.738529826,1.307750262,0.15238003,21.77991782,16.62112665,3.687150737,23.93228436,13.41243866,7.760626896,34.18252,39.77938602,22.78379861,22.74069318,46.59741864,62.80946744,4.143040414,6.045270605,0.344580103,5.0976,9.203942637,8.980416408,5.478131643,2.106149368,11.55908538,12.87234743
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,0.015809995,0,0,0.007000002,0.010189995,0.105140011,0.008459997,0.00287,0.058830006,0.011520002,0.00383,0.011949995,0.024350007,0.00237,0,0.010940002,0.015319995,0.019410002,0.05306,0.137279986,0.041830004,0.025040003,0.009689997,0.045839986,0.060689988,0.23296007,0.007500002,0.159439936,0.00064,0.075240023,0.176360035,0.086650009,0.223480045,0.03448999,0.078509992,0.027059984,0,0.026760005,0.003190001,0.001099999,0.09015,0.182430018,0.005679999,0.068750021,0.140279958,0.021609998,0.045609995,0.005879998,0.003690001,0,0.001,0.13891,0,0.002789998,0.046220023,0.019190002,0.047569971,0,0.045229977,0.007449999,0.064260013,0,0.022539998,0.04986002,0.030070006,0.424060254,0.023339998,0.040459984,0.01439,0.120969988,0.015539992,0.012829996,0.189370076,0.006939999,0.009770001,0.00227,0.16752005,0.02219,0.005759995,0.180199928,0.137500041,0,0.007689997,0.015959997
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0.015809995,0,0,0.007000002,0.010189995,0.105140011,0.008459997,0.00287,0.058830006,0.011520002,0.00383,0.011949995,0.024350007,0.00237,0,0.010940002,0.015319995,0.019410002,0.05306,0.137279986,0.041830004,0.025040003,0.009689997,0.045839986,0.060689988,0.23296007,0.007500002,0.159439936,0.00064,0.075240023,0.176360035,0.086650009,0.223480045,0.03448999,0.078509992,0.027059984,0,0.026760005,0.003190001,0.001099999,0.09015,0.182430018,0.005679999,0.068750021,0.140279958,0.021609998,0.045609995,0.005879998,0.003690001,0,0.001,0.13891,0,0.002789998,0.046220023,0.019190002,0.047569971,0,0.045229977,0.007449999,0.064260013,0,0.022539998,0.04986002,0.030070006,0.424060254,0.023339998,0.040459984,0.01439,0.120969988,0.015539992,0.012829996,0.189370076,0.006939999,0.009770001,0.00227,0.16752005,0.02219,0.005759995,0.180199928,0.137500041,0,0.007689997,0.015959997
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum,0,0,0,0,0.002069999,0,0.0007,0,0.00104,0,0,0,0,0.00143,0,0,0,0,0.01081,0,0.022240002,0,0,0,0.00171,0,0,0,0,0.003110001,0,0.023770002,0,0,0.00197,0.005719997,0,0,0,0.0008,0.0361,0,0,0,0,0.00107,0.00061,0,0,0,0,0.0331,0,0,0,0,0.003249998,0,0.005949997,0,0,0,0,0,0.005590001,0.014610009,0,0,0,0.020429998,0,0,0.002220001,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183,0,0,0,0,0.002069999,0,0.0007,0,0.00104,0,0,0,0,0.00143,0,0,0,0,0.01081,0,0.022240002,0,0,0,0.00171,0,0,0,0,0.003110001,0,0.023770002,0,0,0.00197,0.005719997,0,0,0,0.0008,0.0361,0,0,0,0,0.00107,0.00061,0,0,0,0,0.0331,0,0,0,0,0.003249998,0,0.005949997,0,0,0,0,0,0.005590001,0.014610009,0,0,0,0.020429998,0,0,0.002220001,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,0.015809995,0,0,0.007000002,0.008119996,0.105140011,0.007759998,0.00287,0.057790006,0.011520002,0.00383,0.011949995,0.024350007,0.00094,0,0.010940002,0.015319995,0.019410002,0.04225,0.137279986,0.019590002,0.025040003,0.009689997,0.045839986,0.058979988,0.23296007,0.007500002,0.159439936,0.00064,0.072130022,0.176360035,0.062880006,0.223480045,0.03448999,0.076539992,0.018769989,0,0.026760005,0.003190001,0.0003,0.05405,0.182430018,0.005679999,0.068750021,0.140279958,0.020539998,0.044999996,0.005879998,0.003690001,0,0.001,0.10581,0,0.002789998,0.046220023,0.019190002,0.044319973,0,0.03927998,0.007449999,0.064260013,0,0.022539998,0.04986002,0.024480005,0.409450246,0.023339998,0.040459984,0.01439,0.10053999,0.015539992,0.012829996,0.185980074,0.006939999,0.009770001,0.00227,0.16752005,0.02219,0.005759995,0.180199928,0.137500041,0,0.007689997,0.015959997
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii,0,0,0,0,0,0,0,0,0.012560001,0,0,0.005369998,0,0.00084,0,0,0,0,0.00163,0,0.00186,0,0,0,0.003899999,0.006940002,0,0.012439995,0,0.00128,0.006990001,0,0,0.00036,0.020299998,0,0,0,0,0,0,0.120510012,0,0.007960002,0.068829979,0,0,0.002619999,0,0,0,0.00819,0,0,0.006600003,0,0.00037,0,0,0,0.003540001,0,0,0,0,0,0,0,0,0.023199998,0.00063,0,0.034940014,0,0,0,0.017060005,0,0,0.012639995,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii,0,0,0,0.004510001,0,0.033300003,0,0.00287,0.00393,0.00026,0.00133,0,0.010350003,0,0,0,0,0,0.00336,0.068739993,0.00413,0,0.007879998,0.004939999,0,0,0,0.014879994,0,0.013290004,0.004840001,0,0,0.004669999,0,0,0,0,0.00203,0.0003,0.01069,0,0,0,0,0.005439999,0,0,0,0,0,0.00615,0,0,0,0,0.001539999,0,0,0,0,0,0,0,0.006630001,0.023990014,0,0.006499997,0,0,0,0.002169999,0.018130007,0,0,0,0,0.01634,0,0,0.009890003,0,0,0.00139
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,0.00047,0,0,0.002490001,0.007079996,0.009840001,0.00063,0,0,0.011260002,0,0.00113,0.012150004,0,0,0.004450001,0.002149999,0.007680001,0.01431,0,0.00041,0,0,0.008519997,0.004939999,0.037820011,0.002560001,0.02559999,0,0.017480005,0.042430008,0.036100004,0.010050002,0.010799997,0.008309999,0.013169992,0,0,0,0,0.00671,0.006030001,0.002539999,0.016850005,0.013779996,0.00093,0.00331,0.002879999,0.003260001,0,0.001,0.04568,0,0.0004,0.003630002,0.008450001,0.009949994,0,0.005599997,0.00022,0.014210003,0,0.018489998,0.037440015,0,0.315030189,0.017099998,0.005719998,0.00705,0.007509999,0.007159996,0.007309998,0.040300016,0.006939999,0.007040001,0.00082,0.083610025,0.00504,0.002969998,0.02541999,0.054440016,0,0,0
