feature	CON10__92125	CON13__106090	CON13__125096	CON13__134529	CON13__23397	CON13__38366	CON13__42474	CON13__4329	CON13__49865	CON13__68260	CON13__83545	CON13__96551	CON13__97539	CON16__2712	CON16__54857	CON17__51038	CON18__42913	CON19__13253	CON19__28358	CON19__37443	CON20__1276	CON20__40587	CON20__43638	CON21__106170	CON21__111618	CON22__29078	CON23__39618	CON24__104082	CON24__35132	CON24__49185	CON25__12111	CON26__23139	CON26__2739	CON26__34383	CON26__44076	CON27__11287	CON2__56254	CON30__101066	CON30__106370	CON30__106949	CON30__115695	CON30__21220	CON30__57661	CON30__78830	CON30__78872	CON30__86319	CON30__87665	CON31__48385	CON31__53650	CON31__67138	CON32__13019	CON32__14322	CON32__19720	CON32__22342	CON32__25400	CON32__30458	CON32__35763	CON32__56105	CON32__56929	CON32__62268	CON32__67931	CON32__69345	CON32__75016	CON32__82194	CON32__84218	CON32__8800	CON34__10987	CON34__2332	CON34__3956	CON34__40685	CON34__473	CON34__8025	CON35__38542	CON35__7412	CON36__20695	CON36__86234	CON36__87622	CON37__18567	CON37__93791	CON38__16154	CON38__26147	CON41__27547	CON42__60554	CON43__13370	CON43__25730	CON43__49036	CON43__71541	CON43__88736	CON44__29119	CON44__73004	CON44__73208	CON44__73331	CON46__60239	CON46__87773	CON47__18512	CON47__55906	CON47__68241	CON47__69180	CON47__72923	CON47__75632	CON47__7973	CON4__10543	CON4__16143	CON4__55923	CON4__8492	CON4__94670	CON5__103695	CON6__19195	HF10__3047	HF10__69385	HF11__101063	HF11__113757	HF11__37751	HF11__38182	HF11__53881	HF11__7762	HF12__46308	HF13__130702	HF13__56270	HF14__72355	HF15__23649	HF15__70868	HF16__6620	HF17__64840	HF17__69944	HF18__23394	HF18__52113	HF1__43792	HF21__86021	HF22__4444	HF26__86591	HF27__110837	HF27__126317	HF27__129645	HF27__135661	HF27__43896	HF27__66055	HF27__66822	HF27__6829	HF27__73342	HF27__93109	HF27__96853	HF28__108909	HF28__18937	HF28__68916	HF29__26223	HF29__30629	HF29__36428	HF2__25841	HF30__18734	HF31__6557	HF31__71275	HF32__25045	HF32__28561	HF32__28961	HF32__38809	HF32__40475	HF32__41880	HF32__8300	HF34__111609	HF35__45179	HF36__13316	HF37__10748	HF37__19724	HF37__20036	HF37__21884	HF37__26086	HF37__32760	HF37__37838	HF37__48934	HF37__53203	HF37__8889	HF38__1166	HF38__2035	HF38__3530	HF39__74434	HF3__84953	HF3__87587	HF40__21762	HF47__17258	HF48__31437	HF5__20927	HF5__86068	HF5__87494	HF6__8951	HF7__1727	HF7__46258	HF7__53524	HF7__74558	HF9__167	HF9__35736	HF9__8746	MI10__1204	MI10__12940	MI10__13245	MI10__14267	MI10__17656	MI10__22036	MI10__40910	MI10__42279	MI10__42612	MI11__142314	MI11__71200	MI12__102609	MI12__37923	MI12__69509	MI12__94881	MI13__75706	MI14__131753	MI14__13390	MI14__143396	MI15__11953	MI18__91498	MI19__1736	MI19__21527	MI19__30717	MI19__35958	MI19__40101	MI19__40237	MI19__49351	MI19__60591	MI19__6784	MI19__68227	MI20__21221	MI23__20757	MI25__10356	MI25__15313	MI25__21430	MI25__24902	MI26__53721	MI26__61551	MI28__42321	MI29__59128	MI2__129799	MI2__95203	MI30__2851	MI31__18917	MI31__34956	MI31__52331	MI31__9495	MI32__26776	MI32__28772	MI32__65040	MI33__6501	MI33__79775	MI34__39124	MI34__47956	MI35__1404	MI35__20089	MI35__2454	MI35__29590	MI35__81629	MI35__84518	MI35__84728	MI35__88712	MI36__18817	MI36__20020	MI36__21069	MI36__44395	MI36__45559	MI36__46985	MI36__51170	MI36__6042	MI37__50209	MI37__9456	MI38__37503	MI38__49259	MI38__496	MI38__55378	MI38__60402	MI38__73232	MI3__4232	MI4__55228	MI4__58394	MI5__13031	MI5__160719	MI5__178863	MI5__200021	MI5__210119	MI6__14551	MI8__102292	MI8__75762	MI8__85262	MI9__51614	MI9__68769	MI9__7017
MI35	2	0	0	0	0	0	0	0	0	0	0	0	0	97	60	0	0	0	0	0	0	0	4	11	1	4	0	297	38	76	5	0	2	0	0	2	1	216	10	17	0	0	307	8	0	0	16	11	0	0	0	0	37	0	0	43	44	0	25	227	1	1	24	417	13	0	0	164	0	0	30	0	0	0	11	145	1485	6	154	711	0	2	0	0	0	0	0	0	77	13	0	0	0	0	0	2	0	44	29	0	0	0	0	457	30	56	824	0	0	0	0	4	23	0	159	0	65	0	27	3	232	167	14	0	462	12	0	793	0	156	704	5	718	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	38	6	0	10	27	0	0	0	0	0	0	299	21	12	0	152	0	0	11	4	268	0	697	6	0	0	0	80	0	0	465	9	44	0	0	0	4	0	0	0	0	0	659	0	23	4	33	6	9	7338	0	9	37	3473	5161	1	0	0	0	84	0	1430	1577	0	46	18	2	1985	760	1181	2	256	546	0	5	45	0	9	2063	0	580	0	0	369	1	250	870	0	257	423	0	53	292	0	0	234	22	32	0	11268	1127	1231	2209	3448	708	392	972	0	30	0	0	0	0	113	14	1	147	23	44	0	3	221	27	8	17	657	0	1910	789	184	0	94	7	5	0	0	1	7
MI33	5	123	12	36	1	15	65	100	23	30	32	10	10	74	1	100	125	11	5	10	0	1	52	47	2	139	0	10	8	54	2	19	87	2	34	15	31	6	12	0	21	0	150	0	0	12	0	185	14	71	2	0	16	0	0	2	6	0	78	0	0	0	2	166	0	0	0	38	0	16	19	18	24	0	4	113	456	0	0	242	5	6	11	1	2	0	48	4	22	13	18	39	8	38	0	1	0	5	0	0	0	0	32	131	245	51	467	40	13	0	0	0	0	0	37	0	24	0	102	0	32	172	362	0	0	336	109	283	24	67	3136	226	155	0	0	0	0	0	0	0	0	14	70	0	17	22	7	0	0	279	1184	7	0	0	19	142	11	1	115	22	56	13	0	9	2	2	14	0	33	0	383	0	7	6	11	711	2	0	114	8	39	87	2	16	3	0	0	3	0	2	175	0	0	0	0	7	2	3147	0	34	1	3628	2144	20	13	179	8	0	0	2409	962	8	8	0	0	229	2	493	0	51	0	0	0	1	0	234	770	0	579	4	0	595	287	122	622	34	0	42	0	6	175	0	1	3937	521	0	0	690	13	40	0	24	0	40	6	27	2	17	54	20	0	0	0	0	0	30	28	0	0	30	64	175	7	673	116	7488	123	151	57	42	0	13	0	38	0	0
MI32	1137	0	0	5	0	8	1	17	1	0	1	0	0	3280	9	0	24	0	0	15	0	2	0	26	0	34	0	0	0	120	1	0	242	5	2	4	35	0	290	0	71	10	200	11	0	0	13	7	2	6	16	0	8	0	4	96	85	0	0	2	0	1	12	47	1	10	0	25	0	2	19	7	2	0	21	501	1454	0	0	14	0	6	1	4	0	0	100	0	70	0	0	83	0	1	4	11	0	35	45	0	13	0	0	197	7	2	916	17	16	0	27	2	0	0	289	0	79	0	43	0	224	430	66	0	0	136	37	863	20	420	226	0	35	0	0	0	3	0	0	0	0	33	2	0	0	20	5	0	0	12	55	255	24	6	1	67	0	0	4	15	5	2	3	808	2	0	25	0	57	0	948	0	0	3	0	0	0	0	417	41	62	7	0	0	17	6	42	25	532	6	216	1	0	6	12	72	55	59	0	8	1	29	88	0	0	15	4	0	0	43	1881	0	0	4	20	3280	426	426	0	25	0	28	0	285	40	51	1450	0	643	2	8	641	406	631	964	16	0	70	27	284	2843	755	1215	2	2	1	108	169	81	0	263	41	116	29	0	15	173	0	0	0	0	161	69	2	35	0	0	0	0	5	7	318	8	1716	8	2449	137	587	0	32	161	5	0	25	4	5
MI38	2	0	0	0	0	2	24	60	0	0	0	0	0	121	0	0	1	0	0	0	0	0	0	0	0	2	0	42	0	12	0	0	44	0	0	0	0	291	0	0	0	20	75	0	0	0	10	20	0	0	16	0	175	0	0	30	16	0	0	9	0	0	9	56	4	0	0	13	0	4	0	0	2	3	2	12	204	0	0	14	0	0	16	0	1	0	0	0	5	9	0	92	0	0	0	0	2	1	6	0	7	0	0	46	267	0	188	0	0	0	2	0	10	0	14	0	1	0	17	0	16	66	0	0	0	0	49	169	0	33	1369	231	810	0	0	0	0	0	0	0	1	0	0	0	91	0	0	2	0	1	1587	15	2	0	17	0	0	0	4	554	17	0	0	70	0	0	1	0	0	0	175	0	0	2	0	89	0	0	447	257	30	2	0	0	35	0	0	0	0	0	73	0	9	0	2	204	4	579	0	0	5	33	58	0	0	0	28	0	0	75	156	0	0	3	0	85	0	254	0	267	734	0	6	24	0	0	143	0	154	0	0	70	0	94	273	0	0	2	0	0	37	0	0	288	28	0	0	34	0	64	18	4	25	127	9	0	397	0	0	0	0	19	0	0	9	1052	1075	999	931	957	448	152	0	183	0	2387	18	31	0	0	220	0	0	4	0	5
MI36	1	0	67	0	10	7	14	153	7	0	49	98	145	725	0	0	0	0	0	0	0	0	0	209	0	0	0	96	14	119	0	0	921	0	6	0	0	2	2	0	0	18	129	0	0	2	7	14	0	42	0	0	11	0	0	57	26	0	0	0	0	0	10	52	1	0	0	22	0	103	0	0	4	0	0	147	1107	0	0	196	0	0	55	0	0	21	9	0	1	18	68	12	0	180	0	0	6	2	0	0	0	0	25	451	0	0	38	13	0	0	0	0	0	0	137	0	46	0	267	0	21	15	0	65	0	0	147	788	0	34	2076	0	4	0	0	0	0	1	0	0	0	2	119	0	0	0	0	0	0	1047	685	0	0	0	36	0	171	21	6	17	1241	54	0	175	0	2	17	0	0	0	441	0	0	0	0	24	0	0	38	1	0	16	6	67	1	0	0	0	0	0	102	0	191	103	0	0	10	2323	0	253	0	592	292	0	0	224	214	0	0	283	1384	0	0	0	0	142	210	196	0	33	3	0	0	0	0	161	2141	0	1335	0	0	256	1	40	322	0	34	0	0	4	253	32	0	14	0	0	0	78	0	24	263	2	6	0	328	1682	448	497	1118	726	702	3245	355	11	16	0	0	2	0	0	20	133	17	412	0	5403	334	209	2	143	1	0	0	263	0	0
MI34	10	0	0	0	0	9	12	88	0	0	0	0	0	282	0	0	8781	0	0	0	0	0	0	31	2	0	0	21	10	156	0	0	44	6	0	0	310	1	4	0	0	8	143	58	0	0	0	0	0	10	103	0	271	1	0	191	49	5	44	57	0	0	6	478	141	16	0	10015	0	0	0	0	0	14	18	185	1139	0	0	4	18	5	23	0	0	0	9	0	74	0	0	0	0	0	0	0	8	0	6	0	1	0	0	275	2	43	461	0	13	0	0	4	0	2	214	0	72	92	44	126	327	35	0	2	0	14	119	736	0	141	13	3	129	18	0	0	5	0	0	42	0	23	0	0	52	0	0	0	0	5	366	0	4	0	170	0	0	0	0	178	68	4	2	596	4	0	57	27	572	0	576	1	0	12	0	16	0	0	0	25	0	0	0	0	0	0	12	0	19	16	844	0	2	7	1	14	42	3	0	20	4	17	2	24	2	766	4	1	0	7	1472	1	0	0	6	671	25	216	0	26	105	54	0	1	99	9	1019	0	906	0	0	786	4	719	0	0	1165	0	31	16	138	11	0	54	0	606	364	0	0	19	23	80	20	10	47	0	53	0	0	0	0	80	4	34	45	0	70	71	15	29	2	0	8	907	5533	0	0	254	0	300	0	3	0	52	0	0
MI37	13	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	12	0	0	12	4	0	12	0	0	0	0	0	15	0	1	0	9	0	0	1	0	0	0	0	0	0	57	62	0	0	0	0	0	0	0	582	41	0	0	10	163	0	59	2	0	0	0	89	0	0	312	0	0	0	0	0	0	0	0	122	1	0	13	0	0	0	0	0	0	0	0	0	0	1	63	0	4	0	0	14	24	0	0	0	0	0	0	2	0	0	0	0	0	4	0	1	0	0	25	0	0	708	248	87	0	353	0	0	0	17	928	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	11	109	127	0	0	0	4	0	0	0	0	30	1	0	649	0	0	11	0	0	0	17	1	0	0	0	4	0	0	728	9	244	0	0	0	2	0	0	0	73	16	42	6	0	0	2	2	0	2946	0	14	36	2550	2533	12	0	19	8	11	0	1256	131	0	0	3	0	0	1	0	17	2	0	0	52	0	0	3	0	0	16	112	288	0	82	9019	260	0	0	168	0	0	0	0	0	0	0	1	0	24	86	0	0	0	0	0	0	0	0	0	0	0	0	172	0	899	622	0	0	0	0	0	0	1691	0	1871	0	2093	36	362	0	37	0	0	0	0	0	0
MI27	0	0	0	0	0	0	0	0	0	0	0	0	0	1034	0	0	0	0	0	0	0	5	0	111	0	0	0	0	0	2	0	0	193	0	7	0	45	0	2	0	0	0	2	7	0	0	4	79	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	2	0	0	0	33	0	0	77	0	0	0	16	1	26	5	0	105	0	0	0	1	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	14	3	1	0	228	0	0	23	0	0	0	0	0	11	0	8	1411	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	2	3	2	9	2	22	0	0	0	0	0	0	40	15	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	137	12	48	0	0	0	281	0	0	54	0	8	39	5	0	0	1	0	0	660	0	64	0	812	847	0	0	33	0	0	0	385	19	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	24	0	11	0	0	2	0	165	670	0	0	796	0	0	4	4	0	0	0	0	0	132	335	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	164	0	291	0	2571	281	324	0	0	0	0	31	0	0	4
MI28	5	0	0	0	0	0	0	0	0	0	0	0	0	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2	0	1	2	0	0	14	0	0	0	27	5	0	0	0	337	0	0	0	0	0	0	0	43	3	0	0	7	10	0	18	9	7	0	0	168	0	0	159	0	0	0	0	33	227	0	0	365	0	0	0	0	0	0	2	0	17	0	0	0	0	0	4	0	0	15	50	0	0	0	0	46	7	0	34	0	0	0	0	0	4	1	42	0	4	0	0	1	31	484	0	39	30	11	0	125	0	31	891	3	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	44	3	0	0	0	0	0	0	0	0	0	2	28	0	0	1	1	0	7	126	0	0	0	0	2	0	0	34	323	50	0	0	0	0	0	5	0	0	0	988	4	23	6	0	5	4	595	0	0	7	1366	5492	0	0	0	0	1	0	275	216	0	0	5	25	52	6	48	4	2	0	0	0	21	0	0	86	0	212	0	0	903	0	1986	1463	2	1667	68	9	2	42	12	0	4	21	20	0	157	64	0	2	0	0	0	0	0	0	0	0	0	0	4	2	14	21	0	0	0	0	0	4	48	0	2104	0	3326	74	84	0	471	2	0	0	0	12	0
MI29	5	0	0	0	0	2	0	0	0	0	0	0	0	592	6	0	0	0	0	0	0	0	0	12	0	0	0	0	0	22	0	0	30	0	0	4	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0	2	1	0	0	0	4	0	0	2	0	0	0	136	0	0	68	0	0	0	0	1	29	0	0	20	0	0	1	0	0	0	0	0	8	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	20	0	2	38	58	4	0	23	0	18	0	0	24	0	0	8	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	7	6	486	0	4	0	97	6	0	0	0	104	2	5	12	0	0	0	13	0	0	6	0	0	0	0	0	0	0	19	1557	154	0	0	0	5	0	2	0	1	0	157	0	1	0	0	0	0	268	0	22	0	27	302	96	0	0	2	0	0	11	26	0	0	0	0	5	1	5	0	0	11	0	0	0	0	10	13	0	18	0	0	0	3155	320	1537	0	0	104	2	0	8	0	0	0	0	0	0	311	333	0	1	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	414	0	178	8	208	2	102	0	0	0	0	14	0
