feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
CON43__13370	Group	MI	-2.66289144921301	0.567430717668159	84	28	1.06498212068305e-05	0.00304584886515351
CON34__10987	Group	MI	-2.80507257501337	0.656866937416043	84	20	5.21589164613179e-05	0.00401501039770661
CON34__8025	Group	MI	-2.77065199340857	0.651884799272607	84	31	5.61539915763162e-05	0.00401501039770661
HF7__1727	Group	MI	-3.30953073808566	0.751226945468683	84	22	3.16540118070583e-05	0.00401501039770661
CON13__42474	Group	MI	-2.26646696503587	0.644715321482351	84	48	0.000717983899067923	0.0186317082505933
CON19__13253	Group	MI	-1.80338926166007	0.51704195128296	84	25	0.000785485910278625	0.0186317082505933
CON25__12111	Group	MI	-2.52121922310554	0.699437238823638	84	22	0.000535202155231431	0.0186317082505933
CON31__67138	Group	MI	-2.80568686137164	0.775777078313058	84	37	0.000514322781453644	0.0186317082505933
CON44__73331	Group	MI	-2.97632639025769	0.843498038250862	84	32	0.000687859459169835	0.0186317082505933
CON47__55906	Group	MI	-2.56019806494413	0.706208006891634	84	21	0.000499707808610004	0.0186317082505933
HF10__3047	Group	MI	-1.91345605174899	0.54440628371936	84	43	0.000719620017769155	0.0186317082505933
MI19__1736	Group	MI	1.65578687168663	0.468765389138981	84	26	0.000679618378533205	0.0186317082505933
MI36__51170	Group	MI	2.63849124742686	0.761533606946687	84	62	0.000846895829572421	0.0186317082505933
CON13__4329	Group	MI	-2.71658057928433	0.809060817554095	84	49	0.00119374328672827	0.022760705333619
CON31__53650	Group	MI	-1.43790572461671	0.427291352483023	84	20	0.00116574196370048	0.022760705333619
CON35__38542	Group	MI	-1.31733039040578	0.394897893616145	84	24	0.00127922540693514	0.0228661541489656
MI10__17656	Group	MI	2.0914317770568	0.657422052182668	84	39	0.00207101424682458	0.0348417690936371
CON18__42913	Group	MI	-3.41952753456262	1.08748106576661	84	44	0.00231771882856285	0.0348877676299461
HF32__8300	Group	MI	-2.41158405400012	0.763985143191465	84	42	0.0022335051124975	0.0348877676299461
HF18__52113	Group	MI	-2.39404426716439	0.779579186788562	84	52	0.0028943219125428	0.041388803349362
CON13__125096	Group	MI	-1.85928342577567	0.629732209304858	84	27	0.00411041497919171	0.0470231473619532
CON22__29078	Group	MI	-2.27587143190546	0.766214150007691	84	44	0.0039017975141052	0.0470231473619532
CON30__115695	Group	MI	-2.08216303319836	0.702741855386683	84	24	0.00398701894864944	0.0470231473619532
CON43__25730	Group	MI	-1.58230353221416	0.525898782058466	84	16	0.00348346915984409	0.0470231473619532
HF30__18734	Group	MI	-2.19562049495128	0.736920605586938	84	73	0.00379806403837341	0.0470231473619532
