feature	Klebsiella.克雷伯氏菌属.	Citrobacter.柠檬酸杆菌属.	Salmonella.沙门氏菌属.	Enterobacter.肠杆菌属.	Cronobacter.克罗诺杆菌属.	Serratia.沙雷氏菌属.	Edwardsiella.爱德华氏菌属.	Providencia.普罗维登斯菌属.	Proteus.变形杆菌属.	Shigella.志贺菌属.	Streptococcus.链球菌属.	Faecalibacterium.普拉梭菌.	Roseburia.罗氏菌属.	Bifidobacterium.双歧杆菌属.	Erysipelatoclostridium.丹毒丝菌属.	Enterococcus.肠球菌属.	Escherichia.埃希氏菌属.	Bacteroides.拟杆菌属.	Lactobacillus.乳杆菌属.	Prevotella.普雷沃氏菌属.	Ruminococcus.瘤胃球菌属.	Veillonella.韦荣球菌属.	Clostridium.梭状芽孢杆菌属.	Staphylococcus.葡萄球菌属.	Blautia.经黏液真杆菌属.	Parabacteroides.副拟杆菌属.	Dorea菌属	Anaerostipes.粪厌氧棒状杆菌属.	Butyrivibrio.丁酸弧菌属.	Subdoligranulum属
MI35	791	5189	99	2376	11291	5163	167	789	870	9	41005	13157	557	1727	0	18096	14	36412	16889	0	1474	239	34117	3366	128	7804	10	0	0	44
MI33	5347	7263	162	7755	803	2374	172	123	622	8	18921	12203	35	60	0	37347	534	24738	12654	0	33	1	24020	3195	160	9590	99	0	19	32
MI32	610	1969	71	2998	227	462	430	137	964	41	31609	1928	2199	32	0	7825	91	28366	4878	239	189	208	28335	3711	170	12379	540	14	0	126
MI38	2760	110	17	2834	51	102	66	18	273	257	14467	4181	1	98	0	8493	28	51222	3228	0	62	12	19128	1885	548	16780	0	0	0	12
MI36	8896	2030	340	5629	1319	1264	15	334	322	1	20120	7628	44	14	0	8381	599	148985	1061	0	496	14	18711	1672	109	54513	196	0	0	1
MI34	14979	1219	48	29	411	65	35	0	0	25	28857	89	20	266	0	23628	895	16497	105409	0	228	19	33821	768	24	5536	2	0	0	0
MI37	1052	4493	40	2833	68	2548	708	36	260	9	21714	14311	4	25	35	76049	42	14914	17124	0	119	8	33144	1188	2441	9619	185	12	0	273
MI27	1723	1197	244	2866	234	1062	23	281	670	12	4615	2900	17	606	0	6152	33	21155	3516	3	420	0	21353	9441	512	76645	422	0	0	116
MI28	1228	3321	0	3361	157	5496	484	74	1463	323	35226	5488	304	0	1	22460	2	30570	9951	0	294	0	33859	1460	430	5862	808	0	10	17
MI29	85	3375	28	197	415	336	38	8	1537	1557	3679	182	153	22	0	12960	108	8503	2785	2	247	1	23382	2433	862	4119	857	0	0	69
MI31	803	3506	48	1231	326	306	28	5	1211	2	46148	1662	41	0	0	9520	235	26137	1982	0	62	0	40195	7169	153	4152	634	0	0	0
MI17	570	1727	246	16	1231	430	267	0	0	0	4976	2	0	0	7	7241	237	24707	16127	0	3114	478	24541	515	15	5131	63	0	0	6
MI21	5103	658	18	10881	826	6164	272	170	186	538	10023	14149	98	4	0	7766	0	13599	12751	113	521	2	55734	10978	2010	5249	123	0	0	109
MI20	112	443	24	258	8	139	3910	2	600	86	19581	238	5	0	7	8608	25	15306	1077	0	132	0	14023	3087	187	5363	129	0	0	1
MI24	6792	1193	13	5509	233	993	467	98	1028	123	12969	5784	63	1110	0	11580	17	6823	56543	291	39	0	41542	1482	303	3695	329	3	4	3
MI23	495	84	4	25	52	60	133	0	1683	19	15054	2	0	558	0	14296	12	854	2107	0	463	4	20192	2475	136	1163	1089	0	59	0
MI26	191	2691	24	325	102	1596	904	312	1068	10	15474	466	41	23469	18	23301	17	4979	7763	0	6	0	34866	1678	873	19639	147	0	248	0
MI19	341	3036	135	135	94	767	108	54	748	6	65590	372	11	522	0	4579	24	14222	18846	0	5	26	15736	3696	18	2694	378	0	166	0
MI18	6617	2128	1032	796	2111	9809	679	55	537	154	43034	830	30	30	0	5342	1416	29724	6131	0	113	0	52866	5957	179	5678	165	0	54	21
MI15	42630	6	0	1	0	7	0	0	0	0	4444	2	0	0	0	109368	2	328	60866	0	34	0	1643	41	2	69	0	0	76	0
