feature	Klebsiella.克雷伯氏菌属.	Citrobacter.柠檬酸杆菌属.	Salmonella.沙门氏菌属.	Enterobacter.肠杆菌属.	Cronobacter.克罗诺杆菌属.	Serratia.沙雷氏菌属.	Edwardsiella.爱德华氏菌属.	Providencia.普罗维登斯菌属.	Proteus.变形杆菌属.	Shigella.志贺菌属.	Streptococcus.链球菌属.	Faecalibacterium.普拉梭菌.	Roseburia.罗氏菌属.	Bifidobacterium.双歧杆菌属.	Erysipelatoclostridium.丹毒丝菌属.	Enterococcus.肠球菌属.	Escherichia.埃希氏菌属.	Bacteroides.拟杆菌属.	Lactobacillus.乳杆菌属.	Prevotella.普雷沃氏菌属.	Ruminococcus.瘤胃球菌属.	Veillonella.韦荣球菌属.	Clostridium.梭状芽孢杆菌属.	Staphylococcus.葡萄球菌属.	Blautia.经黏液真杆菌属.	Parabacteroides.副拟杆菌属.	Dorea菌属	Anaerostipes.粪厌氧棒状杆菌属.	Butyrivibrio.丁酸弧菌属.	Subdoligranulum属
MI35	0.00392005272991283	0.0257157441409831	0.000490626068598445	0.0117750256463627	0.0559561509145964	0.0255868928502401	0.000827621752080205	0.00391014109216336	0.00431156242101664	4.46023698725859e-05	0.203213352958376	0.0652037089348459	0.00276039111322559	0.00855869919666176	0	0.089680498357146	6.93814642462447e-05	0.180451276866733	0.0836988249753448	0	0.00730487702135462	0.00118444071106089	0.169077672549224	0.0166812863323471	0.000634344815965666	0.0386752104984067	4.95581887473177e-05	0	0	0.000218056030488198
MI33	0.0317763118797171	0.0431627741130326	0.000962738456052772	0.0460866464610448	0.00477209247043442	0.0141082783621561	0.00102216675580912	0.000730968087003031	0.0036964402448446	4.75426398050752e-05	0.112444285968978	0.0725203541926665	0.000207999049147204	0.000356569798538064	0	0.221946871100018	0.00317347120698877	0.147013727937244	0.0752005705116777	0	0.000196113389195935	5.9428299756344e-06	0.142746776014738	0.0189873417721519	0.000950852796101503	0.0569917394663339	0.000588340167587805	0	0.000112913769537054	0.000190170559220301
MI32	0.00466546333404717	0.0150595037782605	0.000543029338880901	0.0229296050417597	0.00173616422430936	0.00353351485299966	0.00328876923547588	0.00104781717502371	0.00737296172790406	0.000313580322452351	0.241755132009667	0.0147459234558081	0.0168186129042127	0.000244745617523786	0	0.0598479517851133	0.000695995349833267	0.216951693333741	0.0373084100712822	0.00182794383088078	0.00144552880349986	0.00159084651390461	0.216714596016765	0.0283828433322116	0.00130021109309511	0.0946783124789672	0.00413008229571389	0.000107076207666656	0	0.000963685868999908
MI38	0.0217952666366587	0.00086865193117118	0.000134246207544637	0.0223796324812648	0.000402738622633911	0.000805477245267821	0.000521191158702708	0.000142143043282557	0.00215583615645211	0.00202948678464539	0.114243522620486	0.0330166702202427	7.89683573791982e-06	0.000773889902316142	0	0.067067825922153	0.000221111400661755	0.404491720167729	0.0254909857620052	0	0.000489603815751029	9.47620288550378e-05	0.15105067399493	0.0148855353659789	0.00432746598438006	0.132508903682295	0	0	0	9.47620288550378e-05
MI36	0.031468655153629	0.00718090939319547	0.0012027138885155	0.019911989642511	0.00466582240868218	0.00447126575024585	5.30609068462719e-05	0.00118148952577699	0.00113904080029997	3.53739378975146e-06	0.0711723630497994	0.0269832398282242	0.000155645326749064	4.95235130565205e-05	0	0.029646897351907	0.00211889888006113	0.527018613766122	0.0037531748109263	0	0.00175454731971673	4.95235130565205e-05	0.0661881752000396	0.00591452241646445	0.000385575923082909	0.192833947660721	0.000693329182791287	0	0	3.53739378975146e-06
MI34	0.0643234422639241	0.00523468029372611	0.000206123588268132	0.00012453300124533	0.00176493322454588	0.000279125692446429	0.000150298449778847	0	0	0.000107356035556319	0.123918924721948	0.000382187486580496	8.58848284450552e-05	0.00114226821831923	0	0.101464336324988	0.00384334607291622	0.0708421007429038	0.452651694078241	0	0.000979087044273629	8.15905870228024e-05	0.145235539142011	0.00329797741229012	0.000103061794134066	0.0237729205135913	8.58848284450552e-06	0	0	0
MI37	0.00517578989835378	0.0221053460202505	0.00019679809499444	0.0139382250779812	0.000334556761490549	0.0125360386511459	0.0034833262814016	0.000177118285494996	0.00127918761746386	4.42795713737491e-05	0.106831845867732	0.0704094384366359	1.9679809499444e-05	0.000122998809371525	0.000172198333120135	0.374157458155805	0.000206637999744162	0.0733761697186771	0.08424926446712	0	0.00058547433260846	3.93596189988881e-05	0.163066901512393	0.00584490342133488	0.0120096037470357	0.0473250218937881	0.000910191189349287	5.90394284983321e-05	0	0.00134314699833706
MI27	0.011029458833169	0.00766236925322306	0.00156191988119167	0.0183461572930136	0.00149790677130676	0.00679819226977685	0.00014723015273528	0.00179876838776581	0.0042888783622886	7.68157318618853e-05	0.0295420502118834	0.0185638018666223	0.000108822286804338	0.00387919445902521	0	0.0393808652011932	0.000211243262620185	0.135419733961515	0.0225070094355324	1.92039329654713e-05	0.00268855061516599	0	0.136687193537236	0.0604347770423383	0.00327747122610711	0.49062848071285	0.00270135323714297	0	0	0.000742552074664891
MI28	0.00755000030741044	0.0204182011570929	0	0.0206641295058685	0.000965268768944168	0.0337905551217653	0.00297573302018457	0.000454967445234831	0.00899482935646699	0.00198587141636284	0.216576800349218	0.0337413694520102	0.00186905545069444	0	6.14820871938961e-06	0.138088767837491	1.22964174387792e-05	0.18795074055174	0.061180824966646	0	0.00180757336350054	0	0.208172199029813	0.00897638473030882	0.00264372974933753	0.0360407995130619	0.0049677526452668	0	6.14820871938961e-05	0.000104519548229623
MI29	0.00125110391521931	0.0496761848690021	0.000412128348542832	0.00289961730939064	0.0061083308801884	0.00494554018251398	0.000559317044450986	0.000117750956726523	0.0226229025610833	0.0229172799528996	0.0541507212246099	0.00267883426552841	0.00225198704739476	0.000323815130997939	0	0.190756549896968	0.00158963791580807	0.125154548130704	0.040992051810421	2.94377391816309e-05	0.00363556078893141	1.47188695908154e-05	0.344156608772446	0.0358110097144539	0.0126876655872829	0.0606270238445687	0.0126140712393288	0	0	0.00101560200176626
