feature	Klebsiella.克雷伯氏菌属.	Citrobacter.柠檬酸杆菌属.	Salmonella.沙门氏菌属.	Enterobacter.肠杆菌属.	Cronobacter.克罗诺杆菌属.	Serratia.沙雷氏菌属.	Edwardsiella.爱德华氏菌属.	Providencia.普罗维登斯菌属.	Proteus.变形杆菌属.	Shigella.志贺菌属.	Streptococcus.链球菌属.	Faecalibacterium.普拉梭菌.	Roseburia.罗氏菌属.	Bifidobacterium.双歧杆菌属.	Erysipelatoclostridium.丹毒丝菌属.	Enterococcus.肠球菌属.	Escherichia.埃希氏菌属.	Bacteroides.拟杆菌属.	Lactobacillus.乳杆菌属.	Prevotella.普雷沃氏菌属.	Ruminococcus.瘤胃球菌属.	Veillonella.韦荣球菌属.	Clostridium.梭状芽孢杆菌属.	Staphylococcus.葡萄球菌属.	Blautia.经黏液真杆菌属.	Parabacteroides.副拟杆菌属.	Dorea菌属	Anaerostipes.粪厌氧棒状杆菌属.	Butyrivibrio.丁酸弧菌属.	Subdoligranulum属
MI35	-7.9949112240277	-5.28120428796174	-10.9930884884209	-6.40812598769973	-4.15955946328725	-5.28845122573913	-10.2387408160264	-7.99856361848703	-7.8575735177644	-14.4525201070582	-2.29893289152778	-3.93890215921835	-8.50091159116046	-6.86839274097157	-18.3114024268529	-3.47906189451067	-13.8150901864429	-2.47031874315797	-3.57864882045361	-17.6837211232335	-7.09692429940542	-9.72157830051975	-2.56424193679095	-5.90562564717054	-10.6224451085005	-4.69244704589147	-14.3005170136131	-18.7604665700899	-16.6837211232335	-12.1630134898632
MI33	-4.97590450189169	-4.53406859857021	-10.0205684604057	-4.43950739736685	-7.71116228577299	-6.1473142436484	-9.93415370858821	-10.4179039579511	-8.0796476931597	-14.3604184632903	-3.152717744698	-3.78547021848808	-12.2311354463453	-11.4535278676818	-18.3114024268529	-2.17171372450012	-8.29972253160275	-2.76597721668108	-3.73311258277546	-17.6837211232335	-12.3160243439319	-17.3604184632903	-2.80846993269731	-5.71881824745595	-10.0384903684029	-4.13310336338481	-10.7310618432107	-18.7604665700899	-13.1124909498467	-12.3604184632903
MI32	-7.74376392029702	-6.05318195684572	-10.8466822332426	-5.44664468479941	-9.16988086545635	-8.14468031133121	-8.24823650315781	-9.89839726978674	-7.08354001651731	-11.6388773481292	-2.04838157914053	-6.08354001651731	-5.8937974638923	-11.9964293527473	-18.3114024268529	-4.06255431603993	-10.4886347125486	-2.20455424828257	-4.74435530995109	-9.09556254476652	-9.4341869285262	-9.29598963460618	-2.20613177075038	-5.13883706704974	-9.58703841660957	-3.40082219768532	-7.91961375569644	-13.1890744306897	-16.6837211232335	-10.0191494292474
MI38	-5.5198413364828	-10.1689341746237	-12.862831046898	-5.48166984523032	-11.2778685461768	-10.2778685461768	-10.9058997687899	-12.780368886706	-8.85753674722848	-8.94466933895446	-3.12981572521203	-4.9206615601042	-16.9502938881483	-10.3355840440331	-18.3114024268529	-3.89823535352143	-12.1429389660907	-1.30581792349346	-5.29386902487056	-17.6837211232335	-10.9960975777615	-13.3653313874272	-2.72689547343671	-6.06994507999231	-7.85226180518781	-2.91583879282115	-18.4208237593134	-18.7604665700899	-16.6837211232335	-13.3653313874272
MI36	-4.98994066492447	-7.12161772557544	-9.69949080151027	-5.65021880478016	-7.74365288839643	-7.80510098947087	-14.2019911420395	-9.72517744517392	-9.77796485953336	-18.108881737648	-3.81253905295509	-5.21179260933522	-12.6494501190107	-14.3015268155904	-18.3114024268529	-5.07597506001972	-8.88246954485919	-0.924074177590636	-8.05767279673321	-17.6837211232335	-9.1546854272611	-14.3015268155904	-3.91728269334729	-7.40152260556709	-11.340697412871	-2.37456904015303	-10.4941718935328	-18.7604665700899	-16.6837211232335	-18.108881737648
MI34	-3.958511575481	-7.57768285691204	-12.2442027668111	-12.9711842724047	-9.14617068385057	-11.8067974545038	-12.6998822505873	-18.4657576971622	-17.4208237593134	-13.1853090777575	-3.01253156424831	-11.3534318365659	-13.5072371726449	-9.77388283203106	-18.3114024268529	-3.30095537090954	-8.02342139538063	-3.81924919555005	-1.14352674110092	-17.6837211232335	-9.99627525336751	-13.5812377540887	-2.78353357082177	-8.24420276681109	-13.2442027668111	-5.39453703989552	-16.8291652675323	-18.7604665700899	-16.6837211232335	-19.108881737648
MI37	-7.59400522968776	-5.49946087245663	-12.3109961240927	-6.16480933260196	-11.5454613777297	-6.31777465672376	-8.16531866889706	-12.4629992175378	-9.61055640595161	-14.4629992175378	-3.22658632588637	-3.82808735362497	-15.6329242189801	-12.9890680292053	-12.5036412020351	-1.41828256195456	-12.2406067962013	-3.76854459279382	-3.56919209878314	-17.6837211232335	-10.7381064556721	-14.6329242189801	-2.61646411400086	-7.4186050981793	-6.37966763919891	-4.40125301641728	-10.1015427584638	-14.0479617182589	-16.6837211232335	-9.54016707806021
MI27	-6.50249418378257	-7.02799373306402	-9.32246383244464	-5.76837827574538	-9.38283645042412	-7.20063311920337	-12.7296392139505	-9.1187748497866	-7.86518388466239	-13.6682386692864	-5.08108623747439	-5.75136398510523	-13.1657383287572	-8.01002718653457	-18.3114024268529	-4.6663613820457	-12.2088070506491	-2.88449010476381	-5.47348181486412	-15.6682386692864	-8.5389556523414	-18.7130508280301	-2.871050014239	-4.04847720598794	-8.25320117000752	-1.02729711090915	-8.53210198130034	-18.7604665700899	-16.6837211232335	-10.39522017488
MI28	-7.04930758148271	-5.61400041935019	-18.6181990732734	-5.59672759954489	-10.0167816779613	-4.88723613803479	-8.3925391895783	-11.1019490612239	-6.79668837271441	-8.97601207215897	-2.20704938478378	-4.88933766068008	-9.06347491340931	-17.7130508280301	-17.3114024268529	-2.85633211956493	-16.3114024268529	-2.41157349507856	-4.03077662934372	-17.6837211232335	-9.11173008201653	-18.7130508280301	-2.26415068234943	-6.79964977308551	-8.56320957726343	-4.79422517416335	-7.6531909441011	-18.7604665700899	-13.9894743319655	-13.2239395856026
MI29	-9.64258266162886	-4.33130181094101	-11.244618675709	-8.42992177831019	-7.35500607153228	-7.6596561749878	-10.804046084323	-13.0519735977666	-5.46607214807579	-5.44742036868753	-4.20687563679359	-8.54417895756787	-8.79458575507391	-11.5925419791293	-18.3114024268529	-2.39019549999458	-9.2970860956031	-2.99821737520442	-4.60851198553917	-15.0519735977666	-8.10360636618189	-16.0519735977666	-1.53886288087637	-4.80345299282813	-6.30042953867746	-4.04389518689831	-6.30882220365406	-18.7604665700899	-16.6837211232335	-9.94344914098839
