Feature	MI35	MI33	MI32	MI38	MI36	MI34	MI37	MI27	MI28	MI29	MI31	MI17	MI21	MI20	MI24	MI23	MI26	MI19	MI18	MI15	MI25	MI22	MI14	MI16	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47
Klebsiella（克雷伯氏菌属）	791	5347	610	2760	8896	14979	1052	1723	1228	85	803	570	5103	112	6792	495	191	341	6617	42630	2710	1017	442	1369	580	1156	901	1416	89688	983	2871	1555	11608	3337	769	416	3733	921	199	3316	5144	377	2005	470	2305	16	909	2452	0	16983	112	3535	814	4729	14390	1906	1493	1676	83446	807	629	4425	9910	1539	1272	4017	1474	4965	530	2768	6475	5679	1909	2682	480	650	323	423	99051	5656	73739	163	25775	485
Citrobacter（柠檬酸杆菌属）	5189	7263	1969	110	2030	1219	4493	1197	3321	3375	3506	1727	658	443	1193	84	2691	3036	2128	6	7787	5872	5488	2581	1488	1499	2594	1235	2867	4843	1	1656	3633	5798	6733	99	1957	1555	647	846	568	3593	33901	2	995	1	2951	2043	0	3064	344	186	59	3113	446	463	4471	2481	3223	6	1580	10	84	2217	1240	5878	5285	168	4248	3313	1766	1715	761	9048	1150	7	5398	3186	1465	1843	763	562	3024	1965
Salmonella（沙门氏菌属）	99	162	71	17	340	48	40	244	0	28	48	246	18	24	13	4	24	135	1032	0	715	11	18	79	86	15	0	668	1	46	1619	24	1052	479	13	122	21926	175	168	15	2144	8	6063	17	78	33	2	0	4	65	11	0	513	653	129	54	860	696	12	193	23	8389	714	261	135	380	26	2436	21	228	564	31	19	0	153	135	21	14	11	1366	27	73	78	145
Enterobacter（肠杆菌属）	2376	7755	2998	2834	5629	29	2833	2866	3361	197	1231	16	10881	258	5509	25	325	135	796	1	1534	1459	2416	3153	554	1419	2686	1138	2915	2652	477	6358	2136	484	1419	65	1523	1023	68	7367	209	581	230	10	975	7	1503	3842	0	250	146	2490	87	356	1154	1292	37	865	973	198	1422	113	4626	2374	191	2399	3143	592	2521	254	388	1603	3008	1230	1092	2064	707	885	742	1296	2252	5	8443	1021
Cronobacter（克罗诺杆菌属）	11291	803	227	51	1319	411	68	234	157	415	326	1231	826	8	233	52	102	94	2111	0	145	1859	58	436	610	77	279	1457	266	225	2083	370	1333	1302	138	311	2395	732	3006	99	407	291	855	8	146	35	445	34	4	51	119	144	121	1265	246	1528	1782	1646	501	390	253	466	747	476	240	635	67	108	2191	293	230	104	2915	975	1708	316	729	60	564	565	3277	56	258	328
Serratia（沙雷氏菌属）	5163	2374	462	102	1264	65	2548	1062	5496	336	306	430	6164	139	993	60	1596	767	9809	7	7199	4844	896	1117	625	496	554	1199	1515	351	1125	539	4933	456	1292	1095	18692	1981	268	324	481	4482	690	2	205	11	840	829	7	537	113	929	92	855	937	39	676	2223	369	226	464	605	7101	682	227	3330	1584	41020	1139	1453	317	52	242	3976	182	222	1147	881	1379	2712	617	357	2002	1034
Edwardsiella（爱德华氏菌属）	167	172	430	66	15	35	708	23	484	38	28	267	272	3910	467	133	904	108	679	0	61	133	68	133	212	810	99	7	50	27	3	76	107	44	176	107	63	294	2	109	8	246	29	3	342	4	23	42	2	573	2	211	59	86	103	91	452	99	229	358	86	2	2	63	309	177	128	185	187	216	35	102	75	316	61	121	18	355	83	59	101	675	58	98
Providencia（普罗维登斯菌属）	789	123	137	18	334	0	36	281	74	8	5	0	170	2	98	0	312	54	55	0	241	10	434	18	98	247	53	30	814	18	0	1522	39	734	113	25	16	196	1	254	1759	50	1	0	192	0	890	197	0	49	9	65	52	10	654	1	0	55	21	0	42	0	0	86	0	114	227	8	67	508	53	34	63	216	20	22	16	10	13	51	0	0	7	349
Proteus（变形杆菌属）	870	622	964	273	322	0	260	670	1463	1537	1211	0	186	600	1028	1683	1068	748	537	0	435	1257	467	1385	1049	740	435	502	728	71	0	334	1230	5	464	103	122	566	248	791	488	942	2	2138	417	9	410	525	24	1723	0	1068	1645	14	666	934	6	344	735	3453	620	0	0	917	3944	530	850	1747	443	1138	1521	1178	604	274	509	387	448	995	606	913	909	1380	1049	237
Shigella（志贺菌属）	9	8	41	257	1	25	9	12	323	1557	2	0	538	86	123	19	10	6	154	0	98	23	54	29	228	14	123	30	15	3	1	13	243	0	9	23	54	16	4	7	5	9	1	0	142	0	76	9	0	1	0	20	74	8	853	6	35	6	5	28	88	0	11	8	238	915	34	3	14	439	8	74	7	178	5	0	0	36	12	57	27	39	3	84
Streptococcus（链球菌属）	41005	18921	31609	14467	20120	28857	21714	4615	35226	3679	46148	4976	10023	19581	12969	15054	15474	65590	43034	4444	33144	4587	23849	16476	9891	13348	7466	11882	14288	14407	2096	42213	13583	53991	16464	8540	15674	3535	2224	3654	18342	5412	40338	4256	4603	817	14051	6492	1592	10100	16121	8876	31177	12852	5536	4925	7874	5537	6094	5725	16028	20887	11379	3512	14500	11650	78167	7324	95856	9942	12949	6948	22817	12662	9888	7571	8755	6919	10896	4553	10501	13386	7615	113313
Faecalibacterium（普拉梭菌）	13157	12203	1928	4181	7628	89	14311	2900	5488	182	1662	2	14149	238	5784	2	466	372	830	2	4909	949	4445	2584	1037	2107	6626	2866	3228	5910	5970	2732	1907	347	2464	108	3216	1370	68	12727	1776	452	1	30	2990	63	5612	3668	3	267	1180	4741	388	314	1521	1429	38	1268	1349	313	2375	1	288	5443	1746	3617	6127	1689	1798	859	1176	3102	4716	2362	1633	3245	839	2015	737	3048	1277	1314	2775	2884
Akkermansia（嗜粘蛋白阿克曼菌属）	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	16	0	0	4644	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	4	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0
Roseburia（罗氏菌属）	557	35	2199	1	44	20	4	17	304	153	41	0	98	5	63	0	41	11	30	0	47	18	2	99	155	11	66	391	367	178	15	196	37	96	24	109	1018	29	0	136	747	25	0	0	4	10	144	28	2	53	44	26	44	342	65	9	1	48	29	150	528	0	0	44	23	654	21	11	384	23	6	209	4	56	52	80	6	1	11	21	377	55	192	196
Bifidobacterium（双歧杆菌属）	1727	60	32	98	14	266	25	606	0	22	0	0	4	0	1110	558	23469	522	30	0	519	333	2	869	452	17	13	37	4	5750	0	7	0	0	0	44	72	564	87	679	86	3	0	8482	26	4597	154	249	3469	10	75	310	20	82	701	105548	0	1278	3552	1881	63	0	0	21	2120	1602	1838	37	42	116	230	239	15	1522	7532	0	284	254	851	44	228	0	689	64
Erysipelatoclostridium(丹毒丝菌属)	0	0	0	0	0	0	35	0	1	0	0	7	0	7	0	0	18	0	0	0	0	0	2	0	0	0	0	0	0	0	48	0	0	15	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	4	2	0	0	14	0	0	0	0	0	26	0	200	8	0	0	0	0	0	0	2	6	0	0	1	0	12	0	0	0	2	0	10	4	0
Enterococcus（肠球菌属）	18096	37347	7825	8493	8381	23628	76049	6152	22460	12960	9520	7241	7766	8608	11580	14296	23301	4579	5342	109368	37143	10690	14763	85157	16384	17464	9493	8142	9233	12775	20123	6567	3003	15221	8840	16103	3160	10317	3159	9574	8844	10983	8864	5669	6829	390	6287	12054	124	7695	12650	17760	13533	11588	6913	8450	18015	13820	18534	30316	7864	33693	7870	15434	14523	11436	11066	20163	9170	17717	21588	21980	15543	17536	13928	8006	14804	11845	15957	17186	9759	45355	11175	107320
Escherichia（埃希氏菌属）	14	534	91	28	599	895	42	33	2	108	235	237	0	25	17	12	17	24	1416	2	6243	12	0	11	168	15	25	2153	8	29	8992	62	5225	1909	24	12938	3071	5288	248	22	166	17	3802	17	91	60	0	14	3	776	28	0	21	377	36	31	3100	355	20	488	40	4431	3289	422	373	604	7	23	5	504	346	151	108	7	274	141	49	28	6037	2596	623	30	194	121
Bacteroides（拟杆菌属）	36412	24738	28366	51222	148985	16497	14914	21155	30570	8503	26137	24707	13599	15306	6823	854	4979	14222	29724	328	8435	13926	16824	8820	21161	48465	36259	132736	20047	74568	45386	30325	14850	894	27008	5267	19627	27810	28879	37624	27313	16974	499	1517	14963	178	32174	59900	93	16978	212192	17590	6189	4015	5231	2845	37348	17773	22172	9452	17313	38725	6748	14220	3229	14358	20361	4583	11450	9492	9703	10581	9043	34658	23216	42245	13642	6411	5934	3569	1637	4217	5362	11191
Lactobacillus（乳杆菌属）	16889	12654	4878	3228	1061	105409	17124	3516	9951	2785	1982	16127	12751	1077	56543	2107	7763	18846	6131	60866	9828	19385	30274	11675	24515	12807	8078	2092	9760	12369	4781	4821	3475	13050	12085	109658	19181	16063	13530	4577	3828	10664	2668	7410	19770	95347	7610	1836	64954	3389	20310	12769	15244	1324	17304	12898	5465	8767	5743	11299	5365	534	8512	2986	1803	7372	4865	9018	9034	7516	9436	5055	3023	10429	7918	3751	8488	3086	7727	3957	13527	899	9587	5381
Prevotella（普雷沃氏菌属）	0	0	239	0	0	0	0	3	0	2	0	0	113	0	291	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	11	223	0	0	102	0	326	0	0	0	0	0	311	0	0	0	13	0	0	2	0	0	0	0	336	0	0	0	4582	594	2	12835	16320	0	0	0
Ruminococcus（瘤胃球菌属）	1474	33	189	62	496	228	119	420	294	247	62	3114	521	132	39	463	6	5	113	34	442	15	595	22610	480	839	238	52	291	146	662	1589	33	310	965	1236	648	603	0	236	450	1139	0	6	114	9	3408	756	13	146	186	57	33	358	1029	133	691	2484	13	426	938	3585	2994	189	514	118	53	395	140	24	497	207	2125	51	1231	2103	1436	21	1197	23	2843	244	99	318
