ID,MI35,MI33,MI32,MI38,MI36,MI34,MI37,MI27,MI28,MI29,MI31,MI17,MI21,MI20,MI24,MI23,MI26,MI19,MI18,MI15,MI25,MI22,MI14,MI16,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47
CON10__92125,2,5,1137,2,1,10,13,0,5,5,20,2,1,2,1,7,18,0,16,2,3,6,627,10,7,6,32,79,92,8,4,162,7,13,60,0,4,5,2,3,7,9,0,1,7,1,478,11,0,1,7,8,3,7,6,17,3,69,13,14,6,0,0,4,9,11,22,10,157,9,7,8,10,33,2,6,2,9,13,7,1,0,3,3
CON13__106090,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,6,2,11,0,0,0,0,1739,0,0,0,0,0,0,0,0,0,0,0,4,35,2,0,1,0,0,0,4,27,52,0,0,0,0,2,0,0,2,0,0,0,0
CON13__125096,0,12,0,0,67,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,1,0,0,8,0,0,2,25,0,0,0,0,2073,0,0,0,0,0,0,0,0,0,0,0,46,51,7,19,14,0,1,2,9,51,26,0,0,4,5,0,0,78,9,24,0,0,0
CON13__134529,0,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,56,26,0,0,0,0,0,0,0,0,0,0,11,75,18,0,0,0,0,0,0,0,0,40,2,4,0,8,0,0,532,0,0,0,0,121,0,0,0,0,0,0,0,86,2,8,26,4,206,0,8,45,48,0,20,4,0,0,0,563,0,0,0,48,0
CON13__23397,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,499,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
CON13__38366,0,15,8,2,7,9,0,0,0,2,0,0,0,0,0,0,0,0,0,29,0,0,0,22,0,0,0,0,61,0,0,18,14,0,0,0,3,0,0,0,5,0,2,5,0,1,0,0,0,1011,0,2,7,1,5,3,4,5,461,0,0,15,92,1,20,17,10,7,0,40,47,25,0,4,0,0,0,2,94,2,199,0,8,0
CON13__42474,0,65,1,24,14,12,0,0,0,0,0,0,0,0,7,31,0,0,0,89,6,0,0,30,0,0,0,0,51,0,0,0,61,2,0,0,4,7,2,0,2,0,9,4,7,0,2,0,0,816,2,0,15,4,31,14,4,8,455,2,2,25,144,6,25,55,8,169,7,83,84,24,0,32,0,0,0,7,366,0,79,0,75,0
CON13__4329,0,100,17,60,153,88,0,0,0,0,0,0,0,0,0,7,0,0,0,281,23,0,0,20,0,0,0,0,260,0,0,4,88,16,2,0,8,7,0,0,54,0,32,19,26,2,0,0,0,1709,0,0,80,7,56,37,29,2,1030,5,0,123,245,2,41,67,71,41,2,78,163,319,1,73,8,0,0,34,3166,11,370,0,147,0
CON13__49865,0,23,1,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,82,5,0,1,0,0,0,0,36,0,2,3,1,1,2,0,0,867,0,0,1,9,0,1,0,0,0,0,0,78,58,4,28,33,0,0,0,37,8,38,0,0,0,0,0,0,0,0,2,0,0,0
CON13__68260,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,0,0,0,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,8,7,0,0,2,0,1523,2,0,0,0,0,0,6,19,0,0,0,11,157,2,30,71,0,44,11,84,34,10,0,0,0,0,0,0,0,0,0,0,0,0
CON13__83545,0,32,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,8,0,0,0,0,265,0,0,3,0,1,19,0,0,0,0,0,15,13,1,0,2,0,0,0,8,12,15,0,0,0,0,0,9,2,0,2,0,5,0
CON13__96551,0,10,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,527,0,0,0,0,0,1,6,0,0,0,0,3,35,2,6,7,2,0,0,6,16,8,0,0,0,0,0,0,2,0,2,0,3,0
