feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
CON35__43183	Group	MI	-2.83726212073425	0.574085079761238	84	32	4.02580232426842e-06	0.00269219737124688
CON43__13370	Group	MI	-2.03589294727853	0.442664978542676	84	28	1.5251514493753e-05	0.00269219737124688
HF22__28345	Group	MI	-2.65169518855103	0.581949970953416	84	28	1.79342246111107e-05	0.00269219737124688
HF22__9251	Group	MI	-3.46673528682124	0.750297203131058	84	57	1.40601490857362e-05	0.00269219737124688
HF22__9393	Group	MI	-2.49971706076506	0.548797552385304	84	33	1.80482505334986e-05	0.00269219737124688
HF24__30087	Group	MI	-3.32079436606734	0.701962224883179	84	39	9.20284367292817e-06	0.00269219737124688
CON26__17032	Group	MI	-2.48275234756771	0.553994557054906	84	29	2.38104511810582e-05	0.0029315571413069
HF22__27217	Group	MI	-2.50403001923444	0.561940309457577	84	29	2.62038627155924e-05	0.0029315571413069
CON35__22276	Group	MI	-2.2676884562772	0.539936045550985	84	28	6.74469562698362e-05	0.00606271099020263
HF7__1727	Group	MI	-2.60637665787841	0.620753970918539	84	22	6.77397876000294e-05	0.00606271099020263
CON34__10987	Group	MI	-2.23955616161447	0.543896028709802	84	20	9.07903638948035e-05	0.00707969993669432
CON34__8025	Group	MI	-2.15079672021745	0.523918660815085	84	31	9.49233511065161e-05	0.00707969993669432
HF10__3047	Group	MI	-2.10082270891255	0.518740907387774	84	43	0.000115673906346612	0.00796370355232443
CON35__16446	Group	MI	-2.08981782286916	0.550784349338773	84	24	0.000282360822501431	0.0180509240099129
CON24__67436	Group	MI	-1.60099404725575	0.431129945784104	84	25	0.000371670018906308	0.0221763111280764
CON24__18379	Group	MI	-1.78139378524873	0.488903187781431	84	24	0.00046998681602851	0.0253979355469894
CON25__12111	Group	MI	-2.4336599268156	0.671895983595456	84	22	0.000505055638839134	0.0253979355469894
CON47__55906	Group	MI	-2.41707643360415	0.667943734340637	84	21	0.000510796469101462	0.0253979355469894
MI19__1736	Group	MI	1.38478217307719	0.387115567625742	84	26	0.000586156249909405	0.0276110444036272
CON19__13253	Group	MI	-1.53995644998237	0.440078863956358	84	25	0.000756921672277176	0.0330870915292785
CON27__77841	Group	MI	-1.97914187707029	0.566846584212156	84	29	0.000776345164374132	0.0330870915292785
CON43__20630	Group	MI	-2.07808007864637	0.60558069442715	84	26	0.000942621621315891	0.0375216737398106
CON44__73331	Group	MI	-2.4698294663779	0.721223118251641	84	32	0.000964244129626418	0.0375216737398106
CON35__38542	Group	MI	-1.32436847261068	0.389972137916037	84	24	0.00105634206017498	0.0393927559940252
CON13__42474	Group	MI	-2.20294745233635	0.664983289682203	84	48	0.00137592648423825	0.0492581681357295
CON43__53367	Group	MI	-1.82822712006827	0.555825683224643	84	23	0.00148172124534444	0.0510054044070491
MI36__51170	Group	MI	2.19602252296921	0.677101368771994	84	62	0.00171013866060154	0.0566879296754955
HF15__98070	Group	MI	2.09362840278498	0.650964087149909	84	39	0.00185978643221057	0.0594467448867306
CON31__67138	Group	MI	-2.06585452600687	0.651454110921781	84	37	0.00213625790196548	0.0659293386985899
MI15__11243	Group	MI	-2.17987197348252	0.690325441654747	84	50	0.00222560521864385	0.0663972223562083
CON31__53650	Group	MI	-1.24719299013415	0.398728202069397	84	20	0.00243710883071147	0.070361690435057
HF32__8300	Group	MI	-2.25797256338794	0.724477386681563	84	42	0.00252155982085231	0.0705248762394631
CON20__40587	Group	MI	-1.46195791494237	0.473044390311502	84	22	0.00272886320195691	0.0740100777500435
CON13__4329	Group	MI	-2.25027886747634	0.733275871496645	84	49	0.00291297015584137	0.0766796555728832
CON13__125096	Group	MI	-1.6387424202248	0.540784054124207	84	27	0.00326776533450553	0.0809684939673914
CON43__25730	Group	MI	-1.43354308481904	0.474729302508286	84	16	0.0033722993556842	0.0809684939673914
HF18__52113	Group	MI	-2.33356635930677	0.776303063912731	84	52	0.00351204704430014	0.0809684939673914
HF7__53524	Group	MI	-1.74420135042099	0.580540462779156	84	28	0.00352823604997571	0.0809684939673914
MI8__156484	Group	MI	1.98571227819033	0.656634856346885	84	64	0.00332886660231613	0.0809684939673914
HF38__2841	Group	MI	-1.42979427306397	0.480470263389827	84	25	0.00383881637003275	0.0858935162794827
MI5__13031	Group	MI	-3.11778852564187	1.05248624500676	84	47	0.00399409226428357	0.0871881116227756
HF38__3783	Group	MI	-0.99875729202608	0.33887000198587	84	20	0.00417311502914167	0.0889270940733761
CON43__49144	Group	MI	-1.37004569618667	0.471006198179253	84	21	0.00466810261122804	0.0971616706290488
CON18__42913	Group	MI	-2.89340436069371	1.00551167421963	84	44	0.00510799920978359	0.0993838976686156
CON34__40685	Group	MI	-1.65518623959396	0.574066168042403	84	31	0.00502460542157613	0.0993838976686156
HF30__18734	Group	MI	-2.28881084364812	0.79538368852684	84	73	0.00510690902426262	0.0993838976686156
CON13__83545	Group	MI	-1.25206077898518	0.441123415035384	84	21	0.00571429667337839	0.104373378013748
CON30__115695	Group	MI	-1.62892602460386	0.573457049287732	84	24	0.00567873042024791	0.104373378013748
MI10__17656	Group	MI	1.60654540925636	0.563331012870524	84	39	0.00549805541985845	0.104373378013748
CON22__29078	Group	MI	-2.45627761264745	0.8767059805741	84	44	0.00633998384784864	0.113485710876491
