feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
CON35__43183	Group	MI	-2.83726212073425	0.574085079761238	84	32	4.02580232426842e-06	0.00269219737124688
CON43__13370	Group	MI	-2.03589294727853	0.442664978542676	84	28	1.5251514493753e-05	0.00269219737124688
HF22__28345	Group	MI	-2.65169518855103	0.581949970953416	84	28	1.79342246111107e-05	0.00269219737124688
HF22__9251	Group	MI	-3.46673528682124	0.750297203131058	84	57	1.40601490857362e-05	0.00269219737124688
HF22__9393	Group	MI	-2.49971706076506	0.548797552385304	84	33	1.80482505334986e-05	0.00269219737124688
HF24__30087	Group	MI	-3.32079436606734	0.701962224883179	84	39	9.20284367292817e-06	0.00269219737124688
CON26__17032	Group	MI	-2.48275234756771	0.553994557054906	84	29	2.38104511810582e-05	0.0029315571413069
HF22__27217	Group	MI	-2.50403001923444	0.561940309457577	84	29	2.62038627155924e-05	0.0029315571413069
CON35__22276	Group	MI	-2.2676884562772	0.539936045550985	84	28	6.74469562698362e-05	0.00606271099020263
HF7__1727	Group	MI	-2.60637665787841	0.620753970918539	84	22	6.77397876000294e-05	0.00606271099020263
CON34__10987	Group	MI	-2.23955616161447	0.543896028709802	84	20	9.07903638948035e-05	0.00707969993669432
CON34__8025	Group	MI	-2.15079672021745	0.523918660815085	84	31	9.49233511065161e-05	0.00707969993669432
HF10__3047	Group	MI	-2.10082270891255	0.518740907387774	84	43	0.000115673906346612	0.00796370355232443
CON35__16446	Group	MI	-2.08981782286916	0.550784349338773	84	24	0.000282360822501431	0.0180509240099129
CON24__67436	Group	MI	-1.60099404725575	0.431129945784104	84	25	0.000371670018906308	0.0221763111280764
CON24__18379	Group	MI	-1.78139378524873	0.488903187781431	84	24	0.00046998681602851	0.0253979355469894
CON25__12111	Group	MI	-2.4336599268156	0.671895983595456	84	22	0.000505055638839134	0.0253979355469894
CON47__55906	Group	MI	-2.41707643360415	0.667943734340637	84	21	0.000510796469101462	0.0253979355469894
MI19__1736	Group	MI	1.38478217307719	0.387115567625742	84	26	0.000586156249909405	0.0276110444036272
CON19__13253	Group	MI	-1.53995644998237	0.440078863956358	84	25	0.000756921672277176	0.0330870915292785
CON27__77841	Group	MI	-1.97914187707029	0.566846584212156	84	29	0.000776345164374132	0.0330870915292785
CON43__20630	Group	MI	-2.07808007864637	0.60558069442715	84	26	0.000942621621315891	0.0375216737398106
CON44__73331	Group	MI	-2.4698294663779	0.721223118251641	84	32	0.000964244129626418	0.0375216737398106
CON35__38542	Group	MI	-1.32436847261068	0.389972137916037	84	24	0.00105634206017498	0.0393927559940252
CON13__42474	Group	MI	-2.20294745233635	0.664983289682203	84	48	0.00137592648423825	0.0492581681357295
