feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
双歧杆菌目 (Bifidobacteriales)	Group	MI	-2.62288105413783	1.029545725566	84	69	0.0127136137725571	0.139849751498128
乳酸菌目 (Lachnospirales)	Group	MI	-0.540712378679986	0.294866076585928	84	84	0.0703182707787649	0.386750489283207
衣原体目 (Chlamydiales)	Group	MI	-0.0715210088162063	0.0600736246102439	84	84	0.237263155877172	0.598469651456738
拟杆菌目 (Bacteroidales)	Group	MI	0.369889897118045	0.417784898879452	84	84	0.37855160104135	0.598469651456738
梭菌目 (Clostridiales)	Group	MI	-0.171771590750486	0.194953493186197	84	84	0.380844323654288	0.598469651456738
振荡螺旋菌目 (Oscillospirales)	Group	MI	0.538412732835414	0.594248537713619	84	84	0.367569514752739	0.598469651456738
硒单胞菌目 (Selenomonadales)	Group	MI	1.00372417187224	0.954660023669213	84	50	0.29616610170889	0.598469651456738
乳杆菌目 (Lactobacillales)	Group	MI	0.111133596306422	0.178579246945812	84	84	0.535457581073966	0.721159052617408
肠杆菌目 (Enterobacterales)	Group	MI	0.0557029480156502	0.102980953388111	84	84	0.590039224868788	0.721159052617408
支原体目 (Mycoplasmatales)	Group	MI	0.0695700312120215	0.271285685066606	84	84	0.798249048116737	0.799326491012305
丙酸杆菌目 (Propionibacteriales)	Group	MI	-0.190384028959836	0.746470623151282	84	83	0.799326491012305	0.799326491012305
