feature	衣原体目..Chlamydiales.	乳杆菌目..Lactobacillales.	肠杆菌目..Enterobacterales.	拟杆菌目..Bacteroidales.	支原体目..Mycoplasmatales.	梭菌目..Clostridiales.	乳酸菌目..Lachnospirales.	振荡螺旋菌目..Oscillospirales.	丙酸杆菌目..Propionibacteriales.	双歧杆菌目..Bifidobacteriales.	硒单胞菌目..Selenomonadales.
MI35	0.61059161330938	0.0810058296354303	0.166970346826628	0.0377177582944776	0.0565391039387999	0.029652320338211	0.000771995912260319	0.0125182762568179	0.00255569033495239	0.00147318998947356	0.0002038751635693
MI33	0.578020482106869	0.0866578574183261	0.170496432979795	0.0415009895292452	0.074239476957932	0.0293751760539967	0.000737462235284304	0.0148870655168704	0.00401131097815298	7.25372690443577e-05	1.20895448407263e-06
MI32	0.46849616189259	0.0726904444032681	0.292131681846473	0.0654845897651525	0.0455742591035283	0.0456914532229175	0.00573617703280327	0.00342396873134198	0.000391174966069135	5.06785381142199e-05	0.000329410497742429
MI38	0.46518156077449	0.0669369812810379	0.180071932278392	0.165702533712164	0.052886794383824	0.0466609484729011	0.00145229125749904	0.0195840014035567	0.00125491610337585	0.000238799569186083	2.92407635738061e-05
MI36	0.41742954619234	0.0377770836013059	0.211995369434593	0.249288571201068	0.0485903113381477	0.0233978304943557	0.00129606830696484	0.00999369116088765	0.000197227785842475	1.71502422471717e-05	1.71502422471717e-05
MI34	0.414669582288674	0.214532508557009	0.248046901298834	0.029667441353179	0.0455642240253357	0.0455682635262689	0.00130341230108824	0.000258528059719982	5.38600124416629e-06	0.000358169082737058	2.55835059097899e-05
MI37	0.558388504750059	0.138391539626041	0.159937964267322	0.0293128395566213	0.0512165192840082	0.0396134954004901	0.00332761008295726	0.0174947457216015	0.0022773518197905	2.98708265974619e-05	9.55866451118782e-06
MI27	0.516000511927351	0.0303873398140368	0.178352892296792	0.18140590830936	0.0420503803286351	0.0399618651219815	0.00195496894121924	0.00637683417448932	0.00238528468539653	0.00112401440073896	0
MI28	0.529294956252893	0.0740810175051267	0.244397291177475	0.038156442251096	0.0686107963293067	0.0363560765223511	0.00208524035249045	0.00604311242283773	0.000975067186423211	0	0
MI29	0.560175593305748	0.0465496690667003	0.168714932214394	0.0244667758471989	0.144395453179964	0.0457337222486021	0.00588799627881736	0.000817884934055605	0.0030118321979204	4.26385510645102e-05	0.000203502175535162
