feature	衣原体目..Chlamydiales.	乳杆菌目..Lactobacillales.	肠杆菌目..Enterobacterales.	拟杆菌目..Bacteroidales.	支原体目..Mycoplasmatales.	梭菌目..Clostridiales.	乳酸菌目..Lachnospirales.	振荡螺旋菌目..Oscillospirales.	丙酸杆菌目..Propionibacteriales.	双歧杆菌目..Bifidobacteriales.	硒单胞菌目..Selenomonadales.
MI35	-0.71172032113052	-3.62583045358624	-2.58233618550993	-4.72861225590237	-4.14460717100772	-5.07571118755145	-10.339119171146	-6.31982027023176	-8.61207124465778	-9.40684078558761	-12.2600263451358
MI33	-0.790807479478951	-3.52852562279532	-2.55218653848948	-4.5907104539919	-3.75166964354491	-5.08925869157907	-10.40514320729	-6.0697967865252	-7.96171046878442	-13.7509180441318	-19.6578086397403
MI32	-1.09389086608766	-3.78209046411805	-1.77530926714063	-3.93270074701937	-4.45563698707814	-4.45193186138561	-7.44569473474952	-8.19011475796504	-11.319898334115	-14.2682655656997	-11.5678258475586
MI38	-1.10413418360167	-3.901052699836	-2.47335476827079	-2.5933324323037	-4.24094865751735	-4.42164055662228	-9.42745346933705	-5.67418062323568	-9.63819336772864	-12.031912145684	-15.0616594890781
MI36	-1.260395374992	-4.72634486010609	-2.237895342206	-2.00411135184734	-4.36318751334828	-5.41748142407448	-9.59164252977093	-6.64476665009243	-12.3078495637703	-15.8314115198274	-15.8314115198274
MI34	-1.26996587134921	-2.22073181601857	-2.01131516026805	-5.07497568177199	-4.45595469167679	-4.4558267950699	-9.5834907689474	-11.9173915055008	-17.502354006222	-11.4470715707208	-15.2544264927784
MI37	-0.840658853036766	-2.8531723463682	-2.64441566476681	-5.09232346003357	-4.28724698022733	-4.65786418294107	-8.2312978909488	-5.8369344939795	-8.77842709926625	-15.0309033134015	-16.6747595031762
MI27	-0.954555597931306	-5.04038580662492	-2.48719348312859	-2.46270665032301	-4.57173734064378	-4.64523227082259	-8.99863859718312	-7.29294391934228	-8.71162282149239	-9.79712376534739	-22.5775482276778
MI28	-0.917856188550335	-3.75475227557831	-2.0326998000191	-4.71192953064264	-3.86542057860679	-4.78165967470818	-8.90557060105876	-7.37049250324641	-10.0022107492205	-21.5775482276778	-22.5775482276778
MI29	-0.836048967925902	-4.42508527843593	-2.56734042903719	-5.35303218953117	-2.79190278048773	-4.45059784550281	-7.40800752504254	-10.2558144908374	-8.37514289113691	-14.5174820609073	-12.2626681618785
MI31	-0.917793486148978	-3.82245440882744	-2.15996361460432	-4.79834329065915	-3.52041403207403	-4.38969054350007	-9.29038692352833	-8.9603357650187	-9.08586664710256	-21.5775482276778	-22.5775482276778
MI17	-0.435216818148698	-4.48414871603722	-3.15138731345891	-4.5076958096386	-6.0479565360728	-4.75623992918565	-7.28974468849024	-16.3725590261625	-17.7875965254414	-21.5775482276778	-10.4716922181818
MI21	-0.728392642046695	-4.88262418588183	-2.79452607006534	-6.09951696858651	-2.79354867868315	-4.54138226770925	-8.90565500403845	-6.38972545229238	-8.57767296591116	-18.3102644018762	-19.3102644018762
MI20	-0.579970994761686	-4.02568541712394	-2.90539301145483	-4.63667968779015	-4.00991363050436	-5.16641905794078	-10.1045819181378	-10.5083362845763	-7.81451372248466	-21.5775482276778	-22.5775482276778
MI24	-0.840636728619495	-2.70893167728648	-2.65102525120368	-7.02572533520153	-3.65369134018807	-5.07957262179968	-10.5537655346903	-7.81349338646849	-7.18965658044939	-10.309326811112	-22.5775482276778
MI23	-0.770295195039362	-4.20625022361479	-2.35800706527635	-8.24697664697201	-3.02019074832462	-4.92347582060242	-8.3023876128713	-10.9257639971977	-11.4305561492349	-10.1008507037558	-17.224972015585
MI26	-0.907139926645671	-3.9068544366695	-2.3940021967752	-4.94453799499728	-3.39513298850825	-4.43780375501213	-8.63714617130303	-10.6493208852491	-8.91266097919529	-5.01349518426038	-22.5775482276778
MI19	-1.09221517662585	-2.36244170431842	-2.48378769424239	-4.77251877733159	-3.5872109154845	-4.8765633627579	-9.19291077929592	-10.2299049867781	-12.5706921089168	-9.7907136257905	-14.1181799042193
MI18	-0.86125467194896	-4.07023159513152	-2.63863039353159	-4.84697973417948	-2.86466186326097	-4.25291758935932	-9.15924135840728	-9.17470622060902	-9.46366739543801	-15.0516323843207	-22.5775482276778
MI15	-1.0457084294249	-2.35823218022211	-1.67655544841167	-11.1424302213275	-7.55142374427233	-9.09330865352036	-13.4900231996082	-14.6055004170281	-18.1904629177493	-21.5775482276778	-22.5775482276778
MI25	-1.13485812765848	-3.49714067102733	-2.66321167266742	-6.62156960625029	-2.05735426595973	-4.75611172962912	-9.90881656239288	-7.46676702198381	-8.14235047144814	-10.8578926272302	-22.5775482276778
MI22	-0.616418196171635	-4.31702097073302	-2.64754073213779	-5.34139198983351	-3.69340852370705	-5.02012259536435	-9.99523934586925	-9.51178746088406	-8.71943329685132	-11.1295885747504	-22.5775482276778
MI14	-2.10752493010268	-4.94812045370261	-3.58563892192177	-6.7026629092477	-0.718137804366516	-5.2784296648814	-8.64533347570944	-9.2829274787862	-7.66840518033793	-20.5775482276778	-21.5775482276778
MI16	-1.1708210626957	-3.39121151517271	-3.21917833047648	-6.71721323206047	-1.86521985729925	-4.52115217859881	-8.63598403924624	-5.60088303869431	-9.20357701832354	-10.4689614285763	-13.5739623126389
MI1	-0.935763349094783	-3.50884390867469	-2.37340709643397	-4.18437994499355	-3.65147712948119	-4.58806259774388	-8.09448548450412	-8.39911879378657	-6.27651097966413	-10.442351790313	-22.5775482276778
MI2	-0.710031260059215	-4.3527240022052	-2.56175751664443	-3.74523202988757	-4.53716502972587	-4.41850470977836	-9.34727587758463	-8.47919699793318	-9.28302974320359	-15.9260370391375	-15.8435748789455
MI3	-0.389479931985506	-5.47025608798096	-3.39358442703171	-4.7398788853774	-4.18203511110191	-5.70610590424675	-10.112015917308	-7.54251474241339	-10.0653941635474	-16.5877493482744	-19.2881890664155
MI4	-1.08232048954598	-4.96513889799339	-2.50259413015946	-2.00317427416685	-5.01814661420011	-4.94287273473451	-9.05953703548791	-7.9662612782521	-11.749368654063	-14.2541608061002	-12.1416860768418
MI5	-0.916560724268625	-4.19999924944236	-2.03611977742868	-5.20371002322662	-3.57317791679661	-4.78421192011178	-7.75129762918938	-7.73586392040752	-6.04218415566306	-17.7819647654363	-14.3896473426576
MI6	-0.945551223387133	-4.41032840149255	-2.08820086618133	-2.97138197812939	-6.65429897475156	-4.68723436248502	-7.50977249183358	-7.13568227703013	-8.36192702386219	-7.22683016508833	-17.3942483109201
MI7	-1.17273334897342	-4.88567373010761	-2.83368589489335	-3.77690940816149	-1.78832444937293	-6.43635405891292	-9.95071278431889	-7.09776862007195	-19.666674774574	-21.5775482276778	-22.5775482276778
MI8	-0.865597303791222	-3.80911117714686	-2.36463407002704	-3.69729474001263	-4.09849016033503	-4.56904227111474	-9.40314862043364	-7.60740031802402	-9.42763130563299	-16.8811959172383	-16.3666227444085
MI9	-0.856017358204418	-5.0861262932026	-2.67189541717976	-5.26418754356852	-2.23742738795202	-5.74607367229472	-8.94103856272505	-9.03414796711653	-10.979650011995	-21.5775482276778	-16.5058231815086
MI10	-0.702910805124435	-2.72844994901391	-2.57137330529368	-9.44009575214116	-6.12690834731447	-4.38057283671653	-10.489339271161	-10.8054349207462	-9.45959192776695	-21.5775482276778	-13.221858960296
MI11	-1.18426783869409	-4.2378787276147	-2.82985479676001	-4.63851638330664	-1.9485932419148	-4.12044767095685	-8.84206193958389	-7.983749498492	-8.44563051507062	-21.5775482276778	-10.7086649209044
MI12	-1.31660496063766	-2.45301434429129	-3.12511053780675	-5.8757644593489	-1.99264697293753	-5.12968483750836	-8.64687006964723	-9.315749833425	-11.822150789689	-14.2635859790324	-16.1380550969486
MI13	-0.880815734436173	-3.07414225870983	-2.40522029688141	-4.60643326249869	-3.82728362950761	-5.14983372223648	-8.32882979705357	-7.47596370381272	-10.3433161309536	-13.2635035491756	-12.6520688370933
CON1	-0.902723992371756	-4.01429424443849	-2.46981423267645	-3.91797408865457	-3.54717311538269	-4.58035799134322	-9.36909578370663	-8.23401253147661	-5.4144957246175	-10.0781673717372	-15.6327562234148
CON2	-0.430218593774582	-4.55743945724974	-3.91984806667276	-3.70037158336495	-4.38013542153715	-5.61190968021558	-8.62361980808647	-11.3864695616349	-10.2557658699903	-12.3864695616349	-22.5775482276778
CON3	-0.908927601601482	-4.91374938446779	-2.41547940447263	-3.5623207928019	-3.43959414226113	-4.53543505710399	-8.52019836174992	-5.61731395917867	-8.52678978402508	-9.89018591269711	-22.5775482276778
CON4	-1.02758034168882	-4.09217024356489	-2.54138976011123	-3.66869197252351	-2.8456015539666	-4.212857489892	-8.55115207418891	-8.03244741799772	-10.3816268773885	-12.7723457459417	-22.5775482276778
CON5	-1.12606350219536	-4.49429701745938	-2.76853934456	-4.62005890446597	-1.94488347331967	-4.87217864730584	-9.91888578456344	-8.50275740051361	-7.10903862255824	-17.70242974535	-7.60703272255742
CON6	-1.25588992056186	-3.88907873700744	-2.73828425679471	-10.2150118271616	-1.85828308220703	-3.5370436471427	-12.0638940943095	-19.5637399813927	-19.5637399813927	-21.5775482276778	-10.154349045255
CON7	-0.209762216296957	-4.92451921630588	-4.14641512678247	-8.04450041240218	-5.68465119201066	-8.1251436848462	-8.74827188726001	-14.0138869337445	-13.1069963381359	-5.96369816614803	-10.7284847148822
