feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	log2FC	Trend	MicrobeClass
CON35__43183	Group	MI	-2.97430022426439	0.585170518389221	84	32	2.30209188559498e-06	0.00241949857176032	-2.97430022426439	Down	virus
CON26__17032	Group	MI	-2.56506569985637	0.580002763877841	84	29	2.9707995105511e-05	0.00635788714474808	-2.56506569985637	Down	virus
HF22__27217	Group	MI	-2.25693828925016	0.510886325692188	84	29	3.02468465497054e-05	0.00635788714474808	-2.25693828925016	Down	virus
HF22__28345	Group	MI	-2.36359290781123	0.533713738245135	84	28	2.9041606929073e-05	0.00635788714474808	-2.36359290781123	Down	virus
HF22__9393	Group	MI	-3.03318116056365	0.660792062893796	84	33	1.57807850175815e-05	0.00635788714474808	-3.03318116056365	Down	virus
CON35__22276	Group	MI	-2.45193970603703	0.584476803115079	84	28	6.86371095550313e-05	0.0120229336903896	-2.45193970603703	Down	virus
CON34__10987	Group	MI	-2.05320927900495	0.507921323322239	84	20	0.000118788578241672	0.0156058494664996	-2.05320927900495	Down	virus
HF7__1727	Group	MI	-2.47909453518658	0.609538449843216	84	22	0.000108754958861345	0.0156058494664996	-2.47909453518658	Down	virus
CON24__18379	Group	MI	-2.23972117066642	0.576826448327072	84	24	0.000208051209029004	0.0242957578543871	-2.23972117066642	Down	virus
CON35__16446	Group	MI	-1.99055634572616	0.532346097249903	84	24	0.000340647049647278	0.0358020049179289	-1.99055634572616	Down	virus
CON24__67436	Group	MI	-1.62193124697904	0.439797797191238	84	25	0.000405166958636747	0.0360591235262911	-1.62193124697904	Down	virus
MI11__8907	Group	MI	-2.29229377247951	0.622374930499254	84	60	0.000411712162050897	0.0360591235262911	-2.29229377247951	Down	virus
