feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
CON35__43183	Group	MI	-2.97430022426439	0.585170518389221	84	32	2.30209188559498e-06	0.00241949857176032
CON26__17032	Group	MI	-2.56506569985637	0.580002763877841	84	29	2.9707995105511e-05	0.00635788714474808
HF22__27217	Group	MI	-2.25693828925016	0.510886325692188	84	29	3.02468465497054e-05	0.00635788714474808
HF22__28345	Group	MI	-2.36359290781123	0.533713738245135	84	28	2.9041606929073e-05	0.00635788714474808
HF22__9393	Group	MI	-3.03318116056365	0.660792062893796	84	33	1.57807850175815e-05	0.00635788714474808
CON35__22276	Group	MI	-2.45193970603703	0.584476803115079	84	28	6.86371095550313e-05	0.0120229336903896
CON34__10987	Group	MI	-2.05320927900495	0.507921323322239	84	20	0.000118788578241672	0.0156058494664996
HF7__1727	Group	MI	-2.47909453518658	0.609538449843216	84	22	0.000108754958861345	0.0156058494664996
CON24__18379	Group	MI	-2.23972117066642	0.576826448327072	84	24	0.000208051209029004	0.0242957578543871
CON35__16446	Group	MI	-1.99055634572616	0.532346097249903	84	24	0.000340647049647278	0.0358020049179289
CON24__67436	Group	MI	-1.62193124697904	0.439797797191238	84	25	0.000405166958636747	0.0360591235262911
MI11__8907	Group	MI	-2.29229377247951	0.622374930499254	84	60	0.000411712162050897	0.0360591235262911
CON25__12111	Group	MI	-2.25075103450393	0.639184300473364	84	22	0.000704418089110522	0.0531949399628107
CON47__55906	Group	MI	-2.40897258586071	0.68446811420183	84	21	0.000708591017582635	0.0531949399628107
CON27__77841	Group	MI	-2.01298567780731	0.589585009680069	84	29	0.000996556221316232	0.0698253725735573
CON26__22847	Group	MI	-2.22273381944107	0.68212257162572	84	67	0.00163071019968005	0.0974855778360689
HF42__169	Group	MI	-2.39648301114409	0.733785293356588	84	69	0.00159369078044947	0.0974855778360689
MI19__1736	Group	MI	1.69913824175744	0.522652939413829	84	26	0.0016695912474303	0.0974855778360689
CON19__34020	Group	MI	-2.59588146232388	0.816249153335444	84	71	0.00207741498263576	0.10839314676833
CON43__20630	Group	MI	-1.7115724341464	0.540498282805288	84	26	0.00216580026844427	0.10839314676833
CON43__53367	Group	MI	-1.75506159240721	0.548728224078231	84	23	0.00196463472349979	0.10839314676833
MI33__129657	Group	MI	2.86022584547848	0.928671304935566	84	30	0.00281743936759721	0.134596762515667
CON35__41386	Group	MI	-2.11249075912944	0.690226125212595	84	60	0.00298562563661528	0.136430110612289
MI36__51170	Group	MI	2.62875767487068	0.881931228365379	84	62	0.00378434846032716	0.16572292632516
CON15__48694	Group	MI	-2.13108602704093	0.728973032576084	84	70	0.0044740231642942	0.188087933826928
CON28__41275	Group	MI	2.41825702439734	0.834611295031484	84	25	0.00482310730608708	0.194964837642212
CON15__12288	Group	MI	-1.86829807476352	0.653375590403132	84	61	0.00538003530150049	0.194979900064725
CON19__12923	Group	MI	-2.3169229485667	0.805017947309205	84	56	0.00509983149045863	0.194979900064725
HF11__83897	Group	MI	-2.50646569049517	0.873983819379838	84	68	0.005251978141586	0.194979900064725
HF2__12811	Group	MI	1.78847144948545	0.62836706616866	84	25	0.00558742616513375	0.195746163318519
CON43__49144	Group	MI	-1.17952469821925	0.418282142319585	84	21	0.00602144244297058	0.196748885308343
CON43__63843	Group	MI	-2.11844306226392	0.753656600233376	84	61	0.00617765291643703	0.196748885308343
HF19__56756	Group	MI	-1.86990398499727	0.66244003868279	84	55	0.00597335551723069	0.196748885308343
CON13__53861	Group	MI	-1.69647520708045	0.608794121177341	84	35	0.00661562432767227	0.201156476687029
MI10__17656	Group	MI	1.7096426671619	0.614499398919907	84	39	0.00669883604571458	0.201156476687029
MI7__20596	Group	MI	0.663387582624007	0.2439742288455	84	9	0.00798791089086219	0.233202620730449
MI8__44352	Group	MI	1.82734739431805	0.68746009036351	84	61	0.00944502427055233	0.268289743468932
HF22__7545	Group	MI	-1.85061516910638	0.708020300391955	84	70	0.0106515455856365	0.29459932659221
HF15__99032	Group	MI	0.936543997913889	0.360871892914826	84	10	0.0111970298858155	0.301745600256208
CON31__45639	Group	MI	-2.0368756187791	0.806623013427483	84	47	0.0134899115966984	0.354447427203251
