feature	泉古菌门..Crenarchaeota.	衣原体门..Chlamydiae.	厚壁菌门..Firmicutes.	变形菌门..Proteobacteria.	拟杆菌门..Bacteroidota.	放线菌门..Actinobacteria.	蓝藻门..Cyanobacteria.	广古菌门..Euryarchaeota.
MI35	838913	715788	401417	244557	50909	25124	8096	28551
MI33	878213	478116	251765	193002	36698	38813	14794	0
MI32	506447	295823	211456	215961	46159	8068	3981	99
MI38	521163	190904	145773	102130	68937	27985	671	6
MI36	762103	340754	150547	197965	206722	6497	2185	0
MI34	447844	307961	306437	200736	25013	3189	6498	530
MI37	807096	467336	276213	191333	25096	17486	5457	9
MI27	567037	278196	143550	134406	100298	38568	2941	1461
MI28	628387	505374	348567	272113	40549	7620	12183	236
MI29	544925	289031	201504	115018	14357	4962	3766	108
MI31	650932	446115	271342	229137	32275	33387	2435	0
MI17	437715	502005	221384	139726	29914	4680	762	0
MI21	1306071	784749	466066	235949	34933	23495	10373	1729
MI20	354512	343962	159319	85423	21951	10975	4345	176
MI24	1412807	786471	479357	312027	11387	43159	9078	362
MI23	530210	359262	234483	172413	3692	34823	12269	415
MI26	705615	404232	296718	198452	29062	46198	6682	317
MI19	390977	216860	203790	107764	19608	14156	2147	0
MI18	838955	560855	353209	195108	39738	11797	9002	27
MI15	645178	434717	184955	280997	796	297	11	1
MI25	732022	438624	454980	203866	13174	44175	6948	917
MI22	665136	486658	250083	175602	19348	12208	14690	33
MI14	995453	726208	2312223	303849	41637	21840	10087	0
MI16	908319	547065	660724	200504	18674	16638	7818	71
MI1	629445	328781	247956	153627	38352	19242	22110	0
MI2	883786	647028	285164	218318	89022	37432	7864	326
MI3	542253	977481	227197	152318	63763	326382	6254	120
MI4	484286	341445	139638	149459	185109	7534	1626	79
MI5	733026	477587	261449	307587	28851	27054	10224	95
MI6	967979	447220	145178	247051	119234	37475	8406	1004
MI7	1117210	369174	327828	146430	248436	2128	436	0
MI8	685494	463739	272490	223626	79338	14647	5448	61
MI9	1537054	616939	358825	201848	31022	9249	3069	653
MI10	700386	381498	223002	146955	1013	5319	35666	0
MI11	697914	393988	463577	171156	40885	17495	7843	31
MI12	6663518	347442	469582	153839	3460778	11388	3229	4385
MI13	1042879	384497	200649	151655	30093	5164	1166	1
CON1	631729	326109	193350	151882	42903	48197	6800	3525
CON2	589137	345708	77421	74758	36375	7777	4970	32882
CON3	569149	343161	199706	165778	56280	16367	4520	86
CON4	465744	295138	216998	120019	52276	11926	1685	675
CON5	696468	293160	354467	122061	28456	8834	21290	1483
CON6	769234	324498	411545	127325	991	5932	1746	0
CON7	337899	457726	39140	192061	2165	75160	1091	4100
CON8	528314	363576	213077	177261	26842	24300	15019	18
CON9	436736	276396	126903	127469	473	476390	2166	25
CON10	559971	510450	270847	167059	62527	8968	14034	306
CON11	579448	331627	139520	146644	81862	17731	4341	6
CON12	274860	93740	121506	72627	11672	14855	1804	2
CON13	535136	346477	161773	133063	24743	13748	4078	211
CON14	510304	239407	93034	84607	239451	7114	54420	0
CON15	686985	526175	245247	184276	36556	10037	2935	26
CON16	556354	409586	399614	133918	19451	4156	22244	261
CON17	845863	402287	159395	92562	7299	9156	5428	1
CON18	720461	474803	293733	158198	9765	27337	2934	641
CON19	529221	380178	148475	124090	4395	130799	39710	80
CON20	592135	341549	427488	213491	69829	14707	5688	0
CON21	694224	269548	166724	144520	24707	18054	9796	62
CON22	584871	210145	178295	202819	38675	11633	5509	135
CON23	447758	424471	300620	244763	12511	9244	10470	1
CON24	486856	281994	222075	111939	22283	13189	4196	618
CON25	322983	223492	120960	119956	42227	960	64	0
CON26	544477	501271	190000	279170	7581	731	4480	0
CON27	651030	426865	241200	119247	25771	10718	6121	54
CON28	690359	912376	314534	294908	7472	137634	10860	276
CON29	645440	449398	241739	175265	28904	27315	7543	0
CON30	785659	486910	291600	239624	40327	12470	5225	65
CON31	464531	288566	313763	185897	11851	5864	8237	68
CON32	473591	388174	267491	166790	24067	10306	2566	322
CON33	470135	389855	249808	145817	69477	5727	3902	38
CON34	630160	367284	206198	162140	17490	13796	2483	1
CON35	712962	334593	320994	157212	26214	26385	5086	0
CON36	576229	297974	208737	144177	13153	10237	5364	770
CON37	634949	419328	289755	187465	45133	24264	12501	559
CON38	667069	281510	513485	127964	41122	24427	6421	1201
CON39	701133	342966	188018	126660	65525	6204	30144	0
CON40	449000	441534	215333	138643	22851	30776	2457	122
CON41	470027	461753	311741	427594	12005	41863	10554	56
CON42	944242	655948	225089	281819	7653	40845	9106	1055
CON43	685996	339893	167561	124967	19243	14547	5650	2
CON44	421554	286205	176732	240470	19142	7326	5855	147
CON45	577780	414207	290426	257261	9054	6893	22640	0
CON46	514199	364977	211522	173244	9368	18447	4088	224
CON47	502060	505361	330843	105213	16271	7967	3293	0
