feature	泉古菌门..Crenarchaeota.	衣原体门..Chlamydiae.	厚壁菌门..Firmicutes.	变形菌门..Proteobacteria.	拟杆菌门..Bacteroidota.	放线菌门..Actinobacteria.	蓝藻门..Cyanobacteria.	广古菌门..Euryarchaeota.
MI35	-1.46339356635343	-1.6923824116307	-2.52681305308636	-3.24174400938764	-5.5059221368904	-6.52477668961657	-8.1585616689224	-6.3403015871385
MI33	-1.10681246895675	-1.98402267366218	-2.90930562383283	-3.29276756186313	-5.68761001443107	-5.60677150571729	-6.99829927347584	-21.7924153908892
MI32	-1.34664266972101	-2.12231974251995	-2.60669647071253	-2.57628316543001	-4.802370093163	-7.31869907351902	-8.33777928604063	-13.6673378220524
MI38	-1.02094522513874	-2.46983255669442	-2.85895635927924	-3.37227317802911	-3.9393294664664	-5.23995423560895	-10.6221514066918	-17.4273578621708
MI36	-1.12899973556153	-2.29025513760496	-3.46877177077464	-3.07374034414934	-3.01129379702129	-8.0030682146515	-9.57520864010995	-21.7924153908892
MI34	-1.53545336880789	-2.07570198614563	-2.08285914405183	-2.69315027370768	-5.69769964014512	-8.66920173876616	-7.64231009268894	-11.2582415715679
MI37	-1.14916835256089	-1.93744846186905	-2.69612741575206	-3.22582291480005	-6.15637929816488	-6.67763642834292	-8.35765678363584	-17.6016241105662
MI27	-1.1592833127444	-2.18662451250893	-3.14117285841605	-3.23612864625346	-3.6584333508959	-5.03724994900171	-8.7502755945109	-9.75962620059446
MI28	-1.53026735962283	-1.84456925045785	-2.38048470307071	-2.73771481231315	-5.48418245330957	-7.89598588630608	-7.21897935604129	-12.9089181193249
MI29	-1.10689846776649	-2.02173191079736	-2.54214767040277	-3.35109649134327	-6.35312992387862	-7.88589060252365	-8.28377933780185	-13.4077091202526
MI31	-1.35548315117768	-1.90057433288853	-2.61787761623856	-2.86177955315836	-5.68950098979628	-5.64063161994712	-9.4179244079085	-21.7924153908892
MI17	-1.61005711861064	-1.4123472093917	-2.59349798442094	-3.25744844275864	-5.48115620214566	-8.15739660293475	-10.7760422299122	-21.7924153908892
MI21	-1.13247825974842	-1.86740839534928	-2.61910541013183	-3.60116462369014	-6.35697723082746	-6.92921400789027	-8.10873457586636	-10.6935580015365
MI20	-1.4679229840022	-1.51150825793077	-2.62183911712262	-3.52106097608926	-5.4813988767781	-6.48146460170651	-7.81825745931483	-12.4439663023793
MI24	-1.11244174557238	-1.95754066736884	-2.67183373666348	-3.29126336436697	-8.0674746244689	-6.14520089377985	-8.39441593816093	-13.0427288240156
MI23	-1.34572121900012	-1.90724875323298	-2.52280176809252	-2.96641654110707	-8.51173873613281	-5.2741726977684	-6.77919552907783	-11.6649580475443
MI26	-1.25774284982422	-2.0614405464026	-2.50753163129611	-3.08783397803406	-5.85941818448378	-5.19072177885977	-7.98020028703294	-12.3779255242285
MI19	-1.28887314438682	-2.13919291371145	-2.2288736249891	-3.14808157793576	-5.60644259057914	-6.07647131302075	-8.79749088358721	-21.7924153908892
MI18	-1.2595903148112	-1.84055591050505	-2.50766163976555	-3.36391081016251	-5.65959257487093	-7.41169181285688	-7.80179436909974	-16.1829367163218
MI15	-1.26165928262727	-1.83128001272408	-3.06418222509906	-2.46080179940698	-10.924372381226	-12.3466778809688	-17.1015653831323	-20.5609970017696
MI25	-1.37201509128091	-2.11091734533289	-2.05809897007476	-3.21628091062902	-7.16813673847635	-5.42260005893615	-8.0911605345521	-11.0127646496674
MI22	-1.2876153706548	-1.7383564572961	-2.69885773836062	-3.20895545212325	-6.39100838050029	-7.05536595611162	-6.78835842750251	-15.5865110835877
MI14	-2.14777778995335	-2.60274816797663	-0.931922352420327	-3.85977644728996	-6.72719296167434	-7.65808622974456	-8.77256192331942	-21.7924153908892
MI16	-1.37740157628946	-2.10888837644444	-1.83655288488352	-3.55696961636353	-6.98149774139035	-7.14804670737875	-8.2376572398501	-15.0204939896347
MI1	-1.19342858975301	-2.13038198338741	-2.53742477670424	-3.22807712007363	-5.2301351933717	-6.22517824785803	-6.02473798231724	-21.7924153908892
MI2	-1.29522116113706	-1.74509009287726	-2.92712637585008	-3.31248715543908	-4.60668442040083	-5.85657419984554	-8.10751110686527	-12.6998305589748
MI3	-2.08193882239694	-1.23183629199451	-3.33696116694132	-3.91381851130317	-5.17011353826023	-2.81434345726043	-8.51998192249948	-14.223654830816
MI4	-1.43472785759647	-1.93893394718875	-3.22889555614253	-3.13083738027158	-2.82221211418521	-7.44102731142453	-9.6531160872969	-14.0164468811948
MI5	-1.33236701998015	-1.95046782405832	-2.81970183866832	-2.58523686093505	-5.99953816091194	-6.09231756986734	-7.49619974427902	-14.2460162568951
MI6	-1.02774322326981	-2.14173426431048	-3.76489612567954	-2.99791007683187	-4.04892328819605	-5.71871858900819	-7.8751557055788	-10.94081589278
MI7	-0.985217482278343	-2.58274501816406	-2.75410688811808	-3.91683481176247	-3.15417172468137	-10.0214040082635	-12.3085021189877	-21.7924153908892
MI8	-1.3478812858455	-1.91171226319917	-2.6788220382862	-2.96393739060107	-4.45894138953671	-6.89634821719164	-8.32315481069177	-14.803928461141
MI9	-0.843799284161398	-2.16076738034691	-2.94261482095039	-3.77262593791202	-6.47453162435887	-8.22045402954389	-9.81198277390574	-12.0445965228258
MI10	-1.09280251742349	-1.96927726972123	-2.74389611442792	-3.34557831737382	-10.5261747791201	-8.13365391630142	-5.38833143409366	-21.7924153908892
MI11	-1.36116499457796	-2.18606257774237	-1.95140527683851	-3.38890239882988	-5.45457072133346	-6.67919969711399	-7.83666485616002	-15.8196584308543
MI12	-0.738043091015699	-4.99948307164648	-4.56487812606728	-6.17483394437465	-1.68323074005597	-9.93066893093628	-11.7490239830646	-11.3075345813465
MI13	-0.800275042639805	-2.23980257470742	-3.17810095045974	-3.58198185267235	-5.91527507384828	-8.458142105582	-10.6050633176887	-20.7924153908892
CON1	-1.15267378161762	-2.10662532604133	-2.86076481894801	-3.2090286815964	-5.03282914629355	-4.86496432889255	-7.69030102678048	-8.63821251563202
CON2	-0.988634417439894	-1.7576835906407	-3.91644073263477	-3.96693770160645	-5.00621842677938	-7.23188003090306	-7.8778479179001	-5.15186762327675
