,Unnamed: 0,Kingdom,Phylum,Class,Order,Family,Genus,Species,AMI1,AMI10,AMI11,AMI12,AMI13,AMI14,AMI15,AMI16,AMI17,AMI18,AMI19,AMI2,AMI20,AMI21,AMI22,AMI23,AMI24,AMI25,AMI26,AMI27,AMI28,AMI29,AMI3,AMI30,AMI31,AMI32,AMI33,AMI34,AMI35,AMI36,AMI37,AMI38,AMI39,AMI4,AMI40,AMI41,AMI42,AMI43,AMI44,AMI45,AMI46,AMI47,AMI48,AMI49,AMI5,AMI50,AMI51,AMI52,AMI53,AMI54,AMI55,AMI56,AMI57,AMI58,AMI59,AMI6,AMI60,AMI61,AMI62,AMI63,AMI64,AMI65,AMI66,AMI67,AMI68,AMI69,AMI7,AMI70,AMI71,AMI72,AMI73,AMI74,AMI75,AMI76,AMI77,AMI78,AMI79,AMI8,AMI80,AMI81,AMI82,AMI83,AMI84,AMI85,AMI86,AMI87,AMI88,AMI9,CON1,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON2,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON3,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON4,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47,CON48,CON49,CON5,CON50,CON51,CON52,CON53,CON54,CON55,CON56,CON6,CON7,CON8,CON9
0,ASV_17496,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,,0,0,300,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,35,0,10,81,0,11,0,0,258,232,0,0,0,0,0,0,0,0,0,33,0,0,12,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,17,0,37,13,16,0,0,0,0,0,0,0,0,5,0,49,13,0,16,17,49,20,0,0,0,0,43,22,26,0,28,0,0,0,0,0,138,16,0,160,35,71,0,73,17,84,0,0,0,13,0,0,16,0,0,0,0,0,0,133,0,0,0
1,ASV_29100,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ASV_42819,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Catonella,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,48,16,0,0,0,75,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
3,ASV_21515,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadales,g__Saccharimonadales,,0,35,105,46,8,56,0,0,0,76,0,0,0,0,0,24,0,0,0,0,0,75,0,0,0,0,0,0,248,0,83,23,0,0,0,0,38,13,0,21,0,0,0,21,21,0,0,25,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,21,0,0,24,0,70,32,0,0,43,0,0,33,0,20,0,28,0,25,0,0,0,0,0,0,34,0,0,0,51,9,41,71,0,188,11,8,0,0,0,142,27,0,0,36,6,0,0,40,0,0
4,ASV_28914,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,,0,361,31,6,0,4,6,0,0,6,17,0,0,0,0,0,15,0,0,0,24,0,19,15,0,0,0,0,20,0,0,0,0,0,0,0,0,8,0,0,17,11,27,65,3,62,1984,0,3,0,9,4,0,0,3,0,0,0,0,0,4,0,2,14,0,12,0,0,0,44,22,11,112,90,13,15,77,31,0,0,9,9,7,0,0,0,0,0,8,27,12,52,35,5,49,0,0,5,14,16,11,0,42,0,19,1,9,39,0,12,1,5,6,139,25,130,37,29,43,35,51,12,60,0,0,30,0,0,25,3,9,0,8,1,233,8,290,6,6,0,0,39,30,2
5,ASV_33102,k__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,91,0,0,0,0,0,0,28,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,59,0,0,0,0,27,27,0,0,0,0,0,0,0,225,0,0,0,0
6,ASV_34836,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales-Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__Selenomonas_sputigena,0,35,0,0,0,18,0,23,59,0,0,0,0,0,0,36,0,73,19,0,19,0,0,0,24,35,24,11,31,0,0,0,0,0,0,0,40,328,48,0,26,24,12,53,28,0,0,0,0,0,25,29,0,60,0,0,0,0,29,0,31,0,0,0,25,23,0,106,0,0,43,20,0,0,19,22,0,0,0,18,0,0,28,18,0,70,0,0,0,2,26,0,0,0,0,0,0,25,0,38,40,0,0,0,0,0,0,0,0,14,59,29,0,0,33,44,28,0,88,79,14,0,35,22,44,0,0,44,0,0,10,25,31,277,0,0,0,81,74,0,0,0,0,9
7,ASV_32748,k__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,,0,0,0,0,0,0,0,45,0,0,0,0,0,18,0,0,0,0,0,43,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0
8,ASV_39230,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Mitochondria,g__Mitochondria,,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0,0,92,90,54,94,0,6773,64,39,77,0,0,0,4,46,0,0,0,0,0,5,0,13,42,0,3,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,10,0,90,0,0,0,0,9,0,3,35,0,0,0,0,0,0,0,7,35,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
9,ASV_20915,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Marinifilaceae,g__Odoribacter,s__Bacteroidetes_sp.,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,77,0,5,0,0,0,8,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,9,0,20,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,12,0,0,0
